Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Amon-Ra St. Brown,DET,WR,8,Yes,Yes,No,8,No,No,0.375,17,,0.625,3,3,1,0.375,12,,3,4,115.3,4.3788,,6.3137,6.3137,0.5,,1,3,1,1,35,23,2,4.375,11.6667,11.6667,7.6667,0.6667,2,3.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,1,,,,,,,,,
Isaiah Williams,NYJ,WR,2,Yes,No,No,2,No,Yes,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,1,Yes,No,No,1,No,No,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,5,Yes,Yes,No,4,No,Yes,0.25,14,,0.75,1,,,0.25,4,,1,4,,-6.0498,,4.32,4.32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Luther Burden,CHI,WR,6,Yes,Yes,No,6,No,No,0.3333,15,,0.6667,2,2,1,0.3333,12,,2,6,118.8,10.5509,,2.8008,2.8008,0.5,,,2,,1,35,23,7,5.8333,17.5,17.5,11.5,3.5,2,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,,,,,,,,,,
Mason Taylor,NYJ,TE,7,Yes,No,No,5,No,No,0.2,13,0.6,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,3,No,No,No,2,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,1,Yes,No,Yes,1,No,Yes,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,12,Yes,No,Yes,4,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,12,Yes,No,Yes,4,No,Yes,,15,,,1,1,1,0.25,4,,,4,95.8,0.3381,,1.4222,1.4222,0.0833,1,,1,,1,7,3,1,1.75,7,7,3,1,,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,
AJ Barner,SEA,TE,27,Yes,No,Yes,25,No,No,,17,0.96,,7,7,1,0.28,68,,5,9.7143,158.3,11.419,,11.9405,11.9405,0.28,0.04,,7,,1,134,66,18,5.36,19.1429,19.1429,9.4286,2.5714,4,19.4,26.4,22.9,26.4,29.9,29.4,25.9,26.4,26.4,26.4,22.9,29.9,26.4,1,1,1,1,2,0.2857,2,,,
Elijah Moore,BUF,WR,2,Yes,No,No,2,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Corley,CLV,WR,5,No,Yes,No,5,No,No,1,13,,,2,1,0.5,0.4,-7,,1,-3.5,56.3,-4.2896,,2.9814,2.9814,0.4,,,1,,0.5,,,,,,,,,,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,1,0.5,
Rachaad White,TB,RB,9,Yes,No,Yes,4,No,Yes,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,13,Yes,No,No,13,No,No,0.1538,14,,0.8462,3,3,1,0.2308,16,1,3,5.3333,42.4,-5.8114,0.3333,6.7535,6.7535,0.2727,,1,1,,0.3333,4,5,1,0.3077,1.3333,4,5,1,,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,1,,,,,,,,
Elic Ayomanor,TEN,WR,8,Yes,Yes,No,8,No,Yes,,16,,1,2,2,1,0.25,19,,2,9.5,118.8,5.7703,,2.7243,2.7243,0.25,,,2,,1,28,9,2,3.5,14,14,4.5,1,2,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,1,,,,,,,,,
Ty Johnson,BUF,RB,3,Yes,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Jefferson,TEN,WR,9,No,No,No,9,No,No,,16,,1,1,1,1,0.1111,20,,1,20,118.8,12.1348,,1.7235,1.7235,0.125,,,1,,1,23,3,1,2.5556,23,23,3,1,1,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,,,,,,,1,,,
Kareem Hunt,KC,RB,10,No,No,No,3,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Tonyan,KC,TE,2,No,No,No,1,No,No,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,3,Yes,Yes,No,3,No,Yes,0.3333,14,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,12,Yes,Yes,No,10,No,No,,16,0.9,,2,1,0.5,0.2,4,,1,2,81.3,5.9666,,1.4195,1.4195,0.2857,0.1,,1,,0.5,18,14,6,1.8,9,18,14,6,1,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,,,,,1,1,,,,
Bijan Robinson,ATL,RB,10,No,No,No,5,No,No,0.4,17,,,4,4,1,0.8,-9,1,3,-2.25,99,2.2997,0.25,5.7447,5.7447,0.5,0.6,,3,,0.75,33,36,6,6.6,8.25,11,12,2,2,3.3,6.3,4.8,7.8,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,,,,,,,1,0.25,
Darren Waller,MIA,TE,5,No,No,No,5,No,Yes,,9,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,5,Yes,Yes,No,5,No,Yes,0.4,17,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,8,Yes,No,No,4,No,No,,13,,,1,1,1,0.25,,,1,,139.6,2.1729,,1.8,1.8,0.1667,1,,1,,1,8,8,,2,8,8,8,,1,6.8,7.8,7.3,8.3,7.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,1,,1,,,,,,,
Jaylin Noel,HST,WR,8,Yes,No,No,8,No,No,0.625,17,,0.375,2,2,1,0.25,4,,2,2,85.4,-0.7855,,2.8273,2.8273,0.2857,,,2,,1,9,5,1,1.125,4.5,4.5,2.5,0.5,1,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,,,,,
Zay Jones,ARZ,WR,4,Yes,No,Yes,4,No,Yes,0.25,8,,0.75,1,1,1,0.25,6,,1,6,95.8,0.0509,,1.4838,1.4838,0.5,,,1,,1,7,1,,1.75,7,7,1,,,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,
Kyle Monangai,CHI,RB,7,Yes,Yes,No,2,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,9,No,No,No,5,No,No,,17,,,1,1,1,0.2,2,,1,2,139.6,1.6053,,2.5963,2.5963,0.1111,1,,1,,1,8,6,4,1.6,8,8,6,4,1,6.8,7.8,7.3,8.3,7.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,1,,1,,1,1,,,,
Ben Sinnott,WAS,TE,1,No,No,No,1,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,3,Yes,No,No,3,No,No,,17,,1,2,2,1,0.6667,7,,2,3.5,118.8,7.2502,,2.7099,2.7099,0.6667,,,2,,1,26,19,12,8.6667,13,13,9.5,6,2,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,,,,,2,1,,,,
Jeremy Ruckert,NYJ,TE,6,Yes,No,No,3,No,Yes,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,3,Yes,Yes,No,3,No,No,0.6667,15,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,6,No,No,No,5,No,No,,15,,1,,,,,,,,,,,,1.3955,1.3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,1,Yes,Yes,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,4,No,Yes,No,3,No,No,0.6667,17,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,5,No,Yes,No,3,No,No,0.3333,17,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,5,No,Yes,No,5,No,No,,17,1,,2,2,1,0.4,-4,,1,-2,79.2,-6.8833,,2.9227,2.9227,0.4,,,2,,1,-3,1,1,-0.6,-1.5,-1.5,0.5,0.5,,-0.3,1.7,0.7,1.7,2.7,1.7,0.7,1.7,1.7,1.7,0.7,2.7,1.7,,,,,,,,,,
Daniel Bellinger,NYG,TE,7,No,No,No,4,No,No,0.25,16,0.75,,1,1,1,0.25,1,,1,1,100,2.2246,,5.3346,5.3346,0.1667,,,1,,1,8,7,3,2,8,8,7,3,,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,1,,,,,,,,,
Dont'e Thornton,LV,WR,4,No,No,No,4,No,No,,15,,1,,,,,,,,,,,,1.6712,1.6712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,7,No,No,No,6,No,No,0.1667,17,0.8333,,2,1,0.5,0.3333,11,,2,5.5,93.8,5.3127,,2.895,2.895,0.5,,,1,,0.5,24,20,1,4,12,24,20,1,1,2.4,3.4,2.9,3.4,3.9,3.4,2.9,3.4,3.4,3.4,2.9,3.9,3.4,,,,,,,,,,
Dontayvion Wicks,GB,WR,7,Yes,No,No,6,No,Yes,0.1667,14,0.3333,0.5,2,2,1,0.3333,5,,2,2.5,122.9,-2.2007,,5.7895,5.7895,0.3333,,,2,,1,8,3,,1.3333,4,4,1.5,,1,6.8,8.8,7.8,8.8,8.8,8.8,7.8,8.8,8.8,8.8,7.8,8.8,8.8,1,,1,,,,,,,
Dawson Knox,BUF,TE,6,Yes,No,No,6,No,Yes,0.1667,17,0.8333,,3,3,1,0.5,4,,1,1.3333,97.2,1.7522,,4.303,4.303,0.6,,1,3,1,1,22,18,4,3.6667,7.3333,7.3333,6,1.3333,2,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,,,,,,,,,,
Emeka Egbuka,TB,WR,17,Yes,No,Yes,17,No,Yes,0.2353,17,,0.7647,7,5,0.7143,0.4118,44,,6,6.2857,86,-1.1012,,11.8934,11.8934,0.4118,,,5,,0.7143,41,19,8,2.4118,5.8571,8.2,3.8,1.6,1,4.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,1,1,,,2,0.4,,,,
Malik Davis,DAL,RB,3,No,No,No,1,No,No,,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcedes Lewis,DEN,TE,1,Yes,No,No,1,No,No,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,14,No,No,No,5,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payne Durham,TB,TE,7,Yes,No,Yes,3,No,Yes,0.3333,17,0.6667,,1,1,1,0.3333,,,1,,112.5,5.711,,1.4663,1.4663,0.1429,,,1,,1,11,11,1,3.6667,11,11,11,1,1,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,,,,,,
Tucker Kraft,GB,TE,6,Yes,Yes,Yes,4,No,Yes,,8,1,,2,2,1,0.5,4,,1,2,118.8,8.4514,,6.7613,6.7613,0.5,,,2,,1,29,25,8,7.25,14.5,14.5,12.5,4,2,2.9,4.9,3.9,4.9,5.9,4.9,3.9,4.9,4.9,4.9,3.9,5.9,4.9,1,,,,,,,,,
Arian Smith,NYJ,WR,4,Yes,No,No,4,No,Yes,0.75,16,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,4,Yes,No,No,3,No,Yes,0.3333,15,,0.6667,1,,,0.3333,25,,1,25,39.6,-11.4887,,1.5282,1.5282,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Dallas Goedert,PHI,TE,4,Yes,No,No,1,Yes,Yes,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Horton,DET,TE,1,Yes,Yes,No,1,No,No,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,13,No,Yes,No,12,No,No,0.4167,13,,0.5833,3,2,0.6667,0.25,62,,3,20.6667,109.7,9.5075,,5.899,5.899,0.25,,,2,,0.6667,63,19,4,5.25,21,31.5,9.5,2,2,6.3,8.3,7.3,8.3,8.3,8.3,7.3,8.3,8.3,8.3,7.3,8.3,8.3,,,,,,,1,,,
Calvin Ridley,TEN,WR,4,No,No,No,4,No,Yes,,7,,1,2,2,1,0.5,24,,2,12,118.8,14.5682,,2.9267,2.9267,0.6667,,,2,,1,47,23,1,11.75,23.5,23.5,11.5,0.5,2,4.7,6.7,5.7,6.7,6.7,6.7,5.7,6.7,6.7,6.7,5.7,6.7,6.7,,,,,,,,,,
Jalen Coker,CAR,WR,6,Yes,No,Yes,6,No,Yes,0.3333,11,,0.6667,1,1,1,0.1667,9,,,9,104.2,1.5461,,1.5033,1.5033,0.2,,,1,,1,9,,,1.5,9,9,,,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,,
Brayden Willis,SF,TE,2,Yes,No,No,1,No,Yes,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,11,No,No,No,10,No,No,,17,1,,3,3,1,0.3,26,,2,8.6667,118.8,6.2505,,4.5715,4.5715,0.3333,,,3,,1,42,16,8,4.2,14,14,5.3333,2.6667,2,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,,,,,,,,,,
Jayden Reed,GB,WR,3,No,No,No,3,No,No,1,7,,,1,1,1,0.3333,2,,,2,79.2,-3.3344,,1.4215,1.4215,0.3333,,,1,,1,2,,,0.6667,2,2,,,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,
Chris Godwin,TB,WR,7,Yes,No,Yes,6,No,Yes,0.5,9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,18,Yes,No,No,16,No,Yes,0.125,16,0.6875,0.125,1,1,1,0.0625,-3,,1,-3,118.8,11.1348,,1.5434,1.5434,0.0625,0.0625,,1,,1,17,20,13,1.0625,17,17,20,13,1,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,,,,,,,,,,
Tyler Warren,IND,TE,19,Yes,No,No,18,No,No,0.0556,17,0.6667,0.1111,8,7,0.875,0.4444,1,,7,0.125,90.6,0.4321,,13.1785,13.1785,0.4706,0.1667,1,6,,0.75,50,47,15,2.7778,6.25,8.3333,7.8333,2.5,3,5,11,8,11,14,11,8,11,11,11,8,14,11,3,,,,2,0.3333,,1,0.125,
Jaylin Lane,WAS,WR,1,No,No,No,1,No,No,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,IND,WR,18,Yes,No,No,17,No,No,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,5,No,No,No,4,No,No,,13,,1,1,,,0.25,,,1,,39.6,-6.0386,,2.1931,2.1931,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Drake London,ATL,WR,9,No,No,No,6,No,No,0.3333,12,,0.6667,1,1,1,0.1667,-1,,,-1,79.2,-7.1699,,1.6122,1.6122,0.1429,,,1,,1,-1,,,-0.1667,-1,-1,,,,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,,,,,,
Theo Wease,MIA,WR,2,Yes,No,No,2,No,No,,3,,1,1,,,0.5,14,,1,14,,-9.8134,,3.1483,3.1483,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Olamide Zaccheaus,CHI,WR,6,Yes,Yes,No,5,No,No,0.2,16,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Giddens,IND,RB,1,Yes,No,No,1,No,No,,9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,3,No,Yes,No,3,No,No,0.6667,17,,0.3333,1,1,1,0.3333,-1,,1,-1,100,1.8301,,1.4556,1.4556,0.5,,,1,,1,8,9,1,2.6667,8,8,9,1,,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,
Brycen Tremayne,CAR,WR,11,Yes,No,Yes,11,No,Yes,0.2727,16,,0.7273,3,3,1,0.2727,13,,3,4.3333,118.1,5.8192,,4.6446,4.6446,0.3,,,3,,1,37,24,5,3.3636,12.3333,12.3333,8,1.6667,2,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,,,,,1,0.3333,,,,
Khalil Shakir,BUF,WR,3,Yes,No,No,3,Yes,Yes,,16,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,5,Yes,No,No,5,No,No,0.8,13,,0.2,1,1,1,0.2,18,,1,18,118.8,9.1009,,2.0607,2.0607,0.2,,,1,,1,20,2,1,4,20,20,2,1,1,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,,,,,,,,,,
Christian McCaffrey,SF,RB,14,Yes,No,Yes,9,No,No,0.1111,17,,,3,3,1,0.3333,-8,,3,-2.6667,134,1.0207,,7.5358,7.5358,0.2308,0.8889,,3,,1,20,28,3,2.2222,6.6667,6.6667,9.3333,1,2,8,11,9.5,12.5,11,11,9.5,11,11,11,9.5,11,11,1,1,1,1,,,,2,0.6667,
Tez Johnson,TB,WR,12,Yes,No,Yes,12,No,Yes,0.25,16,,0.75,4,4,1,0.3333,10,,4,2.5,97.9,0.5989,,6.3914,6.3914,0.3333,,1,4,1,1,30,20,2,2.5,7.5,7.5,5,0.5,1,3,7,5,7,7,7,5,7,7,7,5,7,7,,,,,3,0.75,,,,
Ross Dwelley,DET,TE,1,Yes,No,No,1,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Eskridge,MIA,WR,1,Yes,No,Yes,1,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,5,Yes,No,No,4,No,Yes,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,25,Yes,No,Yes,24,No,No,0.125,17,,0.875,10,8,0.8,0.4167,143,,7,14.3,151.7,1.9225,,18.5582,18.5582,0.4167,,,8,,0.8,109,20,2,4.5417,10.9,13.625,2.5,0.25,6,22.9,30.9,26.9,30.9,30.9,33.9,29.9,30.9,30.9,30.9,26.9,30.9,30.9,2,1,2,,,,2,1,0.1,
Jackson Hawes,BUF,TE,7,Yes,No,No,7,No,Yes,0.2857,17,0.7143,,3,3,1,0.4286,7,,1,2.3333,134,0.7741,,6.9517,6.9517,0.6,,,3,,1,20,13,3,2.8571,6.6667,6.6667,4.3333,1,2,8,11,9.5,11,12.5,11,9.5,11,11,11,9.5,12.5,11,1,,1,,,,,,,
