teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,125,No,No,No,479,125,No,17,Yes,125,1,3,0.261,112,8,0.896,925,655,211,364,3,2,4,19,0.1696,0.2,0.072,0.328,0.4,93,0.744,35,0.28,2.912,105.5,1.9311,7.4,0.8746,0.032,8.2589,5.8482,1.8839,40,16,1,1
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 2,17,214,No,No,No,898,214,No,31,Yes,214,1,6,0.2383,198,21,0.9252,1861,1146,416,869,11,6,8,33,0.1667,0.2383,0.1168,0.2897,0.3551,143,0.6682,33,0.1542,4.0607,120,2.0724,8.6963,2.0225,0.0374,9.399,5.7879,2.101,99,33,,
5,Carolina,Panthers,TB,NFC,NFC South,Open,Open,Cover 2,17,174,No,No,No,729,174,No,26,Yes,174,1,4,0.2387,159,19,0.9138,1368,779,262,675,7,3,9,20,0.1258,0.2299,0.1322,0.2931,0.3448,115,0.6609,33,0.1897,3.8793,112.8,1.8765,7.8621,1.2119,0.0517,8.6038,4.8994,1.6478,69,21,,1
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 2,17,140,Yes,No,No,578,140,No,19,Yes,140,1,3,0.2422,130,12,0.9286,1024,525,197,569,4,3,5,23,0.1769,0.2,0.1786,0.2786,0.3429,98,0.7,27,0.1929,4.0643,103.7,1.7716,7.3143,0.6654,0.0357,7.8769,4.0385,1.5154,48,17,1,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 0,17,156,No,No,No,538,156,No,8,Yes,156,1,2,0.29,150,7,0.9615,1255,1001,251,291,5,2,5,18,0.12,0.2244,0.141,0.3462,0.2885,116,0.7436,57,0.3654,1.8654,108.2,2.3327,8.0449,1.8437,0.0321,8.3667,6.6733,1.6733,60,17,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,186,No,No,No,756,186,No,22,Yes,186,1,1,0.246,174,18,0.9355,1610,931,283,738,4,1,7,35,0.2011,0.2097,0.1398,0.2796,0.371,128,0.6882,40,0.2151,3.9677,109.9,2.1296,8.6559,2.055,0.0376,9.2529,5.3506,1.6264,67,16,1,
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,154,No,No,No,607,154,No,27,Yes,154,1,3,0.2537,143,19,0.9286,1245,750,242,555,5,3,6,17,0.1189,0.2273,0.1104,0.2857,0.3701,112,0.7273,38,0.2468,3.6039,111.2,2.0511,8.0844,1.5084,0.039,8.7063,5.2448,1.6923,64,14,1,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 6,17,160,No,Yes,No,594,160,Yes,14,Yes,160,1,2,0.2694,152,10,0.95,1565,1122,372,493,10,2,4,37,0.2434,0.2062,0.2,0.2375,0.3563,105,0.6562,46,0.2875,3.0812,125.7,2.6347,9.7812,3.3057,0.025,10.2961,7.3816,2.4474,74,24,1,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 6,17,141,No,Yes,No,544,141,Yes,11,Yes,141,1,4,0.2592,132,4,0.9362,1099,913,297,319,5,2,4,17,0.1288,0.2979,0.1489,0.2695,0.2837,99,0.7021,44,0.3121,2.2624,111,2.0202,7.7943,1.3828,0.0284,8.3258,6.9167,2.25,53,11,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 6,17,150,No,No,No,596,150,No,30,Yes,150,1,2,0.2517,137,20,0.9133,1274,908,282,459,5,1,5,34,0.2482,0.1933,0.0867,0.26,0.46,110,0.7333,35,0.2333,3.06,113.2,2.1376,8.4933,2.0489,0.0333,9.2993,6.6277,2.0584,60,14,1,
29,San Francisco,49ers,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,173,Yes,No,No,697,173,No,23,Yes,173,1,2,0.2482,165,19,0.9538,1278,857,266,513,3,2,3,32,0.1939,0.2543,0.1272,0.2775,0.341,121,0.6994,44,0.2543,2.9653,103.2,1.8336,7.3873,0.9239,0.0173,7.7455,5.1939,1.6121,64,19,1,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,120,No,No,No,474,120,Yes,24,Yes,120,1,3,0.2532,109,16,0.9083,999,599,163,561,9,2,5,16,0.1468,0.2417,0.0917,0.3,0.3583,88,0.7333,29,0.2417,4.675,126.4,2.1076,8.325,1.6065,0.0417,9.1651,5.4954,1.4954,48,17,1,1
