teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Closed,Cover 1,17,42,No,Yes,No,181,42,Yes,10,Yes,42,1,0.232,29,2,,0.6905,431,164,60,432,7,9,0.3103,0.1905,0.0714,0.3333,0.4048,32,0.7619,3,0.0714,10.2857,102.4,2.3812,10.2619,2.2921,0.1667,14.8621,5.6552,2.069,20,6,1,,1,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Open,Cover 2,17,19,Yes,No,No,74,19,No,6,Yes,19,1,0.2568,15,4,1,0.7895,239,102,35,150,2,1,0.0667,0.2105,0.0526,0.2105,0.5263,17,0.8947,4,0.2105,7.8947,96.8,3.2297,12.5789,5.4057,0.1053,15.9333,6.8,2.3333,9,3,,,,
25,New York,Jets,BUF,AFC,AFC East,Open,Open,Cover 0,15,27,Yes,No,No,111,27,Yes,9,Yes,27,1,0.2432,21,4,,0.7778,290,137,40,246,2,3,0.1429,0.1852,0.1111,0.2222,0.4815,21,0.7778,2,0.0741,9.1111,148.5,2.6126,10.7407,2.832,0.0741,13.8095,6.5238,1.9048,17,4,,3,1,1
3,Baltimore,Ravens,PIT,AFC,AFC North,Open,Closed,Cover 1,16,25,No,No,No,111,25,Yes,3,Yes,25,1,0.2252,19,2,,0.76,220,89,22,151,4,1,0.0526,0.24,0.16,0.24,0.36,17,0.68,1,0.04,6.04,102.1,1.982,8.8,1.6777,0.16,11.5789,4.6842,1.1579,11,4,,,,
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Closed,Cover 1,15,22,Yes,Yes,Yes,97,22,No,5,Yes,22,1,0.2268,17,2,,0.7727,202,79,22,166,2,1,0.0588,0.1364,0.1364,0.1818,0.5455,13,0.5909,,,7.5455,104.7,2.0825,9.1818,1.9752,0.0909,11.8824,4.6471,1.2941,10,2,,,1,
20,Miami,Dolphins,NE,AFC,AFC East,Open,Closed,Cover 3,16,20,No,No,Yes,87,20,No,6,Yes,20,1,0.2299,15,4,,0.75,138,48,16,127,4,,,0.15,0.2,0.2,0.45,12,0.6,2,0.1,6.35,72.5,1.5862,6.9,-0.2751,0.2,9.2,3.2,1.0667,7,2,,,1,
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Closed,Cover 3,15,26,No,No,No,114,26,Yes,3,Yes,26,1,0.2281,16,1,,0.6154,190,49,8,221,8,,,0.2692,0.0769,0.3077,0.3462,17,0.6538,,,8.5,83.8,1.6667,7.3077,-0.1838,0.3077,11.875,3.0625,0.5,12,2,1,,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Closed,Cover 1,15,26,Yes,No,No,115,26,No,7,Yes,26,1,0.2261,22,5,1,0.8462,301,56,41,292,2,4,0.1818,0.1154,0.1154,0.3462,0.4231,19,0.7308,2,0.0769,11.2308,153.4,2.6174,11.5769,3.2225,0.0769,13.6818,2.5455,1.8636,13,4,,3,3,3
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 1,16,29,Yes,Yes,Yes,112,29,No,2,Yes,29,1,0.2589,26,2,,0.8966,304,113,56,199,3,1,0.0385,0.1034,0.069,0.3448,0.4828,19,0.6552,3,0.1034,6.8621,121.8,2.7143,10.4828,3.2063,0.1034,11.6923,4.3462,2.1538,13,4,1,1,1,1
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Closed,Cover 3,13,21,No,No,No,96,21,No,3,Yes,21,1,0.2188,15,2,1,0.7143,210,41,11,194,5,1,0.0667,0.0952,0.1429,0.2857,0.4762,15,0.7143,,,9.2381,119.1,2.1875,10,1.8926,0.2381,14,2.7333,0.7333,9,2,,1,1,1
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 2,16,33,No,No,Yes,147,33,No,4,Yes,33,1,0.2245,22,2,,0.6667,260,78,18,269,7,1,0.0455,0.1515,0.0909,0.2424,0.5152,23,0.697,1,0.0303,8.1515,98,1.7687,7.8788,0.2658,0.2121,11.8182,3.5455,0.8182,14,2,,2,1,1
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Cover 2,16,23,No,No,No,102,24,No,5,Yes,24,1,0.2353,14,2,1,0.5833,180,56,31,215,6,2,0.1429,0.125,0.2083,0.25,0.375,18,0.75,1,0.0417,8.9583,61.1,1.7647,7.5,-0.38,0.25,12.8571,4,2.2143,8,3,1,1,2,1
