Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Josh Palmer,BUF,WR,118,Yes,No,No,117,27,No,5,Yes,19,0.7037,2,0.2308,18,4,0.6667,241,75,18,299,0.0085,0.1795,0.812,27,11.0741,3,79.4,2.0598,8.9259,0.6235,13.3889,4.1667,1,9,52.1548,52.1548,0.2288,24.1,42.1,33.1,42.1,42.1,45.1,36.1,42.1,42.1,42.1,33.1,42.1,42.1,6,12,,,,,,,,
Antonio Gibson,NE,RB,10,No,No,No,8,,No,,Yes,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.75,,,,,,,
Mason Kinsey,TEN,WR,16,No,No,No,16,2,Yes,,Yes,2,1,,0.125,1,,0.5,14,3,,30,,0.5625,0.4375,2,15,,72.9,0.875,7,-3.1237,14,3,,1,2.9108,2.9108,0.125,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,10,,1,0.5,,,,,
Omarion Hampton,LAC,RB,114,Yes,No,No,83,7,No,1,Yes,6,0.8571,,0.0843,5,,0.7143,58,63,17,-1,0.0241,0.0241,0.0723,7,-0.1429,,135.7,0.6988,8.2857,2.1701,11.6,12.6,3.4,3,11.6463,11.6463,0.0614,11.8,16.8,14.3,19.3,16.8,16.8,14.3,16.8,16.8,16.8,14.3,16.8,16.8,1,9,0.8795,,,1,,,,
Charlie Woerner,ATL,TE,112,No,Yes,No,69,3,No,1,Yes,3,1,,0.0435,3,1,1,14,7,4,7,0.4203,0.087,0.0725,3,2.3333,,86.1,0.2029,4.6667,-1.5097,4.6667,2.3333,1.3333,,4.8751,4.8751,0.0268,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,1,17,0.4203,,,,,,,
David Moore,CAR,WR,25,No,No,No,25,1,No,1,Yes,1,1,,0.04,1,1,1,5,,,5,,0.2,0.8,1,5,,87.5,0.2,5,-1.3628,5,,,,1.2445,1.2445,0.04,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,4,,,,,,,,
CJ Dippre,NE,TE,2,Yes,No,Yes,2,,No,,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Amon-Ra St. Brown,DET,WR,310,Yes,Yes,Yes,307,137,No,14,Yes,111,0.8102,8,0.4463,95,8,0.6934,1134,411,121,1251,,0.57,0.4235,137,9.1314,9,98.6,3.6938,8.2774,0.507,11.9368,4.3263,1.2737,59,259.1741,259.1741,0.4419,161.4,256.4,208.9,256.4,256.4,259.4,211.9,256.4,256.4,256.4,208.9,256.4,256.4,26,17,0.0065,11,0.0803,8,1,4,9,0.0947
Isaiah Williams,NYJ,WR,110,Yes,No,No,108,16,No,1,Yes,13,0.8125,,0.1481,12,1,0.75,119,35,10,105,,0.6111,0.3889,16,6.5625,,95.6,1.1019,7.4375,0.3885,9.9167,2.9167,0.8333,7,25.3937,25.3937,0.1468,11.9,23.9,17.9,23.9,23.9,26.9,20.9,23.9,23.9,23.9,17.9,23.9,23.9,1,15,,1,0.0625,,,,,
Chris Moore,WAS,WR,107,No,No,No,105,17,No,6,No,12,0.7059,1,0.1619,9,2,0.5294,158,49,19,242,,0.219,0.781,17,14.2353,4,104.5,1.5048,9.2941,0.1984,17.5556,5.4444,2.1111,8,31.6753,31.6753,0.1589,21.8,30.8,26.3,30.8,30.8,33.8,29.3,30.8,30.8,30.8,26.3,30.8,30.8,,14,,2,0.1176,1,1,1,,
Tutu Atwell,LA,WR,86,No,No,Yes,86,9,No,2,No,5,0.5556,,0.1047,3,,0.3333,111,68,1,178,,0.6628,0.3372,9,19.7778,3,78.7,1.2907,12.3333,1.6522,37,22.6667,0.3333,2,18.964,18.964,0.1047,17.1,20.1,18.6,20.1,20.1,23.1,21.6,20.1,20.1,20.1,18.6,20.1,20.1,,10,,,,1,,,,
Elijah Higgins,ARZ,TE,154,No,No,Yes,149,13,No,5,No,11,0.8462,,0.0872,10,3,0.7692,86,42,16,74,0.4295,0.4295,0.1141,13,5.6923,,93.8,0.5772,6.6154,-0.3849,8.6,4.2,1.6,5,22.4159,22.4159,0.0844,8.6,18.6,13.6,18.6,23.6,18.6,13.6,18.6,18.6,18.6,13.6,23.6,18.6,2,17,0.0268,,,,,,2,0.2
Adam Thielen,PIT,WR,124,No,Yes,Yes,122,25,Yes,10,Yes,22,0.88,,0.2049,17,7,0.68,172,44,12,227,,0.6066,0.3852,25,9.08,2,87.4,1.4098,6.88,-0.8315,10.1176,2.5882,0.7059,10,40.2202,40.2202,0.2016,17.2,34.2,25.7,34.2,34.2,37.2,28.7,34.2,34.2,34.2,25.7,34.2,34.2,2,16,0.0082,3,0.12,,,,1,0.0588
Josiah Deguara,ARZ,TE,25,No,No,Yes,23,1,No,1,No,1,1,1,0.0435,1,1,1,7,,,9,0.3478,0.3913,0.2174,1,9,,135.4,0.3043,7,-0.2596,7,,,1,3.7513,3.7513,0.04,6.7,7.7,7.2,7.7,8.2,7.7,7.2,7.7,7.7,7.7,7.2,8.2,7.7,1,12,0.0435,,,1,,1,,
Braelon Allen,NYJ,RB,11,No,No,No,8,2,No,,Yes,2,1,,0.25,1,,0.5,12,9,6,3,,,,2,1.5,,68.8,1.5,6,-0.1683,12,9,6,1,4.0808,4.0808,0.1818,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,4,1,1,0.5,,,,1,1
Harrison Bryant,HST,TE,36,No,No,No,21,3,No,,Yes,1,0.3333,,0.1429,1,,0.3333,2,1,,32,0.8571,0.0952,0.0476,3,10.6667,1,42.4,0.0952,0.6667,-8.8417,2,1,,,8.4441,8.4441,0.0833,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,12,,,,,,,,
Tylan Wallace,BLT,WR,31,No,Yes,Yes,31,4,Yes,1,Yes,2,0.5,2,0.129,2,,0.5,29,3,2,73,,0.3548,0.6452,4,18.25,1,113.5,0.9355,7.25,-3.0156,14.5,1.5,1,2,9.3505,9.3505,0.129,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,2,14,,,,1,,1,,
Jonnu Smith,PIT,TE,147,No,Yes,Yes,140,25,Yes,7,Yes,21,0.84,1,0.1786,16,4,0.64,99,52,21,180,0.3429,0.5357,0.1143,25,7.2,2,71.9,0.7071,3.96,-3.6637,6.1875,3.25,1.3125,4,41.441,41.441,0.1701,9.9,25.9,17.9,25.9,33.9,25.9,17.9,25.9,25.9,25.9,17.9,33.9,25.9,3,17,0.0071,3,0.12,,,,2,0.125
Mason Taylor,NYJ,TE,171,No,No,No,154,41,Yes,9,Yes,35,0.8537,2,0.2662,28,6,0.6829,248,104,29,270,0.4545,0.3636,0.1753,41,6.5854,1,82.2,1.6104,6.0488,-1.2543,8.8571,3.7143,1.0357,16,67.1633,67.1633,0.2398,30.8,58.8,44.8,58.8,72.8,61.8,47.8,58.8,58.8,58.8,44.8,72.8,58.8,5,13,0.0065,6,0.1463,1,,1,,
Emanuel Wilson,GB,RB,83,Yes,No,Yes,56,1,No,,Yes,1,1,,0.0179,1,,1,11,10,7,1,0.0536,0.0357,0.0893,1,1,,112.5,0.1964,11,5.2706,11,10,7,1,1.3087,1.3087,0.012,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,17,0.8214,,,,,,1,1
Quentin Johnston,LAC,WR,229,Yes,No,No,229,56,No,10,Yes,44,0.7857,6,0.2445,35,4,0.625,486,142,57,784,,0.1572,0.8428,56,14,15,111.2,2.1223,8.6786,-0.0903,13.8857,4.0571,1.6286,19,99.2993,99.2993,0.2445,84.6,119.6,102.1,119.6,119.6,122.6,105.1,119.6,119.6,119.6,102.1,119.6,119.6,10,14,,6,0.1071,6,1,3,6,0.1714
Blake Whiteheart,CLV,TE,46,No,No,Yes,34,2,No,1,No,2,1,,0.0588,1,,0.5,4,2,,28,0.6176,0.2941,0.0882,2,14,1,56.3,0.1176,2,-6.7612,4,2,,,3.705,3.705,0.0435,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,16,,,,,,,,
Chris Manhertz,NYG,TE,26,No,No,Yes,9,1,No,,No,,,,0.1111,,,,,,,11,1,,,1,11,,39.6,,,-8.7402,,,,,1.75,1.75,0.0385,,,,,,,,,,,,,,1,17,,,,,,,,
Cameron Latu,PHI,TE,14,No,No,No,7,,No,,No,,,,,,,,,,,,0.2857,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.4286,,,,,,,
Garrett Wilson,NYJ,WR,93,No,Yes,Yes,93,45,No,6,Yes,34,0.7556,1,0.4839,29,3,0.6444,310,74,40,474,,0.4086,0.5914,45,10.5333,6,95.6,3.3333,6.8889,-0.9951,10.6897,2.5517,1.3793,15,82.3787,82.3787,0.4839,55,84,69.5,84,84,87,72.5,84,84,84,69.5,84,84,4,7,,2,0.0444,4,1,1,6,0.2069
Jeff Wilson,MIA,RB,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,
Kameron Johnson,TB,WR,19,No,No,No,19,5,No,,Yes,4,0.8,,0.2632,3,,0.6,64,20,2,76,,0.5789,0.4211,5,15.2,2,143.8,3.3684,12.8,3.4961,21.3333,6.6667,0.6667,3,8.7737,8.7737,0.2632,12.4,15.4,13.9,15.4,15.4,15.4,13.9,15.4,15.4,15.4,13.9,15.4,15.4,,17,,1,0.2,1,,,,
Corey Kiner,ARZ,RB,7,No,No,Yes,6,1,No,,No,1,1,,0.1667,1,,1,11,5,1,6,,,,1,6,,112.5,1.8333,11,3.2914,11,5,1,1,1.5307,1.5307,0.1429,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,4,1,,,,,,,
Dyami Brown,JAX,WR,102,No,No,No,98,28,Yes,6,Yes,22,0.7857,3,0.2857,15,4,0.5357,207,13,17,406,,0.2653,0.7347,28,14.5,5,62.6,2.1122,7.3929,-1.7741,13.8,0.8667,1.1333,12,57.705,57.705,0.2745,20.7,35.7,28.2,35.7,35.7,38.7,31.2,35.7,35.7,35.7,28.2,35.7,35.7,6,14,,6,0.2143,,,,,
Luther Burden,CHI,WR,95,Yes,Yes,Yes,95,33,No,2,Yes,29,0.8788,1,0.3474,24,1,0.7273,422,158,54,350,,0.4526,0.5368,33,10.6061,2,135,4.4421,12.7879,4.6673,17.5833,6.5833,2.25,17,52.7958,52.7958,0.3474,54.2,78.2,66.2,78.2,78.2,81.2,69.2,78.2,78.2,78.2,66.2,78.2,78.2,1,15,0.0105,4,0.1212,2,,1,5,0.2083
Ty Johnson,BUF,RB,91,Yes,No,No,71,5,No,,Yes,5,1,,0.0704,4,,0.8,69,23,4,31,0.0845,0.1549,0.1268,5,6.2,,158.3,0.9718,13.8,5.8422,17.25,5.75,1,5,10.5898,10.5898,0.0549,12.9,16.9,14.9,18.9,16.9,16.9,14.9,16.9,16.9,16.9,14.9,16.9,16.9,2,17,0.6338,1,0.2,1,,,1,0.25
Van Jefferson,TEN,WR,151,No,No,Yes,147,33,No,7,No,24,0.7273,1,0.2245,22,5,0.6667,257,42,23,438,,0.0952,0.9048,33,13.2727,8,100.2,1.7483,7.7879,-0.7807,11.6818,1.9091,1.0455,12,57.8471,57.8471,0.2185,31.7,53.7,42.7,53.7,53.7,56.7,45.7,53.7,53.7,53.7,42.7,53.7,53.7,3,16,,1,0.0303,1,1,,,
Andre Baccellia,ARZ,WR,32,No,No,No,32,2,No,,No,1,0.5,,0.0625,1,,0.5,5,-1,,9,,0.375,0.625,2,4.5,,56.3,0.1562,2.5,-3.6995,5,-1,,,3.1527,3.1527,0.0625,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,5,,,,,,,,
Elic Ayomanor,TEN,WR,223,No,No,No,221,67,Yes,17,Yes,38,0.5672,2,0.3032,26,9,0.3881,355,86,28,875,,0.1629,0.8371,67,13.0597,13,49,1.6063,5.2985,-3.4943,13.6538,3.3077,1.0769,20,121.7996,121.7996,0.3004,41.5,67.5,54.5,67.5,67.5,70.5,57.5,67.5,67.5,67.5,54.5,67.5,67.5,4,16,,6,0.0896,1,1,,1,0.0385
Sean McKeon,IND,TE,2,No,No,No,1,,No,,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Derrick Henry,BLT,RB,100,No,Yes,Yes,70,5,Yes,,Yes,5,1,,0.0714,4,,0.8,78,73,11,7,,0.0143,0.0143,5,1.4,,118.8,1.1143,15.6,9.3205,19.5,18.25,2.75,2,7.0236,7.0236,0.05,7.8,11.8,9.8,13.8,11.8,11.8,9.8,11.8,11.8,11.8,9.8,11.8,11.8,1,17,0.9714,1,0.2,,,,4,1
Robert Tonyan,KC,TE,14,No,No,No,10,,No,,Yes,,,,,,,,,,,,0.5,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Kareem Hunt,KC,RB,140,No,No,No,88,5,No,,Yes,5,1,,0.0568,4,,0.8,36,35,7,6,,0.0568,0.0568,5,1.2,,96.7,0.4091,7.2,0.8811,9,8.75,1.75,2,10.1197,10.1197,0.0357,3.6,7.6,5.6,9.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,1,17,0.8864,1,0.2,,,,,
AJ Barner,SEA,TE,222,No,No,No,184,33,Yes,3,Yes,30,0.9091,2,0.1793,27,2,0.8182,305,142,46,196,0.837,0.1196,0.038,33,5.9394,3,132.1,1.6576,9.2424,2.2438,11.2963,5.2593,1.7037,14,61.7076,61.7076,0.1486,60.5,87.5,74,87.5,101,90.5,77,87.5,87.5,87.5,74,101,87.5,8,17,0.0054,2,0.0606,5,,1,4,0.1481
Zach Charbonnet,SEA,RB,131,No,No,No,82,4,Yes,,Yes,4,1,,0.0488,3,,0.75,15,6,4,14,0.0366,0.0732,0.0122,4,3.5,,80.2,0.1829,3.75,-3.3431,5,2,1.3333,1,8.321,8.321,0.0305,1.5,4.5,3,6,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,1,16,0.878,1,0.25,,,,,
Chuba Hubbard,CAR,RB,132,No,No,No,98,9,No,,Yes,8,0.8889,,0.0918,6,,0.6667,36,47,29,8,,0.0306,0.2041,9,0.8889,,111.3,0.3673,4,-2.1533,6,7.8333,4.8333,2,13.6803,13.6803,0.0682,9.6,15.6,12.6,18.6,15.6,15.6,12.6,15.6,15.6,15.6,12.6,15.6,15.6,1,15,0.7653,2,0.2222,1,,,1,0.1667
Jared Wayne,HST,WR,9,No,No,No,9,2,No,,Yes,2,1,,0.2222,2,,1,20,4,3,16,,0.2222,0.7778,2,8,,108.3,2.2222,10,2.4261,10,2,1.5,1,3.2811,3.2811,0.2222,2,4,3,4,4,4,3,4,4,4,3,4,4,,1,,,,,,,,
Xavier Worthy,KC,WR,179,No,No,No,174,49,No,4,No,28,0.5714,3,0.2816,25,2,0.5102,361,119,20,744,,0.2644,0.7241,49,15.1837,14,73.6,2.0747,7.3673,-1.7858,14.44,4.76,0.8,16,100.8629,100.8629,0.2737,42.1,67.1,54.6,67.1,67.1,70.1,57.6,67.1,67.1,67.1,54.6,67.1,67.1,5,14,0.0115,1,0.0204,1,,,2,0.08
Cam Grandy,CIN,TE,3,No,No,No,3,1,No,,No,1,1,,0.3333,1,,1,1,5,1,-4,0.6667,,0.3333,1,-4,,79.2,0.3333,1,-5.3364,1,5,1,,1.125,1.125,0.3333,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,5,,,,,,,,
Elijah Moore,BUF,WR,35,No,Yes,No,35,9,No,1,No,5,0.5556,,0.2571,4,,0.4444,38,26,1,76,,0.4286,0.5429,9,8.4444,1,17.1,1.0857,4.2222,-3.6101,9.5,6.5,0.25,1,13.6168,13.6168,0.2571,3.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,,9,0.0286,1,0.1111,,,,,
Malachi Corley,CLV,WR,26,No,No,Yes,25,2,No,1,No,2,1,,0.08,2,1,1,23,15,1,8,0.04,0.52,0.4,2,4,,114.6,0.92,11.5,5.4502,11.5,7.5,0.5,1,2.7613,2.7613,0.0769,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,13,0.04,,,,,,,
Rachaad White,TB,RB,169,No,No,No,119,4,No,,Yes,3,0.75,1,0.0336,3,,0.75,13,9,1,19,,0.0924,0.1008,4,4.75,,78.1,0.1092,3.25,-3.5964,4.3333,3,0.3333,1,7.9806,7.9806,0.0237,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,1,17,0.8067,,,,,,,
Darren Waller,MIA,TE,82,No,No,No,81,26,No,7,Yes,20,0.7692,5,0.321,18,5,0.6923,207,63,16,278,0.2593,0.358,0.3827,26,10.6923,4,132.5,2.5556,7.9615,-0.3004,11.5,3.5,0.8889,14,47.4578,47.4578,0.3171,44.7,62.7,53.7,62.7,71.7,65.7,56.7,62.7,62.7,62.7,53.7,71.7,62.7,5,9,,,,4,1,4,1,0.0556
Isiah Pacheco,KC,RB,119,No,No,No,82,8,No,,No,7,0.875,,0.0976,7,,0.875,38,49,7,-14,,0.0732,0.1098,8,-1.75,,126,0.4634,4.75,-1.0849,5.4286,7,1,1,13.6871,13.6871,0.0672,9.8,16.8,13.3,20.3,16.8,16.8,13.3,16.8,16.8,16.8,13.3,16.8,16.8,3,13,0.8171,,,1,,,1,0.1429
Pat Freiermuth,PIT,TE,169,No,Yes,Yes,160,29,Yes,7,Yes,26,0.8966,2,0.1812,25,7,0.8621,366,140,34,266,0.1562,0.6625,0.1812,29,9.1724,3,158.3,2.2875,12.6207,4.6477,14.64,5.6,1.36,15,51.5336,51.5336,0.1716,60.6,85.6,73.1,85.6,98.1,88.6,76.1,85.6,85.6,85.6,73.1,98.1,85.6,4,17,,1,0.0345,4,,2,1,0.04
Calvin Austin,PIT,WR,146,No,Yes,Yes,144,40,Yes,9,Yes,28,0.7,4,0.2778,22,7,0.55,301,67,14,519,,0.4722,0.5139,40,12.975,9,73,2.0903,7.525,-1.2562,13.6818,3.0455,0.6364,12,74.4295,74.4295,0.274,48.1,70.1,59.1,70.1,70.1,73.1,62.1,70.1,70.1,70.1,59.1,70.1,70.1,4,14,0.0139,3,0.075,3,1,3,2,0.0909
Ronnie Bell,NO,WR,12,No,Yes,No,12,4,No,,Yes,2,0.5,2,0.3333,2,,0.5,23,1,1,91,,0.0833,0.9167,4,22.75,3,107.3,1.9167,5.75,-5.119,11.5,0.5,0.5,1,10.0907,10.0907,0.3333,8.3,10.3,9.3,10.3,10.3,10.3,9.3,10.3,10.3,10.3,9.3,10.3,10.3,2,2,,,,1,1,1,,
LeQuint Allen,JAX,RB,96,No,No,No,69,1,Yes,,Yes,1,1,,0.0145,1,,1,4,4,,,,0.0725,0.0435,1,,,83.3,0.058,4,-1.8271,4,4,,,5.362,5.362,0.0104,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,17,0.8841,,,,,,,
Colston Loveland,CHI,TE,182,Yes,Yes,Yes,169,56,No,9,Yes,47,0.8393,4,0.3314,43,6,0.7679,533,215,99,506,0.4024,0.3432,0.2367,56,9.0357,4,129.5,3.1538,9.5179,1.4768,12.3953,5,2.3023,27,95.3171,95.3171,0.3077,77.3,120.3,98.8,120.3,141.8,123.3,101.8,120.3,120.3,120.3,98.8,141.8,120.3,11,16,0.0178,1,0.0179,4,,2,4,0.093
Bijan Robinson,ATL,RB,267,No,Yes,No,210,32,No,4,Yes,26,0.8125,,0.1524,22,1,0.6875,241,175,30,161,0.0048,0.2095,0.1571,32,5.0312,3,111.6,1.1476,7.5312,0.1727,10.9545,7.9545,1.3636,13,50.5636,50.5636,0.1199,35.1,57.1,46.1,68.1,57.1,60.1,48.1,56.1,56.1,56.1,45.1,57.1,56.1,7,17,0.6286,2,0.0625,2,,,2,0.0909
Jaleel McLaughlin,DEN,RB,13,No,No,No,9,2,No,,No,2,1,,0.2222,2,,1,15,16,3,-1,,,0.1111,2,-0.5,,97.9,1.6667,7.5,1.5363,7.5,8,1.5,1,2.8866,2.8866,0.1538,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,8,0.8889,,,,,,,
Darnell Mooney,ATL,WR,230,No,Yes,No,230,57,No,9,Yes,37,0.6491,3,0.2478,26,2,0.4561,411,63,20,877,,0.4217,0.5783,57,15.386,14,76,1.787,7.2105,-2.304,15.8077,2.4231,0.7692,23,111.4427,111.4427,0.2478,47.1,73.1,60.1,73.1,73.1,76.1,63.1,73.1,73.1,73.1,60.1,73.1,73.1,6,15,,4,0.0702,1,,,1,0.0385
Jeremy Ruckert,NYJ,TE,113,Yes,No,No,93,19,No,5,Yes,17,0.8947,2,0.2043,14,4,0.7368,120,66,27,71,0.6989,0.1828,0.1183,19,3.7368,,107.3,1.2903,6.3158,-0.4187,8.5714,4.7143,1.9286,6,30.6751,30.6751,0.1696,18,32,25,32,39,35,28,32,32,32,25,39,32,3,17,,2,0.1053,1,,1,,
Kalif Raymond,DET,WR,102,Yes,Yes,Yes,101,15,No,3,Yes,14,0.9333,,0.1485,14,3,0.9333,198,83,8,137,,0.4554,0.5446,15,9.1333,2,141,1.9604,13.2,5.4412,14.1429,5.9286,0.5714,10,24.8144,24.8144,0.1471,25.8,39.8,32.8,39.8,39.8,42.8,35.8,39.8,39.8,39.8,32.8,39.8,39.8,1,15,,,,1,,,1,0.0714
Andrei Iosivas,CIN,WR,305,No,No,Yes,296,33,No,12,No,30,0.9091,2,0.1115,17,4,0.5152,255,53,15,389,,0.598,0.3986,33,11.7879,6,84.8,0.8615,7.7273,-0.6638,15,3.1176,0.8824,13,59.3002,59.3002,0.1082,37.5,54.5,46,54.5,54.5,57.5,49,54.5,54.5,54.5,46,54.5,54.5,4,17,0.0034,5,0.1515,2,1,1,,
Hunter Renfrow,CAR,WR,78,No,No,No,76,14,No,1,Yes,12,0.8571,1,0.1842,10,1,0.7143,66,12,2,122,,0.8026,0.1974,14,8.7143,1,105.1,0.8684,4.7143,-2.9134,6.6,1.2,0.2,6,25.5449,25.5449,0.1795,12.6,22.6,17.6,22.6,22.6,22.6,17.6,22.6,22.6,22.6,17.6,22.6,22.6,2,6,,,,1,,1,,
Isaac TeSlaa,DET,WR,173,Yes,Yes,Yes,171,24,No,5,Yes,15,0.625,10,0.1404,14,4,0.5833,210,40,17,367,,0.2515,0.7485,24,15.2917,4,109.4,1.2281,8.75,-1.0535,15,2.8571,1.2143,12,57.2336,57.2336,0.1387,57,71,64,71,71,74,67,71,71,71,64,71,71,10,17,,,,6,4,5,,
Allen Lazard,NYJ,WR,66,No,No,Yes,64,7,No,1,No,4,0.5714,3,0.1094,3,,0.4286,24,11,3,75,,0.375,0.625,7,10.7143,1,12.5,0.375,3.4286,-4.1075,8,3.6667,1,1,16.4501,16.4501,0.1061,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,4,10,,1,0.1429,,,,,
Zay Jones,ARZ,WR,82,No,No,No,81,14,No,1,Yes,12,0.8571,,0.1728,11,,0.7857,159,29,11,192,,0.321,0.679,14,13.7143,4,84.2,1.963,11.3571,2.5535,14.4545,2.6364,1,6,24.7294,24.7294,0.1707,15.9,26.9,21.4,26.9,26.9,29.9,24.4,26.9,26.9,26.9,21.4,26.9,26.9,1,8,,,,,1,,,
Jaylin Noel,HST,WR,108,No,No,No,107,24,No,1,Yes,18,0.75,,0.2243,17,1,0.7083,234,45,8,304,,0.6075,0.3832,24,12.6667,8,112.2,2.1869,9.75,1.2277,13.7647,2.6471,0.4706,12,51.2236,51.2236,0.2222,35.4,52.4,43.9,52.4,52.4,55.4,46.9,52.4,52.4,52.4,43.9,52.4,52.4,3,17,0.0093,1,0.0417,2,,,,
Stefon Diggs,NE,WR,213,Yes,No,Yes,213,71,No,8,Yes,63,0.8873,2,0.3333,60,7,0.8451,697,275,102,559,,0.5399,0.4601,71,7.8732,6,105.2,3.2723,9.8169,2.4907,11.6167,4.5833,1.7,35,125.0131,125.0131,0.3333,81.7,141.7,111.7,141.7,141.7,144.7,114.7,141.7,141.7,141.7,111.7,141.7,141.7,7,17,,3,0.0423,2,1,1,9,0.15
Jaydon Blue,DAL,RB,17,No,No,Yes,11,,No,,No,,,,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.9091,,,,,,,
Ben Sinnott,WAS,TE,47,No,No,No,41,9,No,,No,8,0.8889,,0.2195,8,,0.8889,77,36,16,66,0.4634,0.439,0.0732,9,7.3333,2,139.4,1.878,8.5556,1.5165,9.625,4.5,2,4,14.4288,14.4288,0.1915,13.7,21.7,17.7,21.7,25.7,21.7,17.7,21.7,21.7,21.7,17.7,25.7,21.7,1,16,0.0244,,,1,,,1,0.125
Ashton Jeanty,LV,RB,221,No,No,No,156,16,No,,Yes,13,0.8125,,0.1026,13,,0.8125,181,135,57,56,,0.0128,0.0641,16,3.5,1,127.3,1.1603,11.3125,4.3699,13.9231,10.3846,4.3846,8,27.2861,27.2861,0.0724,36.1,49.1,42.6,55.6,49.1,52.1,45.6,49.1,49.1,49.1,42.6,49.1,49.1,2,17,0.9231,,,3,,,4,0.3077
Kyle Monangai,CHI,RB,110,Yes,Yes,Yes,75,3,No,,Yes,3,1,,0.04,3,,1,23,16,12,7,0.04,,0.0533,3,2.3333,,98.6,0.3067,7.6667,-1.9439,7.6667,5.3333,4,1,3.9397,3.9397,0.0273,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,,17,0.9067,,,,,,3,1
