Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Cedrick Wilson,MIA,WR,31,Yes,No,Yes,29,6,No,2,Yes,5,0.8333,,0.2069,5,2,0.8333,44,28,20,31,0.0345,0.2414,0.6897,6,5.1667,,97.2,1.5172,7.3333,0.5677,8.8,5.6,4,3,10.321,10.321,0.1935,4.4,9.4,6.9,9.4,9.4,9.4,6.9,9.4,9.4,9.4,6.9,9.4,9.4,1,10,0.0345,,,,,,2,0.4
Sean Tucker,TB,RB,37,No,No,No,22,2,No,,Yes,2,1,,0.0909,2,,1,34,25,6,9,,0.0455,0.2273,2,4.5,,158.3,1.5455,17,10.1206,17,12.5,3,1,3.1484,3.1484,0.0541,9.4,11.4,10.4,12.4,11.4,11.4,10.4,11.4,11.4,11.4,10.4,11.4,11.4,,17,0.7273,,,1,,,1,0.5
Brashard Smith,KC,RB,38,No,No,No,33,9,No,,Yes,6,0.6667,,0.2727,3,,0.3333,14,16,1,15,,0.2727,0.1515,9,1.6667,,42.4,0.4242,1.5556,-4.81,4.6667,5.3333,0.3333,2,13.586,13.586,0.2368,1.4,4.4,2.9,5.9,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,2,17,0.5758,2,0.2222,,,,,
John FitzPatrick,GB,TE,62,Yes,Yes,Yes,46,3,Yes,,Yes,3,1,,0.0652,3,,1,18,10,9,8,0.7826,0.087,0.087,3,2.6667,,91.7,0.3913,6,-0.1241,6,3.3333,3,2,6.0112,6.0112,0.0484,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,1,15,0.0435,,,,,,,
De'Von Achane,MIA,RB,180,No,No,No,141,22,No,3,Yes,17,0.7727,2,0.156,15,2,0.6818,92,73,18,117,,0.2624,0.1206,22,5.3182,1,78,0.6525,4.1818,-3.0851,6.1333,4.8667,1.2,5,41.0202,41.0202,0.1222,27.2,42.2,34.7,49.7,42.2,42.2,34.7,42.2,42.2,42.2,34.7,42.2,42.2,5,16,0.617,1,0.0455,3,1,1,2,0.1333
Mike Evans,TB,WR,104,No,No,No,104,49,No,18,Yes,32,0.6531,7,0.4712,23,8,0.4694,311,39,14,727,,0.25,0.75,49,14.8367,13,71,2.9904,6.3469,-2.7704,13.5217,1.6957,0.6087,19,110.9334,110.9334,0.4712,49.1,72.1,60.6,72.1,72.1,75.1,63.6,72.1,72.1,72.1,60.6,72.1,72.1,9,8,,4,0.0816,3,,3,,
Xavier Smith,LA,WR,82,No,No,Yes,77,12,No,,No,8,0.6667,,0.1558,8,,0.6667,220,61,8,319,,0.6623,0.3377,12,26.5833,7,75,2.8571,18.3333,6.7025,27.5,7.625,1,6,23.8133,23.8133,0.1463,22,30,26,30,30,33,29,30,30,30,26,30,30,1,16,,,,,1,,,
Kenneth Walker,SEA,RB,113,No,No,No,87,8,Yes,,Yes,7,0.875,,0.092,7,,0.875,42,49,15,-4,0.023,0.092,0.1034,8,-0.5,,88.5,0.4828,5.25,-0.8014,6,7,2.1429,3,13.5467,13.5467,0.0708,4.2,11.2,7.7,14.7,11.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,,17,0.7816,,,,,,2,0.2857
Keon Coleman,BUF,WR,148,Yes,No,No,143,44,No,10,Yes,35,0.7955,2,0.3077,30,6,0.6818,342,88,26,515,0.007,0.1469,0.8462,44,11.7045,8,97,2.3916,7.7727,-0.5771,11.4,2.9333,0.8667,19,79.8681,79.8681,0.2973,46.2,76.2,61.2,76.2,76.2,79.2,64.2,76.2,76.2,76.2,61.2,76.2,76.2,5,13,,4,0.0909,2,,1,,
Lil'Jordan Humphrey,DEN,WR,70,No,No,No,65,16,No,3,No,11,0.6875,3,0.2462,10,2,0.625,85,26,7,139,,0.3846,0.6154,16,8.6875,1,97.1,1.3077,5.3125,-2.2187,8.5,2.6,0.7,6,34.4731,34.4731,0.2286,14.5,24.5,19.5,24.5,24.5,24.5,19.5,24.5,24.5,24.5,19.5,24.5,24.5,4,10,,,,1,,1,,
Jordan Addison,MIN,WR,199,Yes,No,Yes,197,60,No,11,Yes,46,0.7667,6,0.3046,36,5,0.6,479,81,45,831,,0.1929,0.8071,60,13.85,16,88.1,2.4315,7.9833,-0.8449,13.3056,2.25,1.25,23,110.7158,110.7158,0.3015,65.9,101.9,83.9,101.9,101.9,104.9,86.9,101.9,101.9,101.9,83.9,101.9,101.9,10,14,,9,0.15,3,2,2,3,0.0833
Tyler Lockett,LV,WR,172,No,No,No,171,36,No,8,Yes,27,0.75,1,0.2105,20,4,0.5556,196,50,13,258,,0.7661,0.2339,36,7.1667,2,59.5,1.1462,5.4444,-1.7132,9.8,2.5,0.65,9,65.5002,65.5002,0.2093,19.6,39.6,29.6,39.6,39.6,42.6,32.6,39.6,39.6,39.6,29.6,39.6,39.6,1,17,,4,0.1111,,,,1,0.05
David Martin-Robinson,TEN,TE,15,No,No,No,11,2,Yes,,Yes,2,1,1,0.1818,2,,1,7,6,1,8,0.5455,0.0909,0.2727,2,4,,120.8,0.6364,3.5,-3.0048,3.5,3,0.5,2,5.0353,5.0353,0.1333,6.7,8.7,7.7,8.7,9.7,8.7,7.7,8.7,8.7,8.7,7.7,9.7,8.7,1,15,0.0909,,,1,,1,,
Jayden Higgins,HST,WR,211,No,No,No,210,53,No,5,Yes,37,0.6981,8,0.2524,32,2,0.6038,410,95,22,677,,0.2476,0.7524,53,12.7736,11,100.4,1.9524,7.7358,-0.9418,12.8125,2.9688,0.6875,22,100.6019,100.6019,0.2512,71,103,87,103,103,106,90,103,103,103,87,103,103,7,17,,1,0.0189,5,,4,1,0.0312
Skyy Moore,SF,WR,36,No,No,No,36,5,Yes,1,Yes,3,0.6,,0.1389,3,1,0.6,54,9,8,96,,0.3056,0.6944,5,19.2,2,97.1,1.5,10.8,0.6302,18,3,2.6667,3,9.5576,9.5576,0.1389,5.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,,17,,,,,,,,
Travis Homer,CHI,RB,3,Yes,Yes,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,
Mecole Hardman,BUF,WR,1,No,No,No,1,1,No,,No,,,,1,,,,,,,46,,,1,1,46,1,39.6,,,-15,,,,,2.5818,2.5818,1,,,,,,,,,,,,,,,2,,,,,,,,
Shane Zylstra,DET,TE,51,Yes,Yes,Yes,42,3,No,,Yes,1,0.3333,1,0.0714,1,,0.3333,11,1,,33,0.3571,0.4286,0.2143,3,11,,45.1,0.2619,3.6667,-4.7249,11,1,,,6.0199,6.0199,0.0588,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,1,5,,,,,,,,
