Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
Elijah Mitchell,KC,RB,1,No,Yes,No,1,No,Yes,1,1,1,,,1,,,,,22,,,,22,1,,,,-11.9429,,,,,3.7471,3.7471,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Jake Ferguson,DAL,TE,14,No,Yes,No,13,Yes,Yes,0.0769,17,1,1,1,0.0769,1,1,3,3,,,0.5385,0.2308,,,79.2,0.2308,3,-2.289,,3,3,,1.298,1.298,0.0714,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,,2,0.1538,2,,,,,,,
Davante Adams,LA,WR,3,No,No,No,3,No,No,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,5,Yes,Yes,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,24,No,Yes,No,24,No,No,,17,6,2,0.3333,0.25,2,0.3333,20,5,78,,0.25,0.75,13,1,4.2,0.8333,3.3333,-4.798,,10,2.5,1,13.9632,13.9632,0.25,2,4,3,4,4,4,3,4,4,4,3,4,4,,2,3,,1.5,,,,,,,1
Nico Collins,HST,WR,21,No,Yes,No,21,No,Yes,,15,7,5,0.7143,0.3333,3,0.4286,75,39,116,,0.0476,0.9524,16.5714,3,82.4,3.5714,10.7143,0.9061,,25,13,2,13.0122,13.0122,0.3333,7.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,1,,7,,2.3333,1,,,,1,0.3333,1
Elijah Arroyo,SEA,TE,5,No,Yes,Yes,5,No,Yes,,13,2,1,0.5,0.4,1,0.5,32,4,58,,0.4,,29,2,95.8,6.4,16,2.2309,,32,4,1,3.5964,3.5964,0.4,3.2,4.2,3.7,4.2,4.7,4.2,3.7,4.2,4.2,4.2,3.7,4.7,4.2,1,,3,0.6,3,1,,,,,,
Marquise Brown,KC,WR,20,Yes,Yes,Yes,20,Yes,Yes,,16,5,4,0.8,0.25,3,0.6,87,23,96,,0.4,0.6,19.2,1,104.2,4.35,17.4,7.0881,,29,7.6667,3,10.1224,10.1224,0.25,8.7,11.7,10.2,11.7,11.7,11.7,10.2,11.7,11.7,11.7,10.2,11.7,11.7,1,,2,,0.6667,,1,,,,,
Darius Slayton,NYG,WR,12,No,Yes,No,12,Yes,Yes,,14,5,3,0.6,0.4167,3,0.6,39,,64,,0.1667,0.8333,12.8,,84.6,3.25,7.8,-1.3481,,13,,2,9.9528,9.9528,0.4167,3.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,2,1,,,,1,,,,,,1
John Metchie,NYJ,WR,8,No,No,No,8,No,No,,16,2,1,0.5,0.25,,,,,24,1,0.375,0.625,12,,39.6,,,-8.9318,0.5,,,,3.0227,3.0227,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
