Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
Marvin Harrison,ARZ,WR,11,No,Yes,No,11,Yes,Yes,,12,2,2,1,0.1818,1,0.5,16,-2,23,,0.1818,0.8182,11.5,,77.1,1.4545,8,-0.6309,,16,-2,1,9.5102,9.5102,0.1818,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,,,,,,,
Rashee Rice,KC,WR,22,No,Yes,No,22,No,Yes,,8,7,5,0.7143,0.3182,2,0.2857,57,19,110,2,0.4545,0.5455,15.7143,2,61,2.5909,8.1429,-2.0791,0.2857,28.5,9.5,2,15.3561,15.3561,0.3182,5.7,7.7,6.7,7.7,7.7,7.7,6.7,7.7,7.7,7.7,6.7,7.7,7.7,2,1,5,,2.5,1,,,,,,2
Ty Chandler,MIN,RB,2,Yes,Yes,No,2,Yes,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britain Covey,PHI,WR,2,No,Yes,No,2,No,No,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,5,Yes,Yes,No,5,Yes,Yes,,16,1,1,1,0.2,1,1,8,1,7,,,,7,,100,1.6,8,0.6922,,8,1,,1.4978,1.4978,0.2,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,1,1,1,,,,,,,
Justin Watson,HST,WR,2,Yes,Yes,No,2,No,No,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,18,No,No,No,17,No,No,,17,1,,,0.0588,,,,,19,,0.4706,0.5294,19,,39.6,,,-11.9321,,,,,2.8642,2.8642,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,20,No,No,No,20,No,No,,17,6,5,0.8333,0.3,3,0.5,60,3,114,,0.35,0.65,19,3,85.4,3,10,-0.7461,,20,1,3,13.9142,13.9142,0.3,6,9,7.5,9,9,9,7.5,9,9,9,7.5,9,9,3,2,,,,1,1,,,,,1
Zavier Scott,MIN,RB,4,Yes,Yes,No,4,Yes,Yes,0.5,11,2,2,1,0.5,2,1,23,-1,33,,0.25,0.25,16.5,1,154.2,5.75,11.5,4.7104,,11.5,-0.5,1,3.9774,3.9774,0.5,8.3,10.3,9.3,11.3,10.3,10.3,9.3,10.3,10.3,10.3,9.3,10.3,10.3,1,1,,,,1,,1,1,,,1
Jahmyr Gibbs,DET,RB,6,Yes,Yes,Yes,4,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody White,SEA,WR,3,Yes,Yes,No,3,Yes,Yes,,9,1,1,1,0.3333,1,1,9,3,6,,1,,6,,104.2,3,9,2.0509,,9,3,,1.4052,1.4052,0.3333,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,1,,1,,,,,,,
Hunter Henry,NE,TE,14,Yes,Yes,No,12,Yes,Yes,,17,,,,,,,,,,,0.3333,0.4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
Dalton Kincaid,BUF,TE,10,No,No,No,9,No,No,,12,1,,,0.1111,,,,,20,,0.3333,0.4444,20,1,39.6,,,-11.7623,,,,,1.6022,1.6022,0.1,,,,,,,,,,,,,,,,,0.2222,,,,,,,,
Jakobi Meyers,JAX,WR,16,No,No,No,16,No,No,,16,2,1,0.5,0.125,1,0.5,6,,24,,0.4375,0.5625,12,,56.3,0.375,3,-5.9241,,6,,,3.6635,3.6635,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1,,,,,1,,,,,,
Brian Thomas,JAX,WR,14,No,No,No,14,No,No,,14,3,2,0.6667,0.2143,1,0.3333,24,2,77,,0.2143,0.7857,25.6667,2,63.2,1.7143,8,-4.3037,,24,2,1,5.6188,5.6188,0.2143,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,1,1,,,,,,,,,,1
DeAndre Hopkins,BLT,WR,8,No,No,No,8,No,No,,17,1,1,1,0.125,1,1,41,,41,,0.375,0.625,41,1,118.8,5.125,41,26,,41,,1,1.5278,1.5278,0.125,4.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,1,,,,,1,,,,,,
Josh Reynolds,NYJ,WR,9,No,Yes,Yes,9,Yes,Yes,,5,3,1,0.3333,0.3333,,,,,39,1,0.1111,0.8889,13,,39.6,,,-9.4193,0.3333,,,,5.8811,5.8811,0.3333,,,,,,,,,,,,,,1,,,,,,,,,,,1
Noah Gray,KC,TE,14,Yes,Yes,Yes,12,Yes,Yes,,16,2,2,1,0.1667,2,1,20,4,16,,0.1667,0.0833,8,,108.3,1.6667,10,2.3899,,10,2,1,2.8034,2.8034,0.1429,2,4,3,4,5,4,3,4,4,4,3,5,4,1,,3,0.75,1.5,1,,,,,,
Chimere Dike,TEN,WR,18,No,No,No,18,No,No,,17,4,3,0.75,0.2222,2,0.5,46,7,76,1,0.7778,0.2222,19,2,91.7,2.5556,11.5,2.0064,0.25,23,3.5,2,7.8932,7.8932,0.2222,4.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,1,1,,,,1,1,,,,,2
Tim Patrick,JAX,WR,6,No,No,No,6,No,No,,16,3,3,1,0.5,3,1,59,12,51,,0.3333,0.6667,17,1,158.3,9.8333,19.6667,9.6122,,19.6667,4,3,6.736,6.736,0.5,17.9,20.9,19.4,20.9,20.9,20.9,19.4,20.9,20.9,20.9,19.4,20.9,20.9,2,1,,,,2,,2,1,,,1
Gabe Davis,BUF,WR,4,No,No,No,4,No,No,,6,1,1,1,0.25,1,1,17,,17,,,1,17,,118.8,4.25,17,5.3347,,17,,1,1.6627,1.6627,0.25,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,18,Yes,Yes,Yes,18,No,No,,15,3,2,0.6667,0.1667,2,0.6667,26,23,8,,0.2778,0.2222,2.6667,,93.8,1.4444,8.6667,2.8506,,13,11.5,2,4.2532,4.2532,0.1667,2.6,4.6,3.6,4.6,5.6,4.6,3.6,4.6,4.6,4.6,3.6,5.6,4.6,,,4,0.5,2,,,,,,,
Stone Smartt,NYJ,TE,1,No,No,No,1,No,No,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,15,Yes,Yes,No,15,No,No,,17,,,,,,,,,,,0.2,0.8,,,,,,,,,,,1.6222,1.6222,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,15,Yes,Yes,No,15,Yes,Yes,0.0667,17,5,2,0.4,0.3333,2,0.4,18,1,73,,0.3333,0.6,14.6,1,50.4,1.2,3.6,-4.9073,,9,0.5,1,8.605,8.605,0.3333,7.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,,,1,,0.5,,,1,,,,1
Michael Pittman,IND,WR,6,Yes,Yes,No,6,No,No,,17,2,2,1,0.3333,2,1,14,6,16,,0.3333,0.6667,8,,135.4,2.3333,7,-0.5479,,7,3,1,4.4283,4.4283,0.3333,7.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,,1,5,,2.5,,,1,1,1,0.5,1
Jordan Mason,MIN,RB,6,Yes,Yes,No,4,Yes,Yes,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,17,Yes,Yes,Yes,17,Yes,Yes,,17,2,1,0.5,0.1176,1,0.5,18,-1,51,,0.1176,0.8824,25.5,1,81.3,1.0588,9,-1.9492,,18,-1,1,7.7922,7.7922,0.1176,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,,,,,,,,,,,
Jonathan Taylor,IND,RB,6,Yes,Yes,No,5,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,29,No,No,No,29,No,No,,17,8,6,0.75,0.2759,5,0.625,88,17,144,1,0.4138,0.5862,18,2,100,3.0345,11,0.9459,0.125,17.6,3.4,3,16.7496,16.7496,0.2759,7.8,12.8,10.3,12.8,12.8,12.8,9.3,11.8,11.8,11.8,9.3,12.8,11.8,2,,3,,0.6,2,,,,1,0.2,1
Zach Ertz,WAS,TE,13,No,Yes,No,12,No,Yes,,13,3,1,0.3333,0.25,1,0.3333,30,2,75,,0.75,,25,2,31.9,2.5,10,1.5408,,30,2,1,5.6048,5.6048,0.2308,3,4,3.5,4,4.5,4,3.5,4,4,4,3.5,4.5,4,1,,2,0.25,2,1,1,,,,,
Charlie Kolar,BLT,TE,6,No,No,No,4,No,No,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Darnell Washington,PIT,TE,8,No,Yes,Yes,7,No,No,,16,2,1,0.5,0.2857,,,,,22,,0.4286,0.2857,11,,39.6,,,-9.52,,,,,2.4902,2.4902,0.25,,,,,,,,,,,,,,1,,,0.2857,,,,,,,,
Courtland Sutton,DEN,WR,36,No,No,No,36,No,No,,17,9,8,0.8889,0.25,5,0.5556,80,20,103,1,0.0833,0.9167,11.4444,2,85.4,2.2222,8.8889,0.4321,0.1111,16,4,4,18.4176,18.4176,0.25,8,13,10.5,13,13,13,10.5,13,13,13,10.5,13,13,3,2,18,,3.6,2,,,,1,0.2,2
Javonte Williams,DAL,RB,10,No,No,No,7,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,2,No,Yes,Yes,2,No,No,,12,1,,,0.5,,,,,34,,1,,34,1,39.6,,,-14,,,,,2.2536,2.2536,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,
Dallas Goedert,PHI,TE,17,No,Yes,No,16,Yes,Yes,,15,2,,,0.125,,,,,26,,0.5625,0.1875,13,,39.6,,,-9.9649,,,,,2.9996,2.9996,0.1176,,,,,,,,,,,,,,,,,0.25,,,,,,,,
Arian Smith,NYJ,WR,2,No,No,No,2,No,No,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,12,No,No,No,12,No,No,,15,2,1,0.5,0.1667,1,0.5,5,,54,,0.25,0.75,27,1,56.3,0.4167,2.5,-8.1814,,5,,,4.582,4.582,0.1667,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,,,,,1,,,,,,
Cedric Tillman,CLV,WR,12,No,Yes,No,12,No,No,,13,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,7,No,No,No,7,No,No,,7,1,1,1,0.1429,1,1,5,2,3,,0.2857,0.7143,3,,87.5,0.7143,5,-0.4499,,5,2,,3.6258,3.6258,0.1429,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,
Tip Reiman,ARZ,TE,2,No,Yes,No,1,No,Yes,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,7,No,No,No,7,No,No,,17,2,1,0.5,0.2857,1,0.5,43,,63,,0.4286,0.4286,31.5,1,135.4,6.1429,21.5,8.1674,,43,,1,7.8342,7.8342,0.2857,10.3,11.3,10.8,11.3,11.3,11.3,10.8,11.3,11.3,11.3,10.8,11.3,11.3,,1,,0.1429,,,,1,1,,,
Raheem Mostert,LV,RB,2,No,Yes,No,1,No,Yes,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,12,No,Yes,No,12,Yes,Yes,,11,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,11,No,No,No,10,No,No,,17,4,2,0.5,0.4,1,0.25,3,,51,,0.2,0.2,12.75,1,39.6,0.3,0.75,-9.3969,,3,,,6.1139,6.1139,0.3636,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,1,,,0.6,,,,,,,,1
TreVeyon Henderson,NE,RB,6,Yes,Yes,No,2,Yes,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,5,Yes,Yes,No,5,Yes,Yes,,7,1,,,0.2,,,,,19,,0.8,0.2,19,,39.6,,,-11.9321,,,,,1.3106,1.3106,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,10,No,Yes,No,5,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,29,No,No,No,28,No,No,,15,5,4,0.8,0.1786,4,0.8,81,7,86,,0.4286,0.2143,17.2,2,158.3,2.8929,16.2,5.6629,,20.25,1.75,4,14.2188,14.2188,0.1724,14.1,18.1,16.1,18.1,20.1,18.1,16.1,18.1,18.1,18.1,16.1,20.1,18.1,1,1,2,0.3571,0.5,1,1,1,,,,2
Chris Godwin,TB,WR,22,No,Yes,No,22,Yes,Yes,,9,5,3,0.6,0.2273,1,0.2,25,18,64,,0.5,0.5,12.8,1,47.9,1.1364,5,-3.6468,,25,18,1,8.535,8.535,0.2273,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3,,18,,18,1,,,,1,1,
Terry McLaurin,WAS,WR,8,No,Yes,No,8,No,No,,10,1,1,1,0.125,1,1,19,3,16,,0.375,0.625,16,,118.8,2.375,19,8.9048,,19,3,,1.758,1.758,0.125,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,-1,,-1,,,,,,,
Harold Fannin,CLV,TE,18,No,Yes,Yes,18,No,No,,16,6,3,0.5,0.3333,3,0.5,55,21,49,,0.2778,0.1667,8.1667,,81.9,3.0556,9.1667,1.5358,,18.3333,7,2,8.7798,8.7798,0.3333,5.5,8.5,7,8.5,10,8.5,7,8.5,8.5,8.5,7,10,8.5,,,10,0.5556,3.3333,,,,,,,
Cam Skattebo,NYG,RB,6,No,Yes,Yes,4,No,Yes,0.75,8,1,1,1,0.25,1,1,16,14,2,,0.25,,2,,118.8,4,16,9.6053,,16,14,1,1.4082,1.4082,0.1667,1.6,2.6,2.1,3.1,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,3,,3,,,,,,,
Dont'e Thornton,LV,WR,5,Yes,Yes,Yes,5,Yes,Yes,,15,2,1,0.5,0.4,1,0.5,7,2,57,,0.4,0.6,28.5,1,18.8,1.4,3.5,-7.1814,,7,2,1,9.1839,9.1839,0.4,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,2,,2,,,,,,,1
John Bates,WAS,TE,5,No,Yes,No,4,No,No,,15,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,
Trey McBride,ARZ,TE,19,No,No,No,19,No,No,,17,4,2,0.5,0.2105,2,0.5,43,12,55,,0.7895,0.0526,13.75,1,128.1,2.2632,10.75,2.1008,,21.5,6,2,10.7454,10.7454,0.2105,10.3,12.3,11.3,12.3,13.3,12.3,11.3,12.3,12.3,12.3,11.3,13.3,12.3,1,2,4,0.1579,2,1,,1,1,,,2
Dontayvion Wicks,GB,WR,7,Yes,Yes,No,7,No,Yes,,14,,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,15,No,No,No,13,No,No,0.1538,17,3,3,1,0.2308,1,0.3333,15,1,35,1,0.1538,0.1538,11.6667,,50.7,1.1538,5,-4.3224,0.3333,15,1,,6.6023,6.6023,0.2,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,2,1,1,0.5385,1,1,,,,,,1
Emeka Egbuka,TB,WR,32,No,Yes,No,32,Yes,Yes,,17,6,4,0.6667,0.1875,2,0.3333,48,16,152,,0.5,0.5,25.3333,2,23.6,1.5,8,-3.6876,,24,8,2,10.7186,10.7186,0.1875,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,2,1,10,,5,,,,,1,0.5,1
Kyren Williams,LA,RB,5,No,No,No,4,No,No,0.75,17,1,1,1,0.25,,,,,7,,0.25,,7,,39.6,,,-7.3641,,,,,1.4421,1.4421,0.2,,,,,,,,,,,,,,1,,,,,,,,,,,
Payne Durham,TB,TE,4,No,Yes,No,4,Yes,Yes,,17,2,,,0.5,,,,,19,,0.5,,9.5,,39.6,,,-7.9423,,,,,5.557,5.557,0.5,,,,,,,,,,,,,,,1,,0.5,,,,,,,,1
Tucker Kraft,GB,TE,5,No,Yes,No,4,No,No,,8,2,1,0.5,0.5,1,0.5,8,-3,15,,0.25,0.75,7.5,,60.4,2,4,-3.4035,,8,-3,1,3.5277,3.5277,0.4,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,,,,,1
Will Shipley,PHI,RB,5,No,Yes,No,5,No,No,0.8,15,1,1,1,0.2,1,1,11,-2,13,,,0.2,13,,112.5,2.2,11,3.9524,,11,-2,1,1.275,1.275,0.2,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,,,,,,,
Chase Brown,CIN,RB,13,No,Yes,No,12,No,No,0.6667,17,2,2,1,0.1667,2,1,14,2,13,,0.25,0.0833,6.5,,135.4,1.1667,7,0.1748,,7,1,1,5.9261,5.9261,0.1538,7.4,9.4,8.4,10.4,9.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,1,1,1,,0.5,1,1,1,1,,,1
Curtis Samuel,BUF,WR,5,No,Yes,No,5,No,Yes,,6,1,1,1,0.2,1,1,21,5,16,,0.2,0.8,16,,118.8,4.2,21,10.9048,,21,5,1,1.9627,1.9627,0.2,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,1,,1,,,,,,,
Tanner Hudson,CIN,TE,3,No,Yes,No,3,No,No,,13,1,1,1,0.3333,1,1,14,,20,,0.3333,,20,1,158.3,4.6667,14,2.2377,,14,,1,2.4973,2.4973,0.3333,7.4,8.4,7.9,8.4,8.9,8.4,7.9,8.4,8.4,8.4,7.9,8.9,8.4,1,1,,0.6667,,1,1,1,1,,,1
Devontez Walker,BLT,WR,2,No,No,No,2,No,No,,11,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,8,No,Yes,No,7,No,No,0.5714,17,2,2,1,0.2857,2,1,34,32,2,,,0.1429,1,,118.8,4.8571,17,11.3884,,17,16,1,2.6992,2.6992,0.25,3.4,5.4,4.4,5.4,6.4,5.4,4.4,5.4,5.4,5.4,4.4,6.4,5.4,,,5,0.2857,2.5,,,,,,,
Daniel Bellinger,NYG,TE,8,No,Yes,No,7,Yes,Yes,,16,,,,,,,,,,,0.5714,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1429,,,,,,,,
Jaylin Noel,HST,WR,10,Yes,Yes,No,10,No,No,,17,,,,,,,,,,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,7,No,Yes,No,7,No,No,,8,,,,,,,,,,,0.2857,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,11,Yes,Yes,Yes,8,Yes,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,15,Yes,Yes,Yes,10,No,No,0.9,17,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,3,No,Yes,No,3,No,No,,16,1,,,0.3333,,,,,25,,0.6667,,25,1,39.6,,,-9.5556,,,,,1.5971,1.5971,0.3333,,,,,,,,,,,,,,,,,0.3333,,,,,,,,
Stefon Diggs,NE,WR,13,Yes,Yes,No,13,Yes,Yes,,17,7,6,0.8571,0.5385,5,0.7143,82,19,108,,0.3077,0.6923,15.4286,2,110.4,6.3077,11.7143,2.942,,16.4,3.8,4,11.9743,11.9743,0.5385,8.2,13.2,10.7,13.2,13.2,13.2,10.7,13.2,13.2,13.2,10.7,13.2,13.2,2,1,15,,3,1,1,,,1,0.2,1
Jeremy Ruckert,NYJ,TE,8,No,No,No,8,No,No,,17,,,,,,,,,,,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,
Kalif Raymond,DET,WR,4,Yes,Yes,Yes,4,No,No,,15,1,,,0.25,,,,,9,,0.5,0.5,9,,39.6,,,-7.4539,,,,,4.6748,4.6748,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,10,No,No,No,10,No,No,,15,2,,,0.2,,,,,39,,0.5,0.5,19.5,1,39.6,,,-11.7947,,,,,6.2292,6.2292,0.2,,,,,,,,,,,,,,,1,,,,,,,,,,1
Isaac TeSlaa,DET,WR,3,Yes,Yes,Yes,3,No,No,,17,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,
Allen Lazard,NYJ,WR,8,No,Yes,Yes,8,No,Yes,,10,3,1,0.3333,0.375,1,0.3333,4,,76,,0.875,0.125,25.3333,1,81.9,0.5,1.3333,-9.6535,,4,,1,7.012,7.012,0.375,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,,2,,,,,,1,1,,,1
Hunter Renfrow,CAR,WR,4,No,Yes,No,4,Yes,Yes,,6,2,,,0.5,,,,,30,,0.5,0.5,15,,39.6,,,-10.2899,,,,,5.0462,5.0462,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,1
Andrei Iosivas,CIN,WR,21,No,Yes,No,21,No,No,,17,4,1,0.25,0.1905,1,0.25,14,5,43,,0.2857,0.7143,10.75,1,41.7,0.6667,3.5,-4.2167,,14,5,1,11.7755,11.7755,0.1905,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,1,2,,2,,,,,,,1
Calvin Austin,PIT,WR,13,No,No,No,13,No,No,,14,4,2,0.5,0.3077,1,0.25,13,-1,50,,0.6923,0.3077,12.5,1,40.6,1,3.25,-5.5108,,13,-1,1,6.1222,6.1222,0.3077,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2,,-1,,-1,1,,,,,,
Bijan Robinson,ATL,RB,11,No,No,No,10,No,No,0.7,17,3,3,1,0.3,3,1,22,-1,23,,0.2,0.1,7.6667,,97.2,2.2,7.3333,-0.1435,,7.3333,-0.3333,,4.4347,4.4347,0.2727,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,,,,,,,,,,,1
LeQuint Allen,JAX,RB,10,No,No,No,7,No,No,0.8571,17,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,24,Yes,Yes,Yes,24,No,No,0.0833,16,3,2,0.6667,0.125,1,0.3333,10,2,33,,0.375,0.25,11,,43.8,0.4167,3.3333,-5.057,,10,2,1,6.7611,6.7611,0.125,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,1,,,0.2917,,,,,,,,
Jaleel McLaughlin,DEN,RB,3,No,No,No,2,No,No,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Waller,MIA,TE,3,No,Yes,No,3,No,Yes,,9,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,16,No,No,No,16,No,No,,17,3,2,0.6667,0.1875,1,0.3333,7,2,23,,0.625,0.25,7.6667,,2.8,0.4375,2.3333,-5.0797,,7,2,,7.63,7.63,0.1875,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,1,1,0.125,1,,,,,,,1
Isiah Pacheco,KC,RB,13,Yes,Yes,No,12,No,Yes,0.9167,13,2,1,0.5,0.1667,1,0.5,31,15,19,,,0.0833,9.5,,95.8,2.5833,15.5,6.9119,,31,15,1,3.3327,3.3327,0.1538,3.1,4.1,3.6,4.6,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,,,1,,1,,,,,,,
Zach Charbonnet,SEA,RB,11,No,Yes,No,8,No,Yes,0.875,16,1,,,0.125,,,,,7,,0.125,,7,,39.6,,,-7.3641,,,,,1.7121,1.7121,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,12,No,Yes,No,10,Yes,Yes,0.8,15,1,1,1,0.1,1,1,5,3,2,,,0.2,2,,127.1,0.5,5,-1.3947,,5,3,1,3.2687,3.2687,0.0833,6.5,7.5,7,8,7.5,7.5,7,7.5,7.5,7.5,7,7.5,7.5,,,,,,,,1,,,,1
