Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Colston Loveland,CHI,TE,60,Yes,No,No,58,19,No,Yes,16,0.8421,0.3276,13,0.6842,168,58,14,181,,0.2586,9.5263,131,2.8966,8.8421,0.349,12.9231,4.4615,1.0769,7,33.195,33.195,0.3167,28.8,41.8,35.3,41.8,48.3,44.8,38.3,41.8,41.8,41.8,35.3,48.3,41.8,16,2,1,,2,1,0.1724,1,1,3,0.2308,0.569,,,
Jaleel McLaughlin,DEN,RB,2,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,79,No,Yes,No,79,9,No,No,7,0.7778,0.1139,3,0.3333,17,-5,-6,88,,0.4937,9.7778,42.4,0.2152,1.8889,-6.0869,5.6667,-1.6667,-2,1,16.5534,16.5534,0.1139,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,15,2,1,,,,0.5063,,1,,,,3,0.3333,
Jeremy Ruckert,NYJ,TE,23,Yes,Yes,No,18,8,Yes,No,8,1,0.4444,8,1,55,25,13,30,,0.1111,3.75,95.3,3.0556,6.875,0.6033,6.875,3.125,1.625,2,11.0653,11.0653,0.3478,5.5,13.5,9.5,13.5,17.5,13.5,9.5,13.5,13.5,13.5,9.5,17.5,13.5,17,1,,1,,,0.1667,,,,,0.7222,,,
Kalif Raymond,DET,WR,39,Yes,No,No,39,6,No,Yes,5,0.8333,0.1538,4,0.6667,42,15,7,35,,0.3077,5.8333,86.8,1.0769,7,0.2235,10.5,3.75,1.75,2,9.3999,9.3999,0.1538,4.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,15,,,,,,0.6923,,1,,,,1,0.1667,
Andrei Iosivas,CIN,WR,53,No,No,No,53,19,No,Yes,16,0.8421,0.3585,14,0.7368,164,49,24,152,,0.566,8,77.5,3.0943,8.6316,1.1183,11.7143,3.5,1.7143,9,31.7026,31.7026,0.3585,16.4,30.4,23.4,30.4,30.4,33.4,26.4,30.4,30.4,30.4,23.4,30.4,30.4,17,2,,1,,,0.434,,2,5,0.3571,,1,0.0526,
Isaac TeSlaa,DET,WR,36,Yes,No,No,36,2,No,Yes,2,1,0.0556,1,0.5,18,4,,28,,0.3056,14,81.3,0.5,9,-0.8134,18,4,,1,3.5634,3.5634,0.0556,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,17,1,,,,,0.6944,,,,,,,,
Allen Lazard,NYJ,WR,23,No,Yes,No,23,6,Yes,Yes,4,0.6667,0.2609,4,0.6667,30,11,6,71,,0.4783,11.8333,78.5,1.3043,5,-2.9051,7.5,2.75,1.5,2,11.2038,11.2038,0.2609,3,7,5,7,7,7,5,7,7,7,5,7,7,10,2,,2,,,0.5217,2,1,,,,,,
Hunter Renfrow,CAR,WR,24,Yes,No,Yes,24,5,No,Yes,4,0.8,0.2083,3,0.6,17,5,1,37,,0.7917,7.4,105.8,0.7083,3.4,-3.8058,5.6667,1.6667,0.3333,2,10.7038,10.7038,0.2083,7.7,10.7,9.2,10.7,10.7,10.7,9.2,10.7,10.7,10.7,9.2,10.7,10.7,6,2,1,1,1,1,0.2083,,2,,,,,,
Zay Jones,ARZ,WR,12,No,No,No,12,2,No,No,1,0.5,0.1667,1,0.5,24,5,1,31,,0.4167,15.5,93.8,2,12,1.5109,24,5,1,1,5.1799,5.1799,0.1667,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,8,,1,,,,0.5833,,1,,,,,,
