Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Clyde Edwards-Helaire,KC,RB,2,Yes,Yes,Yes,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,44,No,Yes,Yes,44,12,No,Yes,11,0.9167,0.2727,8,0.6667,150,77,36,150,,0.3182,12.5,102.8,3.4091,12.5,3.8627,18.75,9.625,4.5,8,26.2196,26.2196,0.2727,21,29,25,29,29,32,28,29,29,29,25,29,29,15,3,,1,1,,0.6818,3,,1,0.125,,1,0.0833,
Mike Gesicki,CIN,TE,21,No,No,No,21,3,No,Yes,2,0.6667,0.1429,2,0.6667,14,4,2,10,,0.8571,3.3333,77.1,0.6667,4.6667,-1.4488,7,2,1,1,4.9524,4.9524,0.1429,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,13,,,,,,0.0952,,1,,,0.0476,,,
Deebo Samuel,WAS,WR,62,No,Yes,No,61,14,No,Yes,12,0.8571,0.2295,10,0.7143,119,57,20,119,0.0492,0.6066,8.5,97,1.9508,8.5,0.5012,11.9,5.7,2,5,24.3282,24.3282,0.2258,11.9,21.9,16.9,21.9,21.9,24.9,19.9,21.9,21.9,21.9,16.9,21.9,21.9,16,3,1,2,,,0.3443,,1,2,0.2,,2,0.1429,
Julius Chestnut,TEN,RB,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,
Wan'Dale Robinson,NYG,WR,59,No,No,No,59,16,No,Yes,13,0.8125,0.2712,13,0.8125,145,68,12,152,,0.6102,9.5,104.4,2.4576,9.0625,0.9476,11.1538,5.2308,0.9231,5,26.5108,26.5108,0.2712,14.5,27.5,21,27.5,27.5,30.5,24,27.5,27.5,27.5,21,27.5,27.5,16,3,1,2,,,0.3898,3,1,1,0.0769,,,,
Devin Duvernay,CHI,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.6,,,,,0.2,,,
Jake Tonges,SF,TE,38,No,No,No,36,8,No,Yes,7,0.875,0.2222,5,0.625,35,20,7,32,0.0278,0.1111,4,72.4,0.9722,4.375,-2.3149,7,4,1.4,4,11.1786,11.1786,0.2105,3.5,8.5,6,8.5,11,8.5,6,8.5,8.5,8.5,6,11,8.5,16,3,,1,,,0.1111,,1,,,0.75,,,
Ben Skowronek,PIT,WR,6,Yes,No,No,6,1,No,Yes,1,1,0.1667,1,1,21,3,2,18,,0.3333,18,118.8,3.5,21,10.1009,21,3,2,1,1.8013,1.8013,0.1667,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,16,,,,,,0.6667,,,,,,,,
Beaux Collins,NYG,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Roman Wilson,PIT,WR,21,No,No,No,21,1,No,No,1,1,0.0476,1,1,21,,,29,,0.0476,29,158.3,1,21,9.5615,21,,,1,1.4857,1.4857,0.0476,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,13,1,1,1,1,1,0.9524,1,,,,,,,
Trey Benson,ARZ,RB,4,No,No,No,3,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,34,No,No,Yes,21,,No,Yes,,,,,,,,,,0.9524,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
RJ Harvey,DEN,RB,44,No,No,Yes,39,11,No,Yes,10,0.9091,0.2821,10,0.9091,114,85,9,38,0.7949,0.0769,3.4545,149.4,2.9231,10.3636,3.6665,11.4,8.5,0.9,6,21.0108,21.0108,0.25,23.4,33.4,28.4,38.4,33.4,36.4,31.4,33.4,33.4,33.4,28.4,33.4,33.4,17,,1,,2,1,0.0513,1,4,5,0.5,0.0769,,,
Mason Tipton,NO,WR,19,No,No,Yes,19,2,No,No,1,0.5,0.1053,1,0.5,5,,,29,,0.1579,14.5,56.3,0.2632,2.5,-6.5579,5,,,,4.3859,4.3859,0.1053,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,13,,1,,,,0.8421,1,1,,,,,,
Savion Williams,GB,WR,4,No,No,No,4,2,Yes,Yes,2,1,0.5,2,1,39,3,,36,,1,18,118.8,9.75,19.5,11.492,19.5,1.5,,1,4.4507,4.4507,0.5,3.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,12,1,,1,,,,1,,,,,,,
Derius Davis,LAC,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,
Deven Thompkins,ATL,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,
Kylen Granson,PHI,TE,9,No,Yes,No,9,3,No,Yes,3,1,0.3333,2,0.6667,5,3,2,33,0.1111,0.4444,11,70.1,0.5556,1.6667,-7.0855,2.5,1.5,1,1,4.9968,4.9968,0.3333,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,17,2,,1,,,0.2222,1,,,,0.2222,1,0.3333,
Konata Mumpfield,LA,WR,37,No,No,No,37,10,No,Yes,7,0.7,0.2703,6,0.6,70,17,3,145,,0.1622,14.5,75,1.8919,7,-1.5984,11.6667,2.8333,0.5,6,18.0985,18.0985,0.2703,13,19,16,19,19,19,16,19,19,19,16,19,19,17,4,1,3,1,1,0.8378,2,2,,,,,,
Kaleb Johnson,PIT,RB,2,No,Yes,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,34,No,No,No,25,2,No,Yes,2,1,0.08,1,0.5,8,6,1,6,0.84,,3,60.4,0.32,4,-2.5283,8,6,1,,2.7368,2.7368,0.0588,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,14,,,,,,0.16,,1,,,,1,0.5,
Brenton Strange,JAX,TE,48,No,Yes,No,45,15,No,No,15,1,0.3333,11,0.7333,96,44,12,69,,0.2667,4.6,89.9,2.1333,6.4,-0.2738,8.7273,4,1.0909,5,22.7355,22.7355,0.3125,9.6,20.6,15.1,20.6,26.1,20.6,15.1,20.6,20.6,20.6,15.1,26.1,20.6,12,1,,,,,0.2444,,5,3,0.2727,0.4889,2,0.1333,
Tory Horton,SEA,WR,22,No,No,No,22,4,No,Yes,3,0.75,0.1818,3,0.75,45,12,5,81,,0.3182,20.25,151,2.0455,11.25,2.2483,15,4,1.6667,2,9.2462,9.2462,0.1818,10.5,13.5,12,13.5,13.5,13.5,12,13.5,13.5,13.5,12,13.5,13.5,8,,1,,1,1,0.6818,2,,,,,,,
Travis Kelce,KC,TE,63,Yes,No,No,61,20,No,Yes,15,0.75,0.3279,14,0.7,217,104,25,156,,0.3443,7.8,122.3,3.5574,10.85,3.3464,15.5,7.4286,1.7857,10,36.2807,36.2807,0.3175,27.7,41.7,34.7,41.7,48.7,44.7,37.7,41.7,41.7,41.7,34.7,48.7,41.7,17,3,1,2,1,1,0.3115,1,2,,,0.3443,1,0.05,
Tyreek Hill,MIA,WR,16,No,No,Yes,16,5,No,Yes,4,0.8,0.3125,3,0.6,80,3,2,98,,0.4375,19.6,104.2,5,16,6.2914,26.6667,1,0.6667,3,9.2468,9.2468,0.3125,8,11,9.5,11,11,11,9.5,11,11,11,9.5,11,11,4,1,,,,,0.5625,2,,,,,,,
Cole Kmet,CHI,TE,58,Yes,No,No,50,9,No,Yes,6,0.6667,0.18,5,0.5556,86,22,7,103,0.06,0.12,11.4444,125.2,1.72,9.5556,1.535,17.2,4.4,1.4,4,13.8726,13.8726,0.1552,14.6,19.6,17.1,19.6,22.1,19.6,17.1,19.6,19.6,19.6,17.1,22.1,19.6,16,1,,,1,,0.14,3,,,,0.68,,,
Demarcus Robinson,SF,WR,42,No,Yes,No,42,6,No,Yes,5,0.8333,0.1429,3,0.5,46,2,,122,,0.3571,20.3333,115.3,1.0952,7.6667,-3.0206,15.3333,0.6667,,2,12.8048,12.8048,0.1429,10.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,14,2,1,1,1,1,0.6429,3,,,,,2,0.3333,
Johnny Mundt,JAX,TE,13,No,Yes,No,13,6,No,No,6,1,0.4615,3,0.5,30,21,6,47,,0.1538,7.8333,64.6,2.3077,5,-2.397,10,7,2,2,8.8063,8.8063,0.4615,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,16,3,,,,,0.0769,,,,,0.7692,1,0.1667,
Durham Smythe,CHI,TE,16,Yes,No,No,13,3,No,Yes,3,1,0.2308,3,1,23,10,2,13,0.3077,0.0769,4.3333,98.6,1.7692,7.6667,1.4622,7.6667,3.3333,0.6667,1,4.2568,4.2568,0.1875,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,17,,,,,,,,,,,0.6154,,,
Xavier Legette,CAR,WR,57,Yes,No,Yes,57,7,No,Yes,5,0.7143,0.1228,2,0.2857,8,-8,-5,114,,0.2982,16.2857,,0.1404,1.1429,-8.1996,4,-4,-2.5,1,14.8563,14.8563,0.1228,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,15,1,1,,,,0.7018,2,1,,,,1,0.1429,
Rashid Shaheed,SEA,WR,64,No,Yes,No,64,13,No,Yes,8,0.6154,0.2031,7,0.5385,61,6,1,141,,0.2344,10.8462,66.5,0.9531,4.6923,-3.6839,8.7143,0.8571,0.1429,3,21.4016,21.4016,0.2031,6.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,18,1,,1,,,0.7656,2,1,,,,1,0.0769,
Gunnar Helm,TEN,TE,31,No,Yes,No,26,9,No,No,9,1,0.3462,9,1,62,14,3,50,,0.3846,5.5556,132.4,2.3846,6.8889,-0.1124,6.8889,1.5556,0.3333,4,15.1727,15.1727,0.2903,12.2,21.2,16.7,21.2,25.7,21.2,16.7,21.2,21.2,21.2,16.7,25.7,21.2,16,1,1,1,1,1,0.0769,,1,,,0.5385,,,
Justin Jefferson,MIN,WR,69,Yes,Yes,Yes,69,12,No,No,9,0.75,0.1739,9,0.75,105,55,42,136,0.0145,0.1449,11.3333,66.3,1.5217,8.75,0.3982,11.6667,6.1111,4.6667,4,22.4271,22.4271,0.1739,10.5,19.5,15,19.5,19.5,22.5,18,19.5,19.5,19.5,15,19.5,19.5,17,3,,3,,,0.8406,2,,1,0.1111,,,,
Greg Dulcich,MIA,TE,17,No,No,No,17,5,No,Yes,5,1,0.2941,4,0.8,60,35,15,29,,0.2941,5.8,116.7,3.5294,12,4.9832,15,8.75,3.75,3,7.4846,7.4846,0.2941,6,10,8,10,12,10,8,10,10,10,8,12,10,10,1,,,,,0.0588,,,1,0.25,0.6471,,,
Brock Wright,DET,TE,22,Yes,No,No,17,5,No,No,3,0.6,0.2941,2,0.4,9,,,21,,0.1765,4.2,47.9,0.5294,1.8,-4.4831,4.5,,,,7.3233,7.3233,0.2273,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,11,1,,,,,0.1176,,,,,0.7059,,,
Brandin Cooks,BUF,WR,35,No,No,No,34,5,No,Yes,5,1,0.1471,5,1,49,2,2,47,,0.4412,9.4,107.5,1.4412,9.8,2.089,9.8,0.4,0.4,3,7.1966,7.1966,0.1429,4.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,15,1,,1,,,0.5588,1,,,,,,,
A.J. Brown,PHI,WR,64,No,No,No,64,15,No,Yes,12,0.8,0.2344,11,0.7333,99,10,7,195,,0.125,13,112.9,1.5469,6.6,-2.0976,9,0.9091,0.6364,5,30.7972,30.7972,0.2344,15.9,26.9,21.4,26.9,26.9,26.9,21.4,26.9,26.9,26.9,21.4,26.9,26.9,15,3,1,3,1,1,0.875,2,2,,,,1,0.0667,
Luke McCaffrey,WAS,WR,14,No,No,No,14,4,No,Yes,3,0.75,0.2857,3,0.75,54,13,,77,,0.2857,19.25,156.3,3.8571,13.5,2.634,18,4.3333,,2,9.6436,9.6436,0.2857,17.4,20.4,18.9,20.4,20.4,20.4,18.9,20.4,20.4,20.4,18.9,20.4,20.4,9,,2,,2,1,0.7143,2,2,,,,,,
Samori Toure,NO,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Ryan Miller,TB,WR,4,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,20,,,20,,0.5,20,158.3,5,20,9.1348,20,,,1,3.0638,3.0638,0.25,8,9,8.5,9,9,9,8.5,9,9,9,8.5,9,9,13,,1,,1,1,0.5,1,1,,,,,,
David Njoku,CLV,TE,33,No,Yes,No,28,6,No,Yes,5,0.8333,0.2143,4,0.6667,45,30,7,27,,0.2857,4.5,88.9,1.6071,7.5,0.8005,11.25,7.5,1.75,1,9.9627,9.9627,0.1818,4.5,8.5,6.5,8.5,10.5,8.5,6.5,8.5,8.5,8.5,6.5,10.5,8.5,12,2,,1,,,0.1429,,,,,0.5714,,,
Brock Bowers,LV,TE,43,No,No,No,41,11,Yes,Yes,9,0.8182,0.2683,9,0.8182,100,54,14,80,,0.5366,7.2727,104.5,2.439,9.0909,1.5218,11.1111,6,1.5556,3,20.8394,20.8394,0.2558,10,19,14.5,19,23.5,22,17.5,19,19,19,14.5,23.5,19,12,1,2,1,,,0.122,1,2,,,0.3415,,,
Jalin Hyatt,NYG,WR,10,Yes,No,Yes,10,1,No,Yes,,,0.1,,,,,,41,,,41,39.6,,,-15,,,,,2.02,2.02,0.1,,,,,,,,,,,,,,8,,,,,,1,1,,,,,,,
Terrance Ferguson,LA,TE,30,No,Yes,No,30,1,Yes,Yes,,,0.0333,,,,,,32,,0.5,32,39.6,,,-12.8846,,,,,2,2,0.0333,,,,,,,,,,,,,,13,,1,,,,0.2,1,,,,0.3,,,
Lucas Krull,DEN,TE,2,No,Yes,No,2,2,No,Yes,1,0.5,1,1,0.5,6,1,1,9,,0.5,4.5,56.3,3,3,-3.2734,6,1,1,,2.9431,2.9431,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,3,,,,,,,,,,,0.5,,,
Tyler Johnson,NYJ,WR,20,No,No,No,20,5,No,Yes,5,1,0.25,5,1,75,31,3,44,,0.4,8.8,118.8,3.75,15,7.4996,15,6.2,0.6,3,7.5357,7.5357,0.25,7.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,12,,,,,,0.6,1,1,,,,,,
Chig Okonkwo,TEN,TE,60,No,Yes,No,57,15,No,No,13,0.8667,0.2632,12,0.8,127,46,11,114,,0.386,7.6,101.9,2.2281,8.4667,0.5151,10.5833,3.8333,0.9167,7,24.6645,24.6645,0.25,12.7,24.7,18.7,24.7,30.7,27.7,21.7,24.7,24.7,24.7,18.7,30.7,24.7,17,2,,2,,,0.193,1,,3,0.25,0.4211,1,0.0667,
Nick Kallerup,SEA,TE,2,No,Yes,Yes,1,1,No,Yes,1,1,1,,,,,,7,,,7,39.6,,,-7.3078,,,,,4.0235,4.0235,0.5,,,,,,,,,,,,,,9,1,,,,,,,1,,,1,,,
Ray Davis,BUF,RB,8,Yes,Yes,No,5,1,Yes,No,1,1,0.2,1,1,3,1,1,2,1,,2,79.2,0.6,3,-3.3947,3,1,1,1,1.4847,1.4847,0.125,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,,,,,,,,,,,,,,
DeeJay Dallas,JAX,RB,3,No,Yes,No,2,,No,No,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,54,No,Yes,No,46,5,No,No,5,1,0.1087,5,1,35,23,13,12,0.913,0.0217,2.4,95.8,0.7609,7,0.6087,7,4.6,2.6,3,6.8935,6.8935,0.0926,3.5,8.5,6,11,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,17,1,,1,,,0.0652,,,,,,,,
Drake Dabney,GB,TE,1,Yes,Yes,Yes,1,1,No,No,,,1,,,,,,8,,,8,39.6,,,-7.7205,,,,,1.8727,1.8727,1,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,
Ladd McConkey,LAC,WR,68,No,Yes,No,68,15,No,Yes,13,0.8667,0.2206,11,0.7333,203,110,9,142,,0.5882,9.4667,87.5,2.9853,13.5333,5.6135,18.4545,10,0.8182,4,28.7013,28.7013,0.2206,20.3,31.3,25.8,31.3,31.3,34.3,28.8,31.3,31.3,31.3,25.8,31.3,31.3,16,1,1,,,,0.3824,1,2,3,0.2727,0.0294,1,0.0667,
JuJu Smith-Schuster,KC,WR,39,Yes,No,No,39,5,No,Yes,3,0.6,0.1282,3,0.6,53,25,23,43,,0.5641,8.6,56.7,1.359,10.6,3.0711,17.6667,8.3333,7.6667,1,6.6829,6.6829,0.1282,5.3,8.3,6.8,8.3,8.3,8.3,6.8,8.3,8.3,8.3,6.8,8.3,8.3,17,2,,2,,,0.4359,,,1,0.3333,,,,
Romeo Doubs,GB,WR,56,No,No,No,56,15,No,Yes,13,0.8667,0.2679,9,0.6,192,41,15,228,,0.3036,15.2,126.4,3.4286,12.8,3.1513,21.3333,4.5556,1.6667,9,27.1623,27.1623,0.2679,25.2,34.2,29.7,34.2,34.2,37.2,32.7,34.2,34.2,34.2,29.7,34.2,34.2,16,2,,1,1,,0.6964,3,1,1,0.1111,,4,0.2667,
Alex Bachman,LV,WR,3,Yes,No,No,3,1,No,Yes,,,0.3333,,,,,,5,,0.6667,5,39.6,,,-6.3628,,,,,1.3673,1.3673,0.3333,,,,,,,,,,,,,,13,,,,,,0.3333,,,,,,,,
Dalevon Campbell,CAR,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
Austin Trammell,JAX,WR,6,No,Yes,No,6,2,No,Yes,1,0.5,0.3333,1,0.5,13,1,,16,,0.5,8,70.8,2.1667,6.5,-1.0479,13,1,,1,3.1162,3.1162,0.3333,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,6,1,,1,,,0.5,,,,,,,,
Kene Nwangwu,NYJ,RB,1,Yes,Yes,No,1,,Yes,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Travis Vokolek,ARZ,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,
Nick Vannett,LA,TE,6,No,No,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0.3333,,,,,0.3333,,,
CeeDee Lamb,DAL,WR,71,No,Yes,Yes,71,16,No,Yes,11,0.6875,0.2254,10,0.625,185,57,13,266,0.0141,0.2535,16.625,76.3,2.6056,11.5625,1.9824,18.5,5.7,1.3,7,30.0515,30.0515,0.2254,18.5,28.5,23.5,28.5,28.5,31.5,26.5,28.5,28.5,28.5,23.5,28.5,28.5,14,3,1,3,,,0.7324,6,1,,,,1,0.0625,
Noah Fant,CIN,TE,26,No,No,No,25,7,No,Yes,7,1,0.28,7,1,42,31,7,11,,0.28,1.5714,91.7,1.68,6,0.0234,6,4.4286,1,1,9.9978,9.9978,0.2692,3.2,10.2,6.7,10.2,13.7,10.2,5.7,9.2,9.2,9.2,5.7,13.7,9.2,15,,,,,,0.04,,,,,0.68,,,
Isaiah Likely,BLT,TE,35,Yes,No,No,33,10,No,Yes,8,0.8,0.303,8,0.8,119,64,5,99,,0.6667,9.9,149.6,3.6061,11.9,3.7911,14.875,8,0.625,3,22.5812,22.5812,0.2857,16.9,24.9,20.9,24.9,28.9,27.9,22.9,23.9,23.9,23.9,19.9,28.9,23.9,14,1,1,1,1,1,0.2424,1,1,1,0.125,0.0909,,,
George Kittle,SF,TE,49,No,Yes,No,45,10,No,Yes,10,1,0.2222,9,0.9,100,21,10,86,,0.3333,8.6,147.9,2.2222,10,1.9046,11.1111,2.3333,1.1111,5,20.4026,20.4026,0.2041,22,31,26.5,31,35.5,34,29.5,31,31,31,26.5,35.5,31,11,2,1,1,2,1,0.1333,1,3,,,0.5333,1,0.1,
Zaire Mitchell-Paden,NO,TE,6,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,3,,,3,0.75,0.25,3,79.2,0.75,3,-3.3218,3,,,,1.5011,1.5011,0.1667,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,8,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,63,Yes,Yes,Yes,60,23,Yes,Yes,21,0.913,0.3833,20,0.8696,187,84,25,157,0.0167,0.2667,6.8261,115,3.1167,8.1304,0.8635,9.35,4.2,1.25,8,37.4243,37.4243,0.3651,24.7,44.7,34.7,44.7,54.7,47.7,37.7,44.7,44.7,44.7,34.7,54.7,44.7,17,1,1,,1,1,0.1333,1,1,4,0.2,0.5833,,,
Keenan Allen,LAC,WR,59,No,No,Yes,59,18,No,Yes,15,0.8333,0.3051,12,0.6667,188,43,19,266,,0.4746,14.7778,101.2,3.1864,10.4444,1.2813,15.6667,3.5833,1.5833,9,35.6135,35.6135,0.3051,18.8,30.8,24.8,30.8,30.8,33.8,27.8,30.8,30.8,30.8,24.8,30.8,30.8,17,3,1,3,,,0.5254,5,2,2,0.1667,,1,0.0556,
James Cook,BUF,RB,45,Yes,Yes,No,41,7,Yes,No,6,0.8571,0.1707,6,0.8571,44,29,7,20,0.9756,0.0244,2.8571,92.9,1.0732,6.2857,-0.4616,7.3333,4.8333,1.1667,1,9.8736,9.8736,0.1556,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,17,,,,,,,,,,,,,,
Treylon Burks,WAS,WR,19,No,Yes,No,19,4,No,Yes,2,0.5,0.2105,1,0.25,13,1,1,46,,0.3158,11.5,1,0.6842,3.25,-5.3486,13,1,1,1,10.2758,10.2758,0.2105,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,8,2,1,1,,,0.6842,,1,1,1,,,,
Michael Bandy,DEN,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
