teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,17,59,No,Yes,No,274,21,No,5,No,16,0.7619,4,0.0766,12,4,0.5714,149,30,11,237,3,3,3,,,0.1429,0.2381,0.1905,0.4286,2,0.0952,11.2857,118.8,0.5438,7.0952,-1.5059,0.1429,12.4167,2.5,0.9167,11,4,,,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Closed,Open,Cover 2,17,60,No,Yes,No,267,26,No,8,No,21,0.8077,2,0.0974,15,4,0.5769,165,32,17,289,2,2,1,1,0.0667,0.0769,0.1538,0.4615,0.3077,,,11.1154,86.2,0.618,6.3462,-2.1655,0.0385,11,2.1333,1.1333,9,4,1,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,17,52,No,Yes,No,240,19,No,2,No,10,0.5263,1,0.0792,7,,0.3684,133,70,27,324,1,,,4,0.5714,0.1053,0.0526,0.4211,0.4211,1,0.0526,17.0526,57.6,0.5542,7,-2.8102,,19,10,3.8571,5,2,1,,,
8,Cleveland,Browns,CIN,AFC,AFC North,Closed,Open,Cover 2,16,33,No,Yes,No,148,9,No,,No,7,0.7778,1,0.0608,6,,0.6667,86,34,10,63,,,1,2,0.3333,0.3333,0.1111,0.3333,0.2222,1,0.1111,7,97.5,0.5811,9.5556,1.4475,0.1111,14.3333,5.6667,1.6667,5,1,,1,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,17,67,No,Yes,No,301,23,No,3,No,14,0.6087,4,0.0764,12,1,0.5217,143,57,13,288,1,1,1,3,0.25,0.3043,0.087,0.1739,0.4348,1,0.0435,12.5217,67.8,0.4751,6.2174,-2.4878,0.0435,11.9167,4.75,1.0833,6,4,,,,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 2,17,59,No,Yes,No,260,30,No,4,No,19,0.6333,3,0.1154,15,2,0.5,240,63,12,365,2,2,2,,,0.1333,0.0667,0.4,0.4,1,0.0333,12.1667,85.4,0.9231,8,-0.8542,0.0667,16,4.2,0.8,10,5,1,,1,0.0333
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Prevent,17,50,No,Yes,No,230,23,No,6,Yes,18,0.7826,1,0.1,11,1,0.4783,111,43,27,278,,,3,1,0.0909,0.087,0.2174,0.4783,0.2174,2,0.087,12.087,43.9,0.4826,4.8261,-4.0313,0.1304,10.0909,3.9091,2.4545,4,4,1,,,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Closed,Cover 3,17,56,No,Yes,Yes,234,19,No,,No,13,0.6842,1,0.0812,13,,0.6842,162,36,11,240,1,1,,1,0.0769,0.1053,0.1053,0.4211,0.3684,3,0.1579,12.6316,90.2,0.6923,8.5263,-0.719,,12.4615,2.7692,0.8462,8,1,1,,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 4,17,46,No,Yes,No,205,19,No,3,No,11,0.5789,1,0.0927,9,2,0.4737,172,54,26,256,2,1,1,2,0.2222,0.1053,0.0526,0.3158,0.5263,1,0.0526,13.4737,92.4,0.839,9.0526,0.3669,0.0526,19.1111,6,2.8889,6,1,,2,,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 6,17,47,No,Yes,Yes,214,16,No,5,Yes,10,0.625,,0.0748,5,2,0.3125,75,16,3,203,,,4,,,0.125,0.125,0.25,0.5,,,12.6875,21.6,0.3505,4.6875,-4.4051,0.25,15,3.2,0.6,4,1,,,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Red Zone,17,52,No,Yes,No,240,17,No,1,No,12,0.7059,2,0.0708,10,1,0.5882,153,37,7,240,1,1,2,,,0.1176,0.1765,0.2353,0.4706,1,0.0588,14.1176,83.7,0.6375,9,0.1668,0.1176,15.3,3.7,0.7,8,4,,,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Open,Cover 4,16,50,No,Yes,No,230,21,No,4,No,11,0.5238,1,0.0913,7,,0.3333,110,28,13,278,,,1,3,0.4286,0.0952,0.1429,0.4762,0.2857,2,0.0952,13.2381,31.8,0.4783,5.2381,-4.47,0.0476,15.7143,4,1.8571,5,3,1,1,,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,61,No,Yes,Yes,284,23,No,6,No,18,0.7826,2,0.081,15,4,0.6522,213,43,13,324,2,2,,,,0.087,0.087,0.3913,0.4348,2,0.087,14.087,87.8,0.75,9.2609,-0.1198,,14.2,2.8667,0.8667,13,5,,2,,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Closed,Cover 3,17,51,No,Yes,Yes,229,26,No,7,No,19,0.7308,,0.1135,17,6,0.6538,265,42,8,301,,,2,,,0.2308,0.0769,0.1923,0.5,2,0.0769,11.5769,99,1.1572,10.1923,1.3469,0.0769,15.5882,2.4706,0.4706,12,2,,2,,
20,Miami,Dolphins,NE,AFC,AFC East,Open,Open,Cover 2,17,56,Yes,Yes,No,251,21,No,3,No,17,0.8095,3,0.0837,14,1,0.6667,228,84,17,245,4,3,2,,,0.1905,,0.5714,0.1905,,,11.6667,122.6,0.9084,10.8571,2.2733,0.0952,16.2857,6,1.2143,10,5,,2,,
25,New York,Jets,BUF,AFC,AFC East,Open,Open,Cover 4,17,32,No,No,No,141,13,No,3,Yes,9,0.6923,,0.0922,7,1,0.5385,107,34,8,173,,,1,1,0.1429,0.1538,0.0769,0.2308,0.5385,,,13.3077,81.3,0.7589,8.2308,-0.0273,0.0769,15.2857,4.8571,1.1429,4,,,1,,
