Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,TowThrowPercentage,IncompletionsSpiked
Trevor Lawrence,JAX,QB,520,520,494,0.7713,306,0.6194,0.7484,0.0322,520,15,3528,7.1417,0.4342,6.5077,4104,26,7,0.194,-189,0.05,No,No,134,0.2577,159.3063,-0.0487,No,0.0077,0.1457,61,0.1235,0.0425,0.7328,0.0547,0.5526,2.4431,3.2808,2.5567,8.7987,92.4,No,Yes,170,237.12,237.12,237.12,237.12,237.12,240.12,239.12,225.12,225.12,225.12,225.12,272.4,260.4,17,313,0.0789,11,30,9,27,0.0243,3
Sam Darnold,SEA,QB,409,409,386,0.7617,266,0.6891,0.7881,0.0527,409,14,3070,7.9534,0.4329,6.687,2900,23,4,0.2371,-160,0.0562,Yes,No,97,0.2372,109.7268,-0.0311,No,0.0269,0.1347,39,0.101,0.0596,0.6891,0.0725,0.6606,2.2207,2.7739,2.334,8.075,94.6,No,Yes,141,171.8,171.8,171.8,171.8,171.8,174.8,170.8,156.8,156.8,156.8,156.8,202.5,187.5,17,135,0.0337,11,23,8,16,0.0311,4
Andy Dalton,CAR,QB,37,37,31,0.8387,23,0.7419,0.7667,0.0589,37,1,271,8.7419,0.3137,5.4054,272,6,2,0.5,-46,0.1622,No,No,12,0.3243,8.3615,0.0983,No,,0.0968,1,0.0323,0.0323,0.871,,0.5806,2.1387,2.9333,2.425,8.7742,97.6,No,Yes,16,12.84,12.84,12.84,12.84,12.84,12.84,11.84,10.84,10.84,10.84,10.84,15.55,13.55,4,,,1,2,,1,0.0323,
Brandon Allen,TEN,QB,24,24,24,0.7083,16,0.6667,0.7391,-0.0394,24,1,67,2.7917,1.0448,0.9167,52,,,,,,No,No,7,0.2917,6.4857,0.0214,No,0.1667,0.25,1,0.0417,,0.8333,0.0417,0.5833,2.1417,,2.1286,2.2609,52.8,No,Yes,3,1.68,1.68,1.68,1.68,1.68,1.68,1.68,0.68,0.68,0.68,0.68,2.35,1.35,1,-2,0.0417,1,,,,0.0833,
Jayden Daniels,WAS,QB,170,170,161,0.7267,98,0.6087,0.7568,0.0149,170,5,1018,6.323,0.4804,5.5176,1110,9,3,0.2093,-65,0.0529,No,No,43,0.2529,46.862,-0.0227,No,0.0294,0.1988,17,0.1056,0.0311,0.677,0.0807,0.528,2.2602,3.0444,2.1884,7.5503,83.8,No,No,46,60.72,60.72,60.72,60.72,60.72,63.72,62.72,56.72,56.72,56.72,56.72,70.9,66.9,7,122,0.087,3,7,5,6,0.0248,2
Joshua Dobbs,NE,QB,9,9,9,0.7778,6,0.6667,0.6667,-0.022,9,,65,7.2222,0.7385,7.2222,112,,,,,,Yes,No,1,0.1111,3.4887,-0.2765,Yes,,0.2222,2,0.2222,0.1111,0.7778,0.1111,0.6667,2.8222,,2.4,12.4444,87.7,No,Yes,3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.25,3.25,4,,,,,,,,
Mac Jones,SF,QB,280,280,268,0.7836,184,0.6866,0.7912,0.0447,280,6,2037,7.6007,0.4644,6.5571,1862,12,2,0.1667,-91,0.0429,No,No,72,0.2571,80.9725,-0.032,No,,0.1343,17,0.0634,0.0485,0.694,0.0896,0.6306,2.3246,3.1167,2.3931,7.3929,91.6,No,No,98,105.48,105.48,105.48,105.48,105.48,108.48,106.48,97.48,97.48,97.48,97.48,125.85,117.85,11,157,0.0485,6,7,7,8,0.0224,3
Kirk Cousins,ATL,QB,270,270,258,0.7713,162,0.6279,0.722,-0.0199,270,2,1690,6.5504,0.5757,5.8926,1798,12,3,0.1348,-74,0.0444,No,Yes,89,0.3296,84.2588,0.0176,No,0.0111,0.1473,25,0.0969,0.0271,0.6279,0.1124,0.6124,2.4659,2.8417,2.4236,7.3689,86.5,No,No,85,102.6,102.6,102.6,102.6,102.6,105.6,105.6,97.6,97.6,97.6,97.6,119.5,114.5,10,96,0.0465,5,12,9,10,0.0155,3
Joe Burrow,CIN,QB,242,242,228,0.8246,155,0.6798,0.7615,0.0161,242,6,1556,6.8246,0.4859,6.2975,1615,14,4,0.2333,-87,0.0579,No,No,60,0.2479,71.7917,-0.0487,No,0.0207,0.1228,22,0.0965,0.0658,0.6798,0.1535,0.6579,2.4004,3.4286,2.4067,7.4083,98.5,Yes,Yes,86,113.24,113.24,113.24,113.24,113.24,116.24,116.24,108.24,108.24,108.24,108.24,128.8,123.8,8,53,0.0482,5,15,4,14,0.0263,
Philip Rivers,IND,QB,92,92,89,0.7416,56,0.6292,0.6941,-0.0392,92,3,526,5.9101,0.4848,4.8043,714,3,2,0.1579,-29,0.0326,No,No,19,0.2065,25.3607,-0.0691,No,0.0326,0.2022,10,0.1124,0.0337,0.7865,0.1124,0.5618,2.227,2.7667,2.2,8.4,80.1,No,Yes,30,34.04,34.04,34.04,34.04,34.04,37.04,37.04,31.04,31.04,31.04,31.04,39.3,36.3,3,8,0.0337,3,4,1,4,0.0449,
