Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadCheckdownPercentage,AttemptsInEndzoneTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,ScramblesTotal,ScramblesYards,AverageTimeToScramble,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,TowThrowPercentage,InterceptionsTotal,IncompletionsBatted,SackedFaultTotal,ScramblesTouchdowns
Andy Dalton,CAR,QB,2,2,2,,,,,-0.547,2,1,,,,,18,,,,,,Yes,Yes,2,1,1.0609,0.4696,No,,,3.65,,3.35,18,39.6,No,No,,,,,,,,,,,,,,,4,,,,,,,,,,,0.5,,,,,,
Sam Darnold,SEA,QB,31,31,31,0.7742,22,0.7097,0.7931,0.1184,31,,330,10.6452,0.3182,10.3226,337,4,,,,,Yes,No,7,0.2258,13.433,-0.2075,Yes,0.6452,0.6129,3.0871,,3.0143,11.6207,118.3,No,No,14,27.2,27.2,27.2,27.2,27.2,30.2,30.2,25.2,25.2,25.2,25.2,30.5,28.5,17,0.0645,4,5,0.1613,0.0645,,,,,0.0323,0.129,,0.0323,2,2,,
Kirk Cousins,ATL,QB,2,2,2,1,2,1,1,0.082,2,,23,11.5,1.1304,11.5,-3,,,,,,No,No,,,0.9056,-0.4528,No,0.5,1,3.2,,,-1.5,114.6,No,No,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,10,0.5,,,,,,,,,,,,,,,,
Mac Jones,SF,QB,7,7,7,0.8571,6,0.8571,1,0.1757,7,1,36,5.1429,0.5278,13.7143,19,3,,,,,No,No,2,0.2857,2.6349,-0.0907,No,0.7143,0.5714,2.7571,,2.4,3.1667,127.7,No,No,4,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.8,13.8,11,,2,,,,,,,,,,,,,,,
Russell Wilson,NYG,QB,3,3,3,0.3333,1,0.3333,0.5,-0.4105,3,1,4,1.3333,0.75,1.3333,-2,,,,,,Yes,No,2,0.6667,1.4446,0.1851,No,0.6667,0.3333,3.3667,,2.95,-1,42.4,No,Yes,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,6,,,,,,,,,,,0.3333,,,,,,
Joe Burrow,CIN,QB,3,3,3,0.6667,2,0.6667,1,0.2199,3,1,21,7,0.5238,7,10,,,,,,No,No,1,0.3333,1.5309,-0.177,No,0.6667,0.3333,3.5333,,2.4,5,86.8,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,8,,,,,,,,,,,,,,,,,
Jacoby Brissett,ARZ,QB,5,5,1,0.25,1,0.25,0.3333,-0.417,5,1,24,6,0.8333,6,20,,,,,,No,No,2,0.4,2.0354,-0.0071,No,0.5,,3.525,,3.35,6.6667,52.1,No,No,1,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.4,2.4,14,,,,,,1,12,6.8,,,0.5,,,,,,
Joe Flacco,CIN,QB,3,3,3,0.3333,1,0.3333,0.5,-0.1398,3,,-2,-0.6667,-0.5,-15.6667,30,,,,,,No,No,2,0.6667,1.2204,0.2599,No,0.6667,,2.9333,,2.85,15,2.8,No,No,,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-2.08,-2.08,-2.08,-2.08,-1.1,-2.1,13,,,1,0.3333,,,,,,,0.3333,,0.3333,1,1,,
Daniel Jones,IND,QB,17,16,16,0.9375,13,0.8125,0.8125,-0.0092,16,,131,8.1875,0.687,5.375,59,,,,,,No,No,3,0.1875,6.0545,-0.1909,No,0.8125,0.8125,2.7687,,3,3.6875,74.7,No,No,6,4.24,4.24,4.24,4.24,4.24,4.24,4.24,3.24,3.24,3.24,3.24,5.55,4.55,13,0.125,,1,0.0625,0.0625,,,,,,0.0625,,0.0625,1,,,
C.J. Stroud,HST,QB,23,23,1,0.9091,19,0.8636,0.8636,0.0305,23,,153,6.9545,0.6797,7.8636,69,1,,,,,Yes,No,2,0.087,7.5293,-0.2404,No,0.8182,0.5,2.5591,,3.6,3.1364,110.8,No,Yes,9,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,11.95,11.95,14,,2,,,,1,3,5.3,,,0.0909,,,,,,
