Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,InterceptionsTotal,ScramblesTouchdowns,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,TouchdownsTotal,HeroThrowPercentage,TargetedReadFirstPercentage,RunPassOptionPercentage,IncompletionsBatted
Jared Goff,DET,QB,21,21,2,0.5882,,8,0.4706,0.8182,0.0823,21,95,5.5882,0.2421,4.3684,89,2,2,0.1053,-12,0.0952,2,11,No,No,19,0.9048,10.2851,0.415,No,,,,0.1765,4.0824,4.95,5,2.4053,8.0909,64.6,No,No,4,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.85,5.85,17,5,,,,0.5882,2,0.0588,,0.0588,0.1176,,1
Cam Ward,TEN,QB,63,63,12,0.5106,2,20,0.4255,0.7419,0.0765,63,257,5.4681,0.3969,4.6667,277,4,2,0.0635,-14,0.0635,12,82,No,No,63,1,40.2221,0.3616,No,0.1277,5,0.1064,0.1702,5.5362,5.35,5.875,2.8492,8.6562,65.6,No,No,14,25.48,25.48,25.48,25.48,25.48,25.48,25.48,24.48,24.48,24.48,24.48,28.05,27.05,17,15,1,,,0.3617,2,0.0638,2,0.0851,,,
Caleb Williams,CHI,QB,82,82,20,0.4211,5,13,0.2281,0.4634,-0.142,82,157,2.7544,0.1019,1.7903,604,5,3,0.0617,-41,0.061,20,189,No,Yes,81,0.9878,51.2878,0.3623,No,0.2982,13,0.2281,0.0877,5.7912,5.42,5.485,2.9062,14.7317,44,No,No,9,31.18,31.18,31.18,31.18,31.18,34.18,33.18,29.18,29.18,29.18,29.18,32.75,30.75,17,16,1,,0.0175,0.2456,98,0.1053,2,0.1228,,,
Gardner Minshew,KC,QB,2,2,2,,,,,,,2,,,,,,,,,,,,,Yes,Yes,2,1,1.5611,0.2194,Yes,,,,,5.1,,,2.6,,39.6,No,No,,,,,,,,,,,,,,,4,2,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,10,10,3,0.1667,,1,0.1667,0.25,-0.5248,10,11,1.8333,0.7273,0.7143,21,1,,0.1111,-6,0.1,3,12,No,Yes,9,0.9,4.5281,0.4472,No,0.5,,,,4.95,2.8,4.4,2.4778,4.2,39.6,No,No,1,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.75,1.75,14,1,,,,0.1667,,,,,,,
Brock Purdy,SF,QB,21,21,9,0.5455,3,5,0.4545,0.7143,0.0843,21,60,5.4545,0.0667,6.6667,97,1,1,0.05,,0.0476,9,53,No,Yes,20,0.9524,10.242,0.4647,No,0.0909,1,0.0909,0.0909,5.9727,5.2,5.0778,3.01,13.8571,93,No,Yes,3,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,12.3,12.3,9,4,,,,0.4545,,,1,0.1818,,,
Justin Fields,NYJ,QB,22,22,13,0.6,,1,0.2,1,0.2358,22,8,1.6,-0.125,-0.4444,19,4,2,0.1905,-12,0.1818,13,98,Yes,Yes,21,0.9545,3.8682,0.7787,No,,,,,5.06,5.625,5.0231,2.781,6.3333,39.6,No,No,,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.2,10.2,9,2,,,,0.4,10,0.4,,,,,
Dillon Gabriel,CLV,QB,4,3,2,,,,,,,3,,,,-2,,1,1,0.3333,-2,0.3333,2,27,No,No,3,1,,1,No,,,,,,5.2,5.25,2.5333,,,No,No,,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,10,,,,,,,,,,,,
Zach Wilson,MIA,QB,1,1,1,,,,,,,1,,,,,,,,,,,1,3,No,No,,,,,No,,,,,,,5.2,,,,No,No,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,4,,,,,,,,,,,,
Teddy Bridgewater,TB,QB,2,2,1,,,,,,,2,,,,,,,,,,,1,6,Yes,Yes,2,1,0.7288,0.6356,No,,,,,4.8,,6,2.3,,39.6,No,No,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,4,1,,,,,,,,,,,
