teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Open,Open,Cover 0,17,161,135,0.7185185185185186,7,85,0.6296296296296297,0.7796610169491526,0.014707400000000037,7,9,64,0.05185185185185185,933,6.911111111111111,0.5605573419078242,4.8933333333333335,780,6,5,15,,5,-94,0.09316770186335403,Yes,No,67,0.4161490683229814,0.12111490683229813,No,0.12422360248447205,0.15555555555555556,10,0.07407407407407407,0.037037037037037035,0.014814814814814815,0.6074074074074074,0.1111111111111111,0.6,2.6148148148148147,3.0866666666666664,5.409090909090909,2.6223880597014926,6.554621848739496,82.7,No,Yes,43,True
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Closed,Cover 3,17,178,163,0.7730061349693251,10,110,0.6748466257668712,0.7843137254901961,0.028744297026143784,8,2,153,0.06134969325153374,1164,7.141104294478527,0.615979381443299,7.311377245508982,1088,9,2,4,2,10,-33,0.02247191011235955,Yes,No,43,0.24157303370786518,-0.12180421348314609,Yes,0.10674157303370786,0.147239263803681,19,0.1165644171779141,0.024539877300613498,0.04294478527607362,0.6380368098159509,0.1656441717791411,0.5705521472392638,2.8754601226993866,3.225,5.545454545454546,3.2465116279069766,7.064935064935065,101.4,No,No,60,True
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,128,114,0.7543859649122807,7,76,0.6666666666666666,0.8282828282828283,0.07895321564646463,10,4,28,0.05263157894736842,867,7.605263157894737,0.5190311418685121,6.798319327731092,721,8,4,5,1,8,-38,0.0390625,Yes,No,41,0.3203125,-0.035390234374999996,No,0.078125,0.10526315789473684,12,0.10526315789473684,0.03508771929824561,0.02631578947368421,0.5964912280701754,0.07894736842105263,0.5877192982456141,2.8903508771929824,4.16,4.522222222222222,2.7878048780487803,7.21,98.1,No,Yes,46,True
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 0,17,158,145,0.7448275862068966,13,87,0.6,0.7596899224806202,0.008286670674418573,12,3,72,0.07586206896551724,961,6.627586206896551,0.5671175858480749,6.76510067114094,971,10,3,4,1,3,-18,0.02531645569620253,Yes,No,54,0.34177215189873417,-0.0440759493670886,No,0.056962025316455694,0.14482758620689656,14,0.09655172413793103,0.034482758620689655,0.04827586206896552,0.6275862068965518,0.14482758620689656,0.6137931034482759,3.0124137931034483,3.375,4.977777777777778,2.968518518518519,7.769230769230769,94.1,No,Yes,47,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 3,17,152,134,0.7164179104477612,11,85,0.6343283582089553,0.7622950819672131,0.008180165016393404,10,2,114,0.05970149253731343,794,5.925373134328358,0.6410579345088161,5.232394366197183,896,8,4,8,2,7,-31,0.05263157894736842,Yes,No,50,0.32894736842105265,-0.042767763157894746,Yes,0.13157894736842105,0.19402985074626866,13,0.09701492537313433,0.029850746268656716,0.03731343283582089,0.6194029850746269,0.12686567164179105,0.5447761194029851,3.019402985074627,3.2125,5.5200000000000005,2.9339999999999997,7.344262295081967,87.1,No,Yes,42,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 0,17,183,154,0.7662337662337663,9,107,0.6948051948051948,0.8028169014084507,0.06044618447887329,7,4,33,0.045454545454545456,1315,8.53896103896104,0.5422053231939163,6.216867469879518,1120,9,9,12,4,7,-58,0.06557377049180328,Yes,Yes,64,0.34972677595628415,0.005538524590163946,Yes,0.07650273224043716,0.14935064935064934,18,0.11688311688311688,0.06493506493506493,0.03896103896103896,0.7077922077922078,0.08441558441558442,0.577922077922078,2.946103896103896,4.466666666666667,5.747058823529412,3.1046875,7.944055944055944,90.7,No,Yes,57,True
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Closed,Cover 3,17,165,139,0.7338129496402878,6,88,0.6330935251798561,0.7580645161290323,-0.0022187421774193528,9,4,15,0.04316546762589928,831,5.9784172661870505,0.5042117930204573,4.457516339869281,914,2,2,14,3,15,-99,0.08484848484848485,Yes,No,67,0.40606060606060607,0.09005636363636361,No,0.18181818181818182,0.14388489208633093,16,0.11510791366906475,0.02877697841726619,0.02877697841726619,0.7050359712230215,0.05755395683453238,0.60431654676259,2.7496402877697843,3.585714285714286,4.941666666666666,2.6970149253731344,7.253968253968254,78.6,No,Yes,42,True
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,179,155,0.7870967741935484,7,110,0.7096774193548387,0.8169014084507042,0.07818081876760563,8,3,55,0.03870967741935484,1340,8.64516129032258,0.517910447761194,8.575757575757576,1062,9,1,10,4,6,-60,0.055865921787709494,Yes,No,74,0.4134078212290503,0.0670935754189944,No,0.1452513966480447,0.11612903225806452,15,0.0967741935483871,0.012903225806451613,0.05161290322580645,0.6774193548387096,0.09032258064516129,0.6451612903225806,2.893548387096774,3.79,4.871428571428572,2.722972972972973,7.375,113.9,No,Yes,70,True
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 1,17,182,167,0.7604790419161677,13,105,0.6287425149700598,0.7516339869281046,0.016593857699346404,9,2,79,0.059880239520958084,1089,6.520958083832335,0.5013774104683195,5.797687861271676,1153,7,4,6,,12,-46,0.03296703296703297,Yes,No,69,0.3791208791208791,0.01425219780219783,Yes,0.12637362637362637,0.1497005988023952,16,0.09580838323353294,0.017964071856287425,0.005988023952095809,0.6107784431137725,0.11976047904191617,0.5868263473053892,2.8802395209580838,2.966666666666667,5.433333333333334,2.7637681159420286,7.596153846153846,85.6,No,Yes,60,
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Closed,Cover 3,17,183,159,0.7484276729559748,7,104,0.6540880503144654,0.7793103448275862,-0.02519186660689654,11,3,66,0.05660377358490566,917,5.767295597484277,0.826608505997819,4.517241379310345,575,6,4,15,3,4,-71,0.08196721311475409,Yes,No,69,0.3770491803278688,0.08534180327868854,Yes,0.11475409836065574,0.1509433962264151,7,0.0440251572327044,0.03773584905660377,0.031446540880503145,0.6415094339622641,0.1509433962264151,0.5849056603773585,2.521383647798742,3.8066666666666666,3.8444444444444446,2.5057971014492755,3.9655172413793105,82.7,No,No,44,
