Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,DeepTargetTargetsTotal
Jalen Coker,CAR,WR,20,Yes,No,No,18,No,Yes,0.5,11,1,1,1,0.0556,1,1,8,10,2,-2,0.0556,,,,-2,100,0.4444,8,2.5009,8,10,2,1.5483,1.5483,0.05,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,0.4444,1,,1,1,,,,,,,
Jalen Tolbert,DAL,WR,13,Yes,No,No,13,No,Yes,0.2308,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7692,,,,,,,,,,,
Drake London,ATL,WR,24,No,Yes,No,19,No,No,0.7368,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2632,,,,,,,,,,,
Alec Pierce,IND,WR,11,No,No,No,10,No,Yes,0.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Jaylin Lane,WAS,WR,4,No,No,No,2,No,Yes,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Melton,GB,WR,3,No,No,No,3,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Giddens,IND,RB,2,No,No,No,2,No,Yes,,9,2,,,1,,,,,,-5,1,2,,,-2.5,39.6,,,-5.8491,,,,4.0538,4.0538,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
Olamide Zaccheaus,CHI,WR,11,No,No,No,8,No,No,0.75,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Theo Wease,MIA,WR,2,Yes,No,No,2,No,Yes,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Tyler Warren,IND,TE,17,No,No,No,15,No,Yes,0.1333,17,1,1,1,0.0667,1,1,4,8,,-4,0.0667,1,1,1,-4,83.3,0.2667,4,-2.3364,4,8,,1.3095,1.3095,0.0588,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,0.5333,0.2667,,,,,,,,,,,
Dee Eskridge,MIA,WR,5,Yes,Yes,Yes,5,No,Yes,0.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,8,Yes,Yes,Yes,8,No,Yes,0.625,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.25,,,,,,,,,,,
Sam LaPorta,DET,TE,10,No,No,Yes,6,No,Yes,0.3333,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.1667,,,,,,,,,,,
Jackson Hawes,BUF,TE,5,No,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Chris Blair,ATL,WR,1,No,No,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,8,No,No,No,8,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brycen Tremayne,CAR,WR,2,Yes,No,No,1,No,Yes,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tez Johnson,TB,WR,8,Yes,No,No,8,No,Yes,0.375,16,1,1,1,0.125,1,1,1,7,1,-6,,1,,,-6,79.2,0.125,1,-2.7419,1,7,1,2.5701,2.5701,0.125,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,0.625,,,,,,,,,,,
Christian McCaffrey,SF,RB,9,Yes,Yes,Yes,9,No,Yes,,17,9,9,1,1,7,0.7778,37,72,22,-40,0.7778,2,2,0.2222,-4.4444,83.8,4.1111,4.1111,-1.4875,5.2857,10.2857,3.1429,18.2992,18.2992,1,3.7,10.7,7.2,14.2,10.7,10.7,7.2,10.7,10.7,10.7,7.2,10.7,10.7,,0.2222,2,2,2,0.2857,,1,0.1111,1,,,
Sterling Shepard,TB,WR,12,Yes,No,No,11,No,Yes,0.7273,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2727,,,,,,,,,,,
Khalil Shakir,BUF,WR,14,No,No,No,13,No,No,0.4615,16,2,2,1,0.1538,2,1,59,70,38,-11,,1,1,0.5,-5.5,158.3,4.5385,29.5,25.5492,29.5,35,19,4.1447,4.1447,0.1429,11.9,13.9,12.9,13.9,13.9,13.9,12.9,13.9,13.9,13.9,12.9,13.9,13.9,,0.5385,2,1,3,1.5,1,,,,,,
Pharaoh Brown,ARZ,TE,1,Yes,No,No,1,No,Yes,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Rico Dowdle,CAR,RB,19,Yes,No,No,18,No,Yes,,17,15,15,1,0.8333,13,0.8667,101,150,45,-61,0.9444,2,1,0.0667,-4.0667,94.7,5.6111,6.7333,1.2202,7.7692,11.5385,3.4615,23.2607,23.2607,0.7895,10.1,23.1,16.6,29.6,23.1,26.1,19.6,23.1,23.1,23.1,16.6,23.1,23.1,,0.0556,5,2,4,0.3077,,2,0.1333,1,,,
Chris Olave,NO,WR,21,No,Yes,No,20,No,Yes,0.35,16,3,3,1,0.15,2,0.6667,8,16,1,-14,,3,2,0.6667,-4.6667,70.1,0.4,2.6667,-1.6141,4,8,0.5,4.8792,4.8792,0.1429,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,0.65,,,,,,,,1,,,
Ricky Pearsall,SF,WR,5,No,No,No,4,No,Yes,0.75,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Jeremy McNichols,WAS,RB,10,No,No,No,10,No,Yes,,17,9,7,0.7778,0.9,7,0.7778,51,80,40,-38,0.8,3,1,0.1111,-4.2222,90.3,5.1,5.6667,-0.0552,7.2857,11.4286,5.7143,13.4892,13.4892,0.9,5.1,12.1,8.6,15.6,12.1,12.1,8.6,12.1,12.1,12.1,8.6,12.1,12.1,,0.2,4,,4,0.5714,,,,,,,
Jerome Ford,CLV,RB,9,No,No,No,9,No,Yes,,13,8,8,1,0.8889,8,1,19,62,14,-43,1,,,,-5.375,79.2,2.1111,2.375,-2.9683,2.375,7.75,1.75,14.6572,14.6572,0.8889,1.9,9.9,5.9,13.9,9.9,9.9,5.9,9.9,9.9,9.9,5.9,9.9,9.9,,,1,2,,,,,,,,,
George Pickens,DAL,WR,28,Yes,No,No,27,No,Yes,0.963,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,,,,,,,,
Josh Jacobs,GB,RB,18,No,Yes,No,17,No,Yes,,15,16,13,0.8125,0.9412,13,0.8125,92,151,34,-74,0.9412,3,2,0.125,-4.625,90.6,5.4118,5.75,0.1337,7.0769,11.6154,2.6154,23.3817,23.3817,0.8889,9.2,22.2,15.7,28.7,22.2,22.2,15.7,22.2,22.2,22.2,15.7,22.2,22.2,,0.0588,2,,7,0.5385,,,,,,,
Cade Stover,HST,TE,3,No,No,No,2,No,Yes,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,
Stephen Carlson,CHI,TE,2,No,No,No,1,No,No,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Jaylen Waddle,MIA,WR,27,No,No,No,26,No,Yes,0.7308,16,3,3,1,0.1154,3,1,8,17,1,-9,0.0385,,,,-3,79.2,0.3077,2.6667,-1.7827,2.6667,5.6667,0.3333,4.4091,4.4091,0.1111,0.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,,0.2308,,,1,0.3333,,,,,,,
Tee Higgins,CIN,WR,22,No,No,No,22,No,Yes,0.8636,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1364,,,,,,,,,,,
Scott Miller,PIT,WR,8,Yes,No,No,8,No,Yes,0.75,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Rashod Bateman,BLT,WR,7,No,Yes,No,7,No,Yes,0.8571,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1429,,,,,,,,,,,
Grant Calcaterra,PHI,TE,4,No,No,No,3,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,
Clyde Edwards-Helaire,KC,RB,2,No,No,No,2,No,Yes,,2,2,2,1,1,2,1,9,14,5,-5,1,,,,-2.5,85.4,4.5,4.5,-1.1945,4.5,7,2.5,3.6635,3.6635,1,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,12,Yes,No,No,12,No,Yes,0.5833,15,1,1,1,0.0833,1,1,19,19,5,,,,,,,118.8,1.5833,19,12.9614,19,19,5,1.312,1.312,0.0833,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,0.4167,1,,,,,,,,,,
Mike Gesicki,CIN,TE,8,No,No,No,8,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Deebo Samuel,WAS,WR,14,No,No,No,13,No,Yes,0.2308,16,6,6,1,0.4615,5,0.8333,36,60,21,-30,0.0769,4,4,0.6667,-5,91.7,2.7692,6,1.972,7.2,12,4.2,8.6508,8.6508,0.4286,3.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,,0.6923,1,,1,0.2,,1,0.1667,,,,
Wan'Dale Robinson,NYG,WR,17,No,No,No,13,No,Yes,0.3077,16,1,1,1,0.0769,1,1,1,5,1,-4,,1,1,1,-4,79.2,0.0769,1,-3.4851,1,5,1,1.393,1.393,0.0588,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,0.6923,,,,,,,,,,,
Jake Tonges,SF,TE,8,No,No,No,8,No,Yes,0.25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.125,,,,,,,,,,,
Ben Skowronek,PIT,WR,5,Yes,No,No,5,No,Yes,0.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Beaux Collins,NYG,WR,2,No,No,No,1,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Wilson,PIT,WR,7,No,Yes,Yes,4,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,2,No,Yes,No,2,No,Yes,,4,2,2,1,1,2,1,9,15,3,-6,0.5,,,,-3,85.4,4.5,4.5,-1.384,4.5,7.5,1.5,2.9992,2.9992,1,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,0.5,,,,,,,,,,,
Kimani Vidal,LAC,RB,8,No,Yes,No,8,No,No,,13,8,7,0.875,1,7,0.875,34,61,18,-30,0.875,1,1,0.125,-3.75,84.4,4.25,4.25,-1.4741,4.8571,8.7143,2.5714,13.1336,13.1336,1,3.4,10.4,6.9,13.9,10.4,10.4,6.9,10.4,10.4,10.4,6.9,10.4,10.4,,0.125,1,1,,,,,,,,,
RJ Harvey,DEN,RB,24,No,Yes,No,21,No,No,,17,19,18,0.9474,0.9048,16,0.8421,110,151,44,-47,0.9048,7,1,0.0526,-2.4737,108.3,5.2381,5.7895,0.1251,6.875,9.4375,2.75,30.6211,30.6211,0.8261,17,33,25,41,33,36,28,33,33,33,25,33,33,,0.0952,9,5,4,0.25,1,2,0.1053,,,,
Mason Tipton,NO,WR,6,Yes,Yes,No,6,No,Yes,0.8333,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
Savion Williams,GB,WR,2,No,No,No,2,No,Yes,,12,1,1,1,0.5,1,1,8,13,,-5,0.5,1,1,1,-5,139.6,4,8,3.8404,8,13,,2.9538,2.9538,0.5,6.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,,0.5,1,1,,,1,,,,,,
Derius Davis,LAC,WR,2,No,Yes,No,2,No,No,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deven Thompkins,ATL,WR,1,No,Yes,No,1,No,No,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,4,No,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,
Kaleb Johnson,PIT,RB,1,Yes,No,No,1,No,Yes,,10,1,1,1,1,1,1,9,14,2,-5,1,,,,-5,104.2,9,9,3.1289,9,14,2,2.0571,2.0571,1,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,13,Yes,No,No,12,No,Yes,,14,6,6,1,0.5,6,1,67,82,5,-15,1,4,1,0.1667,-2.5,113.2,5.5833,11.1667,5.1628,11.1667,13.6667,0.8333,9.1609,9.1609,0.4615,6.7,12.7,9.7,15.7,12.7,12.7,9.7,12.7,12.7,12.7,9.7,12.7,12.7,,,3,,2,0.3333,,,,,,,
Brenton Strange,JAX,TE,9,No,No,No,6,No,Yes,0.1667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,0.1667,,,,,,,,,,,
Tory Horton,SEA,WR,2,No,No,No,2,No,No,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Travis Kelce,KC,TE,27,Yes,No,No,21,No,Yes,0.1429,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381,0.4762,,,,,,,,,,,
Cole Kmet,CHI,TE,12,No,No,No,7,No,No,0.2857,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,0.4286,,,,,,,,,,,
Tyreek Hill,MIA,WR,10,No,No,No,10,No,No,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Demarcus Robinson,SF,WR,3,Yes,Yes,Yes,3,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Mundt,JAX,TE,5,No,No,No,4,No,Yes,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,
Durham Smythe,CHI,TE,5,No,No,No,4,No,No,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Xavier Legette,CAR,WR,22,Yes,No,No,19,No,Yes,0.7895,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2105,,,,,,,,,,,
Rashid Shaheed,SEA,WR,15,Yes,Yes,Yes,13,No,Yes,0.8462,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1538,,,,,,,,,,,
Gunnar Helm,TEN,TE,10,No,Yes,No,9,No,Yes,0.1111,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5556,0.3333,,,,,,,,,,,
Justin Jefferson,MIN,WR,15,No,No,No,13,No,Yes,0.8462,17,1,1,1,0.0769,1,1,5,11,1,-6,,1,1,1,-6,87.5,0.3846,5,1.2581,5,11,1,1.2122,1.2122,0.0667,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,0.1538,,,,,,,,,,,
Greg Dulcich,MIA,TE,8,Yes,No,No,4,No,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Brock Wright,DET,TE,14,No,No,No,8,No,Yes,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.125,,,,,,,,,,,
Brandin Cooks,BUF,WR,11,No,No,No,9,No,No,0.8889,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111,,,,,,,,,,,
A.J. Brown,PHI,WR,19,No,No,No,18,No,No,0.8889,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111,,,,,,,,,,,
Luke McCaffrey,WAS,WR,8,No,No,No,6,No,No,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Ryan Miller,TB,WR,1,Yes,No,No,1,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,14,No,No,No,9,No,Yes,0.1111,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8889,,,,,,,,,,,,
Brock Bowers,LV,TE,21,No,No,No,20,No,Yes,0.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.25,,,,,,,,,,,
Jalin Hyatt,NYG,WR,5,No,Yes,No,2,No,Yes,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance Ferguson,LA,TE,1,No,No,No,1,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Lucas Krull,DEN,TE,1,No,No,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,4,No,No,No,2,No,Yes,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Chig Okonkwo,TEN,TE,18,No,No,No,14,No,Yes,0.2143,17,1,1,1,0.0714,1,1,1,7,2,-6,0.0714,,,,-6,79.2,0.0714,1,-6.1169,1,7,2,1.863,1.863,0.0556,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,0.1429,0.5714,,,,,,,,,,,
Nick Kallerup,SEA,TE,1,Yes,No,No,1,No,Yes,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ray Davis,BUF,RB,5,No,No,No,3,No,Yes,,17,2,2,1,0.6667,2,1,27,37,1,-10,1,,,,-5,118.8,9,13.5,8.1704,13.5,18.5,0.5,2.5955,2.5955,0.4,2.7,4.7,3.7,5.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,,,1,,1,0.5,,,,,,,
Tony Pollard,TEN,RB,12,No,No,No,8,No,Yes,,17,6,5,0.8333,0.75,4,0.6667,42,47,23,-12,0.875,1,1,0.1667,-2,47.2,5.25,7,1.1644,10.5,11.75,5.75,9.9032,9.9032,0.5,4.2,8.2,6.2,10.2,8.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,,0.125,1,,1,0.25,,1,0.1667,,,,
Ladd McConkey,LAC,WR,15,No,No,No,13,No,Yes,0.2308,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7692,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,18,Yes,No,No,13,No,Yes,0.4615,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5385,,,,,,,,,,,
Romeo Doubs,GB,WR,21,No,Yes,No,20,No,Yes,0.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,
Alex Bachman,LV,WR,1,Yes,No,No,1,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kene Nwangwu,NYJ,RB,1,No,No,No,1,No,Yes,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,24,Yes,No,No,23,No,Yes,0.6522,14,3,3,1,0.1304,3,1,22,33,9,-11,,,,,-3.6667,97.2,0.9565,7.3333,2.6529,7.3333,11,3,4.4087,4.4087,0.125,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,0.3478,,,2,0.6667,,,,,,,
Noah Fant,CIN,TE,10,No,No,No,8,No,Yes,0.125,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.375,,,,,,,,,,,
Isaiah Likely,BLT,TE,8,Yes,No,No,5,No,Yes,0.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,
Jimmy Holiday,KC,WR,1,Yes,No,No,1,No,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
George Kittle,SF,TE,4,Yes,Yes,Yes,4,No,Yes,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Dalton Schultz,HST,TE,15,No,No,No,14,No,Yes,0.2143,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6429,0.1429,,,,,,,,,,,
Keenan Allen,LAC,WR,13,No,Yes,No,12,No,No,0.5833,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4167,,,,,,,,,,,
James Cook,BUF,RB,13,No,No,No,11,No,Yes,,17,11,11,1,1,11,1,33,75,19,-42,1,2,1,0.0909,-3.8182,79.2,3,3,-2.7291,3,6.8182,1.7273,17.9262,17.9262,0.8462,3.3,14.3,8.8,19.8,14.3,14.3,8.8,14.3,14.3,14.3,8.8,14.3,14.3,,,1,2,4,0.3636,,,,,,,
Treylon Burks,WAS,WR,4,No,No,No,3,No,Yes,0.6667,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Jared Wiley,KC,TE,1,Yes,No,No,1,No,Yes,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,4,Yes,No,No,4,No,Yes,,13,4,2,0.5,1,2,0.5,11,20,2,-19,0.75,1,1,0.25,-4.75,56.3,2.75,2.75,-2.7751,5.5,10,1,6.0779,6.0779,1,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,0.25,,,,,,,,,,,
DJ Moore,CHI,WR,14,No,No,No,13,No,No,0.3846,17,3,3,1,0.2308,3,1,33,29,3,4,0.1538,2,2,0.6667,1.3333,112.5,2.5385,11,5.4805,11,9.6667,1,3.7446,3.7446,0.2143,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,0.4615,1,,,,,,,,,,
Bucky Irving,TB,RB,15,Yes,No,No,12,No,Yes,,10,11,11,1,0.9167,11,1,82,148,36,-66,1,3,2,0.1818,-6,97.7,6.8333,7.4545,2.3631,7.4545,13.4545,3.2727,17.6037,17.6037,0.7333,8.2,19.2,13.7,24.7,19.2,19.2,13.7,19.2,19.2,19.2,13.7,19.2,19.2,,,4,1,7,0.6364,,,,1,1,,
Josh Oliver,MIN,TE,5,No,No,No,1,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Nick Chubb,HST,RB,3,No,No,No,3,No,Yes,,15,3,2,0.6667,1,2,0.6667,3,9,5,-8,1,,,,-2.6667,70.1,1,1,-5.1454,1.5,4.5,2.5,4.4999,4.4999,1,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,,,,,,,,,,,,
Michael Carter,ARZ,RB,4,Yes,No,No,4,No,Yes,,13,4,4,1,1,4,1,38,50,23,-12,0.75,1,,,-3,106.3,9.5,9.5,3.4034,9.5,12.5,5.75,7.0214,7.0214,1,3.8,7.8,5.8,9.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,,0.25,3,1,5,1.25,,,,,,,
Tyjae Spears,TEN,RB,17,No,No,No,16,No,Yes,,13,16,16,1,1,15,0.9375,39,120,44,-89,0.875,4,2,0.125,-5.5625,79.2,2.4375,2.4375,-2.8847,2.6,8,2.9333,23.8288,23.8288,0.9412,3.9,18.9,11.4,26.4,18.9,18.9,11.4,18.9,18.9,18.9,11.4,18.9,18.9,,0.125,1,3,11,0.7333,,1,0.0625,,,,
Isaiah Davis,NYJ,RB,4,No,No,No,3,No,Yes,,16,3,3,1,1,3,1,11,28,4,-17,0.6667,2,2,0.6667,-5.6667,81.9,3.6667,3.6667,-1.6566,3.6667,9.3333,1.3333,4.0073,4.0073,0.75,1.1,4.1,2.6,5.6,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,,0.3333,,,,,,,,,,,
Colby Parkinson,LA,TE,5,Yes,No,No,4,No,Yes,0.25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,,,,,,,,,,,
