Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal
Elic Ayomanor,TEN,WR,29,Yes,No,No,29,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.1034,0.8966,,,,,,,,,,,,
Andre Baccellia,ARZ,WR,6,No,Yes,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1667,0.8333,,,,,,,,,,,,
Derrick Henry,BLT,RB,11,No,Yes,Yes,11,8,No,No,5,0.625,0.7273,5,0.625,29,22,10,10,1,1.25,29.7,2.6364,3.625,-2.5546,5.8,4.4,2,,10.6339,10.6339,0.7273,2.9,7.9,5.4,10.4,7.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,17,,,,,,1,,,,1,0.2,,,
Kareem Hunt,KC,RB,10,No,Yes,Yes,9,5,No,Yes,4,0.8,0.5556,4,0.8,25,25,7,,0.8889,,87.5,2.7778,5,-1.0027,6.25,6.25,1.75,1,7.154,7.154,0.5,2.5,6.5,4.5,8.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,17,0.1111,,,,,,,,,1,0.25,,,
AJ Barner,SEA,TE,24,No,No,No,19,5,No,Yes,4,0.8,0.2632,4,0.8,36,31,13,9,0.0526,1.8,96.7,1.8947,7.2,1.3543,9,7.75,3.25,2,6.9897,6.9897,0.2083,3.6,7.6,5.6,7.6,9.6,7.6,5.6,7.6,7.6,7.6,5.6,9.6,7.6,17,0.1579,0.0526,0.7368,,,,,,,1,0.25,,,
Zach Charbonnet,SEA,RB,15,No,No,No,14,9,No,Yes,7,0.7778,0.6429,7,0.7778,46,29,12,21,0.9286,2.3333,88,3.2857,5.1111,-1.1995,6.5714,4.1429,1.7143,1,13.1478,13.1478,0.6,4.6,11.6,8.1,15.1,11.6,11.6,8.1,11.6,11.6,11.6,8.1,11.6,11.6,16,,,0.0714,1,,1,,1,,,,,,
Chuba Hubbard,CAR,RB,13,No,No,No,10,10,No,Yes,9,0.9,1,6,0.6,31,29,11,-9,1,-0.9,65,3.1,3.1,-2.7189,5.1667,4.8333,1.8333,1,18.3473,18.3473,0.7692,3.1,9.1,6.1,12.1,9.1,9.1,6.1,9.1,9.1,9.1,6.1,9.1,9.1,15,,,,,,3,,,3,1,0.1667,0.3,,
Xavier Worthy,KC,WR,9,Yes,No,No,9,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.1111,0.8889,,,,,,,,,,,,
Rachaad White,TB,RB,9,No,No,No,8,6,No,Yes,6,1,0.75,6,1,48,44,8,4,1,0.6667,100,6,8,1.9551,8,7.3333,1.3333,3,9.8314,9.8314,0.6667,4.8,10.8,7.8,13.8,10.8,10.8,7.8,10.8,10.8,10.8,7.8,10.8,10.8,17,,,,,,1,,,,,,,,
Cam Grandy,CIN,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,
Elijah Moore,BUF,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1667,0.8333,,,,,,,,,,,,
Johnny Mundt,JAX,TE,11,Yes,No,No,10,2,No,Yes,2,1,0.2,2,1,37,32,29,5,,2.5,118.8,3.7,18.5,12.5028,18.5,16,14.5,2,2.8732,2.8732,0.1818,3.7,5.7,4.7,5.7,6.7,5.7,4.7,5.7,5.7,5.7,4.7,6.7,5.7,16,0.1,,0.9,,,,,,,2,1,,,
Durham Smythe,CHI,TE,10,No,Yes,No,5,1,No,No,1,1,0.2,1,1,2,4,,-2,,-2,79.2,0.4,2,-2.8511,2,4,,,1.5099,1.5099,0.1,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,17,,0.2,0.8,,,,,,,,,,,
Malachi Corley,CLV,WR,4,No,Yes,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.75,0.25,,,,,,,,,,,,
Xavier Legette,CAR,WR,21,No,No,No,21,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.2381,0.7619,,,,,,,,,,,,
Rashid Shaheed,SEA,WR,33,No,No,No,33,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.1515,0.8485,,,,,,,,,,,,
Gunnar Helm,TEN,TE,26,No,Yes,No,23,3,No,Yes,3,1,0.1304,2,0.6667,13,17,5,-2,,-0.6667,75.7,0.5652,4.3333,-2.2857,6.5,8.5,2.5,,4.1906,4.1906,0.1154,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,16,0.3478,0.087,0.5652,1,,1,,,,1,0.5,,,
Justin Jefferson,MIN,WR,16,Yes,No,Yes,16,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,0.75,,,,,,,,,,,,
Greg Dulcich,MIA,TE,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,1.385,1.385,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,
Brock Wright,DET,TE,4,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,,,,,,,
Brandin Cooks,BUF,WR,24,No,No,No,24,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.25,0.75,,,,,,,,,,,,
A.J. Brown,PHI,WR,23,No,No,No,23,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.087,0.913,,,,,,,,,,,,
Luke McCaffrey,WAS,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.375,0.625,,,,,,,,,,,,
Samori Toure,NO,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Ryan Miller,TB,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,
David Njoku,CLV,TE,18,No,Yes,No,16,1,No,Yes,1,1,0.0625,1,1,,1,1,-1,,-1,79.2,,,-4.9014,,1,1,,1.5828,1.5828,0.0556,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,12,0.3125,0.125,0.5625,,,,,,,,,,,
Brock Bowers,LV,TE,19,No,No,No,18,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6667,0.1667,0.1667,,,,,,,,,,,
Jalin Hyatt,NYG,WR,10,Yes,Yes,No,10,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.1,0.9,,,,,,,,,,,,
Terrance Ferguson,LA,TE,11,No,No,No,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6364,0.2727,0.0909,,,,,,,,,,,
Kimani Vidal,LAC,RB,6,Yes,Yes,No,5,5,No,Yes,5,1,1,4,0.8,76,77,11,3,1,0.6,118.8,15.2,15.2,9.0552,19,19.25,2.75,3,6.9464,6.9464,0.8333,7.6,11.6,9.6,13.6,11.6,11.6,9.6,11.6,11.6,11.6,9.6,11.6,11.6,13,,,,,,,,,1,1,0.25,0.2,,
RJ Harvey,DEN,RB,17,Yes,Yes,No,16,12,No,Yes,9,0.75,0.75,8,0.6667,56,50,24,7,1,0.5833,77.1,3.5,4.6667,-1.3984,7,6.25,3,1,18.2024,18.2024,0.7059,5.6,13.6,9.6,17.6,13.6,13.6,9.6,13.6,13.6,13.6,9.6,13.6,13.6,17,,,,,,,,,1,1,0.125,0.0833,,
Mason Tipton,NO,WR,12,No,No,Yes,12,1,No,Yes,1,1,0.0833,1,1,5,8,1,-3,,-3,87.5,0.4167,5,0.0592,5,8,1,,1.454,1.454,0.0833,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,13,0.5833,0.4167,,,,,,,,,,,,
Savion Williams,GB,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,2,11,4,-9,0.5,-9,79.2,1,2,-0.5405,2,11,4,,1.2116,1.2116,0.5,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,0.5,,,,,,,,,,,,
Derius Davis,LAC,WR,3,Yes,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.6667,0.3333,,,,,,,,,,,,
Kylen Granson,PHI,TE,8,Yes,No,Yes,8,1,No,Yes,1,1,0.125,1,1,6,6,2,,,,91.7,0.75,6,0.711,6,6,2,,1.4231,1.4231,0.125,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,17,0.375,,0.625,,,,,,,,,,,
Konata Mumpfield,LA,WR,15,No,Yes,No,15,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2667,0.7333,,,,,,,,,,,,
Kaleb Johnson,PIT,RB,1,No,Yes,No,1,1,No,Yes,1,1,1,,,,,,-3,1,-3,39.6,,,-6.1191,,,,,1.6225,1.6225,1,,,,,,,,,,,,,,10,,,,,,,,,1,,,1,,
Rhamondre Stevenson,NE,RB,19,No,No,Yes,17,15,No,Yes,15,1,0.8824,14,0.9333,132,105,16,31,1,2.0667,103.3,7.7647,8.8,2.4682,9.4286,7.5,1.1429,3,21.2125,21.2125,0.7895,12.2,26.2,19.2,33.2,26.2,29.2,21.2,25.2,25.2,25.2,18.2,26.2,25.2,14,,,,1,,1,,,1,1,0.0714,0.0667,,
Brenton Strange,JAX,TE,11,Yes,No,No,9,2,No,Yes,2,1,0.2222,2,1,23,19,4,4,,2,114.6,2.5556,11.5,5.4514,11.5,9.5,2,1,2.684,2.684,0.1818,2.3,4.3,3.3,4.3,5.3,4.3,3.3,4.3,4.3,4.3,3.3,5.3,4.3,12,0.2222,0.2222,0.5556,,,,,,,3,1.5,,,
Tory Horton,SEA,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,
Travis Kelce,KC,TE,16,No,Yes,Yes,15,2,No,Yes,1,0.5,0.1333,1,0.5,38,40,4,-4,,-2,95.8,2.5333,19,14.1489,38,40,4,1,3.1256,3.1256,0.125,3.8,4.8,4.3,4.8,5.3,4.8,4.3,4.8,4.8,4.8,4.3,5.3,4.8,17,0.3333,0.2,0.4667,,,,,,,,,,,
Cole Kmet,CHI,TE,26,No,Yes,No,23,4,No,No,4,1,0.1739,4,1,23,25,12,-2,0.0435,-0.5,90.6,1,5.75,-0.2319,5.75,6.25,3,1,6.057,6.057,0.1538,2.3,6.3,4.3,6.3,8.3,6.3,4.3,6.3,6.3,6.3,4.3,8.3,6.3,16,0.1304,0.2174,0.6087,,,,,,,1,0.25,,,
Tyreek Hill,MIA,WR,5,No,No,No,5,1,No,Yes,1,1,0.2,1,1,7,7,3,,0.2,,95.8,1.4,7,0.9614,7,7,3,1,2.1463,2.1463,0.2,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,4,0.2,0.6,,,,1,,,,,,,,
Demarcus Robinson,SF,WR,28,No,No,No,28,1,No,Yes,1,1,0.0357,1,1,1,1,1,,,,79.2,0.0357,1,-5.0386,1,1,1,,1.5284,1.5284,0.0357,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,14,0.4643,0.5357,,,,,,,,,,,,
Nick Vannett,LA,TE,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,
CeeDee Lamb,DAL,WR,27,No,Yes,Yes,27,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3704,0.6296,,,,,,,,,,,,
Noah Fant,CIN,TE,20,No,Yes,No,20,6,No,No,6,1,0.3,5,0.8333,23,22,7,-4,,-0.6667,82.6,1.15,3.8333,-1.6868,4.6,4.4,1.4,,8.8661,8.8661,0.3,1.3,6.3,3.8,6.3,8.8,6.3,2.8,5.3,5.3,5.3,2.8,8.8,5.3,15,0.1,,0.9,,,,,,1,,,0.1667,,
Isaiah Likely,BLT,TE,18,No,Yes,Yes,18,1,No,No,1,1,0.0556,1,1,10,7,2,3,,3,108.3,0.5556,10,3.6782,10,7,2,,1.3868,1.3868,0.0556,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,14,0.7778,0.1667,0.0556,,,,,,,,,,,
George Kittle,SF,TE,28,No,No,No,27,5,No,Yes,4,0.8,0.1852,4,0.8,36,33,12,3,0.037,0.6,96.7,1.3333,7.2,1.7457,9,8.25,3,1,7.149,7.149,0.1786,3.6,7.6,5.6,7.6,9.6,7.6,5.6,7.6,7.6,7.6,5.6,9.6,7.6,11,0.2593,0.1481,0.5556,,,,,,,1,0.25,,,
Dalton Schultz,HST,TE,23,No,Yes,No,23,4,No,Yes,4,1,0.1739,4,1,19,22,2,-3,,-0.75,86.5,0.8261,4.75,-0.7519,4.75,5.5,0.5,,5.5326,5.5326,0.1739,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,17,0.3913,0.0435,0.5652,1,,,,1,,,,,,
Keenan Allen,LAC,WR,12,Yes,Yes,No,12,1,No,Yes,1,1,0.0833,1,1,8,11,2,-3,,-3,100,0.6667,8,3.0592,8,11,2,,1.435,1.435,0.0833,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,17,0.5833,0.4167,,,,,,,,,,,,
Anthony Gould,IND,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5,0.5,,,,,,,,,,,,
James Cook,BUF,RB,14,No,No,No,11,10,No,Yes,8,0.8,0.9091,6,0.6,82,69,52,21,1,2.1,86.3,7.4545,8.2,1.6133,13.6667,11.5,8.6667,2,15.3734,15.3734,0.7143,8.2,14.2,11.2,17.2,14.2,14.2,11.2,14.2,14.2,14.2,11.2,14.2,14.2,17,,,,1,,,,,,3,0.5,,,
Treylon Burks,WAS,WR,4,Yes,No,Yes,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,
Lucas Krull,DEN,TE,1,Yes,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,0.5,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,26,Yes,No,No,21,3,No,Yes,1,0.3333,0.1429,1,0.3333,2,2,1,-8,0.0476,-2.6667,42.4,0.0952,0.6667,-4.5092,2,2,1,,4.7627,4.7627,0.1154,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,17,0.1905,0.1905,0.5714,,,,,,,,,,,
Ke'Shawn Williams,CIN,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,
Nick Kallerup,SEA,TE,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,
Ray Davis,BUF,RB,8,No,No,No,8,5,No,Yes,4,0.8,0.625,3,0.6,25,31,16,1,1,0.2,72.9,3.125,5,-1.191,8.3333,10.3333,5.3333,2,7.0383,7.0383,0.625,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,17,,,,,,1,,,1,,,0.2,,
DeeJay Dallas,JAX,RB,1,Yes,No,No,1,1,No,Yes,1,1,1,,,,,,-1,1,-1,39.6,,,-5.819,,,,,1.554,1.554,1,,,,,,,,,,,,,,5,,,,,,,,,1,,,1,,
Tony Pollard,TEN,RB,25,Yes,No,No,25,21,No,Yes,17,0.8095,0.84,16,0.7619,94,78,24,27,0.84,1.2857,84.2,3.76,4.4762,-1.7065,5.875,4.875,1.5,5,30.6791,30.6791,0.84,8.4,24.4,16.4,32.4,24.4,24.4,15.4,23.4,23.4,23.4,15.4,24.4,23.4,17,0.12,,0.04,1,,,,1,1,2,0.125,0.0476,,
Drake Dabney,GB,TE,3,Yes,No,Yes,2,1,No,Yes,1,1,0.5,1,1,3,1,1,2,,2,79.2,1.5,3,-3.3701,3,1,1,,1.388,1.388,0.3333,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,2,1,,,1,,,,1,,,,,,
Ladd McConkey,LAC,WR,19,No,No,Yes,19,1,No,Yes,1,1,0.0526,1,1,8,10,2,-2,,-2,100,0.4211,8,2.5009,8,10,2,,1.5483,1.5483,0.0526,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,16,0.5789,0.4211,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,9,No,Yes,Yes,9,1,No,Yes,1,1,0.1111,1,1,2,3,1,-1,,-1,79.2,0.2222,2,-4.1699,2,3,1,,1.5766,1.5766,0.1111,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,0.4444,0.5556,,,,,,,,,,,,
Romeo Doubs,GB,WR,24,No,Yes,No,24,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,
Austin Trammell,JAX,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,
Dee Eskridge,MIA,WR,3,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,
AJ Dillon,PHI,RB,3,Yes,No,Yes,3,3,No,Yes,3,1,1,3,1,21,12,6,9,1,3,95.8,7,7,0.478,7,4,2,,5.4359,5.4359,1,1.1,4.1,2.6,5.6,4.1,4.1,1.6,3.1,3.1,3.1,1.6,4.1,3.1,7,,,,,,1,,,,1,0.3333,,,
Brittain Brown,CHI,RB,1,Yes,No,No,1,1,No,Yes,,,1,,,,,,4,1,4,39.6,,,-6.6619,,,,,1.3496,1.3496,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Ross Dwelley,DET,TE,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,27,No,No,No,27,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2222,0.7778,,,,,,,,,,,,
Sam LaPorta,DET,TE,11,No,No,No,9,1,No,No,1,1,0.1111,1,1,10,10,,,,,147.9,1.1111,10,4.711,10,10,,1,2.1463,2.1463,0.0909,7,8,7.5,8,8.5,8,7.5,8,8,8,7.5,8.5,8,9,0.2222,0.1111,0.6667,,1,1,,,,1,1,,,
Jackson Hawes,BUF,TE,10,No,No,No,10,4,No,Yes,4,1,0.4,4,1,23,24,6,-1,,-0.25,90.6,2.3,5.75,0.3971,5.75,6,1.5,2,5.845,5.845,0.4,2.3,6.3,4.3,6.3,8.3,6.3,4.3,6.3,6.3,6.3,4.3,8.3,6.3,17,0.2,,0.8,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,8,No,Yes,No,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,
Brycen Tremayne,CAR,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.6,0.2,,,,,,,,,,,,
Tez Johnson,TB,WR,12,No,No,No,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.6667,0.3333,,,,,,,,,,,,
Christian McCaffrey,SF,RB,51,No,No,No,49,34,No,Yes,31,0.9118,0.6939,29,0.8529,207,128,54,98,0.9184,2.8824,79.8,4.2245,6.0882,-0.3982,7.1379,4.4138,1.8621,10,48.8497,48.8497,0.6667,20.7,49.7,35.2,64.2,49.7,52.7,38.2,49.7,49.7,49.7,35.2,49.7,49.7,17,0.0612,,0.0204,3,,2,,2,1,5,0.1724,0.0294,,
Sterling Shepard,TB,WR,12,No,Yes,No,12,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,0.6667,,,,,,,,,,,,
Khalil Shakir,BUF,WR,23,No,No,No,22,3,Yes,Yes,3,1,0.1364,3,1,11,17,6,-6,,-2,81.9,0.5,3.6667,-1.8699,3.6667,5.6667,2,1,5.4228,5.4228,0.1304,1.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,16,0.5455,0.3636,0.0909,,,1,,,,,,,,
Jalen Tolbert,DAL,WR,19,No,Yes,Yes,19,1,No,Yes,1,1,0.0526,1,1,,3,1,-3,,-3,79.2,,,-4.9408,,3,1,,1.858,1.858,0.0526,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,13,0.3684,0.6316,,,,,,,,,,,,
Drake London,ATL,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6,0.4,,,,,,,,,,,,
Alec Pierce,IND,WR,30,No,Yes,No,30,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1333,0.8667,,,,,,,,,,,,
LaJohntay Wester,BLT,WR,4,No,Yes,Yes,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,0.5,,,,,,,,,,,,
Jaylin Lane,WAS,WR,7,No,Yes,No,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,,,,,,,,,,,
Bo Melton,GB,WR,6,Yes,No,Yes,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,0.5,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,4,Yes,No,Yes,2,2,No,Yes,2,1,1,2,1,12,10,4,2,1,1,91.7,6,6,-0.1109,6,5,2,,2.8293,2.8293,0.5,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,13,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,13,No,Yes,No,13,1,No,No,1,1,0.0769,1,1,5,,,5,,5,87.5,0.3846,5,-1.3628,5,,,,1.4465,1.4465,0.0769,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,16,0.3077,0.6923,,1,,,,1,,,,,,
Theo Wease,MIA,WR,2,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,
Albert Okwuegbunam,LV,TE,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,16,15,2,1,,1,118.8,16,16,10.2246,16,15,2,1,1.4576,1.4576,1,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,1,,,1,,,,,,,,,,,
Raheim Sanders,CLV,RB,4,No,Yes,No,3,3,No,No,2,0.6667,1,2,0.6667,11,10,4,4,1,1.3333,72.9,3.6667,3.6667,-2.739,5.5,5,2,,4.2288,4.2288,0.75,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,4,,,,,,,,,,1,0.5,,,
Tyler Warren,IND,TE,32,No,Yes,No,31,2,No,Yes,1,0.5,0.0645,1,0.5,9,6,1,1,,0.5,62.5,0.2903,4.5,-1.0865,9,6,1,,2.9016,2.9016,0.0625,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,0.3871,0.1613,0.4516,,,,,,,1,1,,,
Ryan Flournoy,DAL,WR,15,No,Yes,Yes,15,2,No,Yes,2,1,0.1333,2,1,9,15,4,-6,,-3,85.4,0.6,4.5,-0.4921,4.5,7.5,2,,2.9047,2.9047,0.1333,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,15,0.2,0.8,,,,,,,,1,0.5,,,
Mike Gesicki,CIN,TE,14,No,Yes,No,14,2,No,No,1,0.5,0.1429,1,0.5,,4,1,-3,,-1.5,56.3,,,-6.0559,,4,1,,2.9195,2.9195,0.1429,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,13,0.6429,0.2857,0.0714,,,,,,,,,,,
Deebo Samuel,WAS,WR,16,Yes,No,Yes,16,2,No,Yes,2,1,0.125,2,1,9,17,7,-8,,-4,85.4,0.5625,4.5,-0.0502,4.5,8.5,3.5,,3.049,3.049,0.125,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,16,0.875,0.125,,,,,,,,3,1.5,,,
Wan'Dale Robinson,NYG,WR,30,No,No,No,30,1,No,No,,,0.0333,,,,,,-2,,-2,39.6,,,-5.4991,,,,,1.5043,1.5043,0.0333,,,,,,,,,,,,,,16,0.8,0.2,,,,,,,,,,,,
Devin Duvernay,CHI,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,17,,0.5,,,,,,,,,,,,
