Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested
Jaylen Warren,PIT,RB,10,Yes,No,No,1,1,No,Yes,1,1,1,1,1,5,9,1,-4,,,1,,1,1,1,-4,87.5,5,5,-0.5699,5,9,1,,1.4554,1.4554,0.1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,16,,,,,,,,
Kevin Austin,NO,WR,4,Yes,No,No,1,1,No,Yes,1,1,1,1,1,3,5,,-2,,,1,,1,1,1,-2,79.2,3,3,-2.4991,3,5,,,1.7404,1.7404,0.25,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,8,,,,,,,,
Marquise Brown,KC,WR,7,Yes,No,No,4,3,No,Yes,3,1,0.75,3,1,13,24,2,-11,1,0.3333,0.5,0.5,3,3,1,-3.6667,84.7,3.25,4.3333,-0.3037,4.3333,8,0.6667,1,4.7141,4.7141,0.4286,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,16,,,,,,,,
KaVontae Turpin,DAL,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Darius Slayton,NYG,WR,11,No,No,No,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
Bam Knight,ARZ,RB,2,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
Travis Etienne,JAX,RB,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,11,15,,-4,,,,1,1,1,1,-4,152.1,11,11,5.4301,11,15,,1,1.775,1.775,1,7.1,8.1,7.6,8.6,8.1,8.1,7.6,8.1,8.1,8.1,7.6,8.1,8.1,17,,1,,1,,,,
Jordan Whittington,LA,WR,4,No,No,No,1,1,No,Yes,1,1,1,1,1,9,10,3,-1,,,,1,1,1,1,-1,104.2,9,9,2.8301,9,10,3,1,1.6208,1.6208,0.25,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,,,,,,,,
Emari Demercado,ARZ,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,
Matthew Golden,GB,WR,3,No,No,No,1,1,No,No,1,1,1,1,1,2,3,1,-1,,,,1,1,1,1,-1,79.2,2,2,-4.1699,2,3,1,,1.5152,1.5152,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,14,,,,,,,,
Saquon Barkley,PHI,RB,4,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Evan Engram,DEN,TE,6,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,-1,2,2,-3,,,,,1,1,1,-3,79.2,-0.5,-1,-6.8652,-1,2,2,,1.5134,1.5134,0.1667,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,16,,,1,,,,,
Adonai Mitchell,NYJ,WR,4,No,No,No,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Pat Bryant,DEN,WR,5,Yes,No,No,1,1,No,Yes,1,1,1,1,1,5,7,,-2,,,1,,1,1,1,-2,87.5,5,5,-0.4991,5,7,,,1.631,1.631,0.2,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,15,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,4,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,7,8,2,-1,,,0.5,0.5,1,1,1,-1,95.8,3.5,7,0.8301,7,8,2,,1.4556,1.4556,0.25,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,10,,,,,,,,
Ja'Marr Chase,CIN,WR,9,Yes,No,No,9,9,No,Yes,9,1,1,9,1,51,72,35,-21,3,0.3333,0.3333,0.6667,9,9,1,-2.3333,90.3,5.6667,5.6667,0.3173,5.6667,8,3.8889,2,14.3193,14.3193,1,5.1,14.1,9.6,14.1,14.1,14.1,9.6,14.1,14.1,14.1,9.6,14.1,14.1,16,,1,,,,,,
Cooper Kupp,SEA,WR,5,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Darnell Washington,PIT,TE,10,Yes,No,No,1,1,No,Yes,1,1,1,1,1,2,5,,-3,,,,,1,1,1,-3,79.2,2,2,-3.8652,2,5,,,1.6659,1.6659,0.1,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,16,,,1,,,,,
Courtland Sutton,DEN,WR,14,Yes,No,No,2,,No,Yes,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Greg Dortch,ARZ,WR,2,No,No,No,2,2,No,Yes,2,1,1,2,1,15,21,1,-6,1,0.5,1,,2,2,1,-3,97.9,7.5,7.5,2.5592,7.5,10.5,0.5,1,3.2921,3.2921,1,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,12,,,,,,,,
Malik Washington,MIA,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,6,11,2,-5,,,1,,1,1,1,-5,91.7,6,6,1.8404,6,11,2,1,1.5222,1.5222,1,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,1,,,,,,
Michael Pittman,IND,WR,4,No,No,No,1,1,No,No,1,1,1,1,1,-1,1,,-2,,,,1,1,1,1,-2,79.2,-1,-1,-6.4991,-1,1,,,1.3554,1.3554,0.25,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,17,,,,,,,,
Jordan Mason,MIN,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Tre Tucker,LV,WR,5,Yes,No,No,3,3,No,Yes,2,0.6667,1,2,0.6667,5,11,5,-8,1,0.5,0.3333,0.6667,3,3,1,-2.6667,70.1,1.6667,1.6667,-3.4944,2.5,5.5,2.5,,4.4943,4.4943,0.6,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,17,,,,,,,,
Troy Franklin,DEN,WR,7,Yes,No,No,6,6,No,Yes,6,1,1,6,1,35,50,17,-15,1,0.1667,0.8333,0.1667,6,6,1,-2.5,91,5.8333,5.8333,0.5946,5.8333,8.3333,2.8333,2,9.2799,9.2799,0.8571,3.5,9.5,6.5,9.5,9.5,9.5,6.5,9.5,9.5,9.5,6.5,9.5,9.5,17,,1,,,,,,
Brian Thomas,JAX,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
Noah Gray,KC,TE,7,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Chimere Dike,TEN,WR,11,Yes,No,No,5,5,No,Yes,3,0.6,1,3,0.6,9,16,2,-8,1,0.3333,1,,5,5,1,-1.6,64.6,1.8,1.8,-3.852,3,5.3333,0.6667,,7.6168,7.6168,0.4545,0.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,17,,2,,,,,,
Michael Wilson,ARZ,WR,7,No,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Ian Thomas,LV,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,1,,,,,
Zay Flowers,BLT,WR,4,Yes,No,No,3,3,No,Yes,3,1,1,3,1,17,26,3,-9,2,0.6667,1,,3,3,1,-3,90.3,5.6667,5.6667,0.6917,5.6667,8.6667,1,1,5.3574,5.3574,0.75,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,17,,1,,,,,,
Jahmyr Gibbs,DET,RB,2,No,No,No,1,1,No,No,1,1,1,1,1,6,11,1,-5,,,1,,1,1,1,-5,91.7,6,6,0.1289,6,11,1,,1.4146,1.4146,0.5,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,,,,,,,
Dalton Kincaid,BUF,TE,5,No,No,No,4,4,No,No,4,1,1,4,1,63,76,17,-13,,,0.25,,4,4,1,-3.25,118.8,15.75,15.75,9.767,15.75,19,4.25,3,6.7734,6.7734,0.8,6.3,10.3,8.3,10.3,12.3,10.3,8.3,10.3,10.3,10.3,8.3,12.3,10.3,12,,1,0.75,,,,,
Gabe Davis,BUF,WR,9,No,No,No,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Rashee Rice,KC,WR,7,Yes,No,No,4,3,No,Yes,3,1,0.75,2,0.6667,16,21,4,-7,1,0.5,0.75,0.25,3,3,1,-2.3333,79.9,4,5.3333,0.0203,8,10.5,2,,4.969,4.969,0.4286,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,8,,,,,1,0.3333,,
Michael Mayer,LV,TE,5,Yes,No,No,3,2,No,Yes,2,1,0.6667,2,1,8,13,4,-5,,,0.6667,,2,2,1,-2.5,83.3,2.6667,4,-1.3581,4,6.5,2,,2.939,2.939,0.4,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,13,,,0.3333,,,,,
Brashard Smith,KC,RB,10,Yes,No,No,8,7,No,Yes,7,1,0.875,7,1,46,66,9,-20,,,0.25,0.625,7,7,1,-2.8571,94,5.75,6.5714,0.441,6.5714,9.4286,1.2857,1,11.5021,11.5021,0.7,4.6,11.6,8.1,15.1,11.6,11.6,8.1,11.6,11.6,11.6,8.1,11.6,11.6,17,0.125,2,,,,,,
Kenneth Walker,SEA,RB,4,No,No,No,1,1,No,No,1,1,1,1,1,14,16,6,-2,,,1,,1,1,1,-2,118.8,14,14,7.802,14,16,6,1,1.5026,1.5026,0.25,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,17,,,,,,,,
Jordan Addison,MIN,WR,2,No,No,No,1,1,No,No,1,1,1,1,1,5,8,2,-3,,,,1,1,1,1,-3,87.5,5,5,0.0592,5,8,2,,1.587,1.587,0.5,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,14,,1,,,,,,
Malik Heath,GB,WR,2,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,13,14,13,-1,1,1,,1,1,1,1,-1,118.8,13,13,6.8301,13,14,13,1,1.3511,1.3511,0.5,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,11,,,,,,,,
Jalen Royals,KC,WR,2,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
Jameson Williams,DET,WR,2,No,No,No,1,1,No,No,1,1,1,1,1,1,4,1,-3,,,,1,1,1,1,-3,79.2,1,1,-3.9408,1,4,1,,1.5134,1.5134,0.5,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,,,,,,,,
Jahan Dotson,PHI,WR,2,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
DeVonta Smith,PHI,WR,4,No,No,No,3,3,No,No,3,1,1,2,0.6667,9,15,1,-8,,,1,,3,3,1,-2.6667,70.1,3,3,-2.1269,4.5,7.5,0.5,,4.3947,4.3947,0.75,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,,,,,1,0.3333,,
Theo Johnson,NYG,TE,8,No,No,No,3,3,No,No,3,1,1,3,1,11,19,12,-8,,,1,,3,3,1,-2.6667,81.9,3.6667,3.6667,-1.8605,3.6667,6.3333,4,1,4.8129,4.8129,0.375,1.1,4.1,2.6,4.1,5.6,4.1,2.6,4.1,4.1,4.1,2.6,5.6,4.1,15,,1,,,,,,
Jalen McMillan,TB,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,8,10,,-2,1,1,,1,1,1,1,-2,100,8,8,2.5009,8,10,,,1.4493,1.4493,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,4,,,,,,,,
Puka Nacua,LA,WR,4,No,No,No,4,4,No,Yes,4,1,1,4,1,22,27,13,-5,1,0.25,,1,4,4,1,-1.25,89.6,5.5,5.5,-0.3017,5.5,6.75,3.25,,8.7575,8.7575,1,2.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,16,,3,,,,,,
Malik Nabers,NYG,WR,3,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
DeMario Douglas,NE,WR,3,No,No,No,3,3,No,No,3,1,1,3,1,27,38,7,-11,,,1,,3,3,1,-3.6667,104.2,9,9,4.363,9,12.6667,2.3333,1,4.6328,4.6328,1,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,17,,,,,,,,
DK Metcalf,PIT,WR,16,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,41,46,6,-5,2,0.6667,0.3333,0.6667,3,3,1,-1.6667,118.8,6.8333,13.6667,7.944,13.6667,15.3333,2,1,4.3681,4.3681,0.1875,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,15,,,,,,,,
Isaiah Williams,NYJ,WR,4,No,No,No,3,3,No,No,2,0.6667,1,2,0.6667,-1,5,1,-11,,,0.6667,0.3333,3,3,1,-3.6667,70.1,-0.3333,-0.3333,-5.0138,-0.5,2.5,0.5,1,4.4319,4.4319,0.75,-0.1,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,15,,,,,,,1,1
Jonnu Smith,PIT,TE,12,Yes,No,No,1,1,No,Yes,1,1,1,1,1,3,6,2,-3,,,1,,1,1,1,-3,79.2,3,3,-2.8652,3,6,2,,1.4444,1.4444,0.0833,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,,,,,,,,
Quentin Johnston,LAC,WR,8,No,No,No,5,5,No,No,5,1,1,5,1,33,41,21,-8,6,1.2,,1,5,5,1,-1.6,94.2,6.6,6.6,0.8326,6.6,8.2,4.2,2,8.1389,8.1389,0.625,3.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,14,,,,,,,,
Dyami Brown,JAX,WR,2,Yes,No,No,1,1,No,Yes,1,1,1,1,1,-1,2,1,-3,,,1,,1,1,1,-3,79.2,-1,-1,-5.9408,-1,2,1,,1.9182,1.9182,0.5,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,14,,1,,,,,,
Ty Johnson,BUF,RB,6,No,No,No,3,3,No,No,2,0.6667,1,2,0.6667,12,22,8,-14,2,1,1,,3,3,1,-4.6667,74.3,4,4,-1.7707,6,11,4,1,4.5179,4.5179,0.5,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,17,,,,,,,,
Zach Charbonnet,SEA,RB,2,No,No,No,1,1,No,No,1,1,1,1,1,,2,,-2,,,1,,1,1,1,-2,79.2,,,-6.198,,2,,,1.5878,1.5878,0.5,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,16,,,,,,,,
Elijah Moore,BUF,WR,4,Yes,No,No,1,1,No,Yes,1,1,1,1,1,-3,3,,-6,,,1,,1,1,1,-6,79.2,-3,-3,-6.7419,-3,3,,,1.2343,1.2343,0.25,-0.3,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,9,,,,,,,,
Malachi Corley,CLV,WR,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,2,3,1,-1,,,,1,1,1,1,-1,79.2,2,2,-4.1699,2,3,1,,1.5188,1.5188,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,13,,,,,,,,
Xavier Worthy,KC,WR,10,Yes,No,Yes,6,6,No,Yes,6,1,1,5,0.8333,24,42,8,-16,2,0.4,0.5,0.5,6,6,1,-2.6667,83.3,4,4,-0.7956,4.8,8.4,1.6,1,9.2671,9.2671,0.6,2.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,14,,1,,,1,0.1667,,
Pat Freiermuth,PIT,TE,11,Yes,No,No,7,5,No,Yes,5,1,0.7143,5,1,39,50,35,-11,2,0.4,0.8571,,5,5,1,-2.2,99.2,5.5714,7.8,2.5332,7.8,10,7,2,8.1708,8.1708,0.4545,3.9,8.9,6.4,8.9,11.4,8.9,6.4,8.9,8.9,8.9,6.4,11.4,8.9,17,,2,0.1429,,,,,
Calvin Austin,PIT,WR,7,Yes,No,No,5,5,No,Yes,5,1,1,4,0.8,26,32,22,-7,,,0.8,0.2,5,5,1,-1.4,88.3,5.2,5.2,-0.7015,6.5,8,5.5,1,7.4971,7.4971,0.7143,2.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,14,,,,,1,0.2,1,1
Bijan Robinson,ATL,RB,2,Yes,No,No,1,1,No,Yes,1,1,1,1,1,1,6,1,-5,,,1,,1,1,1,-5,79.2,1,1,-4.8711,1,6,1,,1.4485,1.4485,0.5,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,17,,,,,,,,
Darnell Mooney,ATL,WR,2,Yes,No,No,1,1,No,Yes,1,1,1,1,1,7,9,4,-2,1,1,,1,1,1,1,-2,95.8,7,7,1.5009,7,9,4,,1.2747,1.2747,0.5,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,15,,,,,,,,
Allen Lazard,NYJ,WR,2,No,No,No,1,1,No,Yes,1,1,1,1,1,7,8,1,-1,,,1,,1,1,1,-1,95.8,7,7,0.8301,7,8,1,,1.4786,1.4786,0.5,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,10,,,,,,,,
Hunter Renfrow,CAR,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,1,3,2,-2,,,1,,1,1,1,-2,79.2,1,1,-4.4991,1,3,2,,1.4273,1.4273,1,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,6,,,,,,,,
Andrei Iosivas,CIN,WR,8,Yes,No,No,1,1,No,Yes,1,1,1,1,1,2,3,1,-1,1,1,,1,1,1,1,-1,79.2,2,2,-4.1699,2,3,1,1,1.4477,1.4477,0.125,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,,
Jaylin Noel,HST,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,-1,1,1,-2,,,1,,1,1,1,-2,79.2,-1,-1,-6.4991,-1,1,1,,1.4274,1.4274,1,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,17,,,,,,,,
Ashton Jeanty,LV,RB,5,Yes,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Kyle Monangai,CHI,RB,3,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,
Stefon Diggs,NE,WR,3,No,No,No,2,2,No,No,2,1,1,2,1,8,20,1,-12,,,1,,2,2,1,-6,83.3,4,4,0.2593,4,10,0.5,,2.7573,2.7573,0.6667,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,17,,,,,,,,
Chase Brown,CIN,RB,8,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,
Dont'e Thornton,LV,WR,4,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Trey McBride,ARZ,TE,8,No,No,No,6,6,No,Yes,6,1,1,6,1,33,46,25,-13,1,0.1667,1,,6,6,1,-2.1667,89.6,5.5,5.5,0.4799,5.5,7.6667,4.1667,1,9.4474,9.4474,0.75,3.3,9.3,6.3,9.3,12.3,9.3,6.3,9.3,9.3,9.3,6.3,12.3,9.3,17,,1,,,,,,
Emeka Egbuka,TB,WR,2,No,No,No,1,1,No,No,1,1,1,1,1,-3,1,1,-4,,,,1,1,1,1,-4,79.2,-3,-3,-7.4851,-3,1,1,,1.2512,1.2512,0.5,-0.3,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,17,,,,,,,1,1
