Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal
Harold Fannin,CLV,TE,35,No,No,No,17,No,Yes,0.2353,0.2353,16,9,8,0.8889,0.5294,8,0.8889,30,57,17,-29,9,9,1,-3.2222,80.6,1.7647,3.3333,-2.068,3.75,7.125,2.125,14.8864,14.8864,0.2571,3,11,7,11,15,11,7,11,11,11,7,15,11,0.0588,3,0.375,1,1,,,0.4706,,,,
Cam Skattebo,NYG,RB,7,No,No,No,6,No,Yes,,0.3333,8,5,5,1,0.8333,5,1,34,45,24,-11,5,5,1,-2.2,134.6,5.6667,6.8,0.9092,6.8,9,4.8,8.1972,8.1972,0.7143,9.4,14.4,11.9,16.9,14.4,14.4,11.9,14.4,14.4,14.4,11.9,14.4,14.4,0.6667,4,0.8,1,3,,,,1,,,
Dont'e Thornton,LV,WR,22,No,No,No,8,No,Yes,0.125,0.875,15,1,1,1,0.125,1,1,11,12,11,-1,1,1,1,-1,112.5,1.375,11,4.8301,11,12,11,1.2461,1.2461,0.0455,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,1,,,,,,,
John Bates,WAS,TE,4,No,No,Yes,2,No,Yes,,,15,2,1,0.5,1,1,0.5,11,15,5,-7,2,2,1,-3.5,66.7,5.5,5.5,-0.6008,11,15,5,2.7862,2.7862,0.5,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,1,,,1,,,,
Trey McBride,ARZ,TE,40,Yes,No,No,24,No,Yes,0.6667,0.125,17,20,18,0.9,0.8333,18,0.9,149,185,53,-18,20,20,1,-0.9,97.7,6.2083,7.45,1.3967,8.2778,10.2778,2.9444,29.7353,29.7353,0.5,14.9,32.9,23.9,32.9,41.9,35.9,26.9,32.9,32.9,32.9,23.9,41.9,32.9,,3,0.1667,1,5,,,0.2083,,,,
Dontayvion Wicks,GB,WR,8,No,No,No,5,No,Yes,0.2,0.8,14,1,1,1,0.2,1,1,4,5,1,-1,1,1,1,-1,83.3,0.8,4,-2.1699,4,5,1,1.4826,1.4826,0.125,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,
Emeka Egbuka,TB,WR,43,No,No,Yes,17,No,Yes,0.1765,0.8235,17,10,9,0.9,0.5882,9,0.9,54,81,18,-30,10,10,1,-3,122.5,3.1765,5.4,0.3939,6,9,2,17.3411,17.3411,0.2326,11.4,20.4,15.9,20.4,20.4,20.4,15.9,20.4,20.4,20.4,15.9,20.4,20.4,,,,2,1,,,,1,,,
Noah Brown,WAS,WR,4,No,No,No,1,No,Yes,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,28,Yes,No,No,8,No,Yes,0.25,,17,1,1,1,0.125,1,1,3,7,2,-4,1,1,1,-4,79.2,0.375,3,-2.5699,3,7,2,1.4554,1.4554,0.0357,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,0.75,,,,,,,,,,,
Payne Durham,TB,TE,5,No,No,Yes,1,No,Yes,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,3,No,No,Yes,1,No,Yes,,,15,1,1,1,1,1,1,-1,5,1,-6,1,1,1,-6,79.2,-1,-1,-6.0893,-1,5,1,1.3783,1.3783,0.3333,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,1,,,,,,,,,,,
Tucker Kraft,GB,TE,12,Yes,Yes,Yes,6,No,No,0.6667,,8,5,5,1,0.8333,5,1,59,74,13,-15,5,5,1,-3,115.8,9.8333,11.8,6.152,11.8,14.8,2.6,7.7833,7.7833,0.4167,5.9,10.9,8.4,10.9,13.4,10.9,8.4,10.9,10.9,10.9,8.4,13.4,10.9,,1,0.2,2,3,,,0.3333,,,,
Mitchell Tinsley,CIN,WR,9,No,Yes,No,1,No,No,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brycen Tremayne,CAR,WR,2,No,No,Yes,1,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,31,Yes,No,No,10,No,Yes,0.7,0.3,13,7,7,1,0.7,7,1,46,57,21,-11,7,7,1,-1.5714,94,4.6,6.5714,1.2088,6.5714,8.1429,3,10.971,10.971,0.2258,4.6,11.6,8.1,11.6,11.6,11.6,8.1,11.6,11.6,11.6,8.1,11.6,11.6,,,,,1,,,,,,,
Khalil Shakir,BUF,WR,35,No,No,No,29,No,No,0.6552,0.3448,16,19,17,0.8947,0.6552,16,0.8421,103,156,78,-64,19,19,1,-3.3684,106.8,3.5517,5.4211,0.6216,6.4375,9.75,4.875,31.9505,31.9505,0.5429,16.3,32.3,24.3,32.3,32.3,35.3,27.3,32.3,32.3,32.3,24.3,32.3,32.3,,5,0.3125,2,5,1,0.0526,,1,,,
Tez Johnson,TB,WR,22,No,No,Yes,7,No,Yes,0.4286,0.5714,16,3,3,1,0.4286,3,1,24,33,4,-9,3,3,1,-3,139.6,3.4286,8,3.025,8,11,1.3333,4.7126,4.7126,0.1364,8.4,11.4,9.9,11.4,11.4,11.4,9.9,11.4,11.4,11.4,9.9,11.4,11.4,,2,0.6667,,1,,,,1,,,
Christian McCaffrey,SF,RB,34,Yes,No,Yes,27,No,Yes,0.0741,0.037,17,18,17,0.9444,0.6667,15,0.8333,148,202,50,-66,18,18,1,-3.6667,119.4,5.4815,8.2222,2.3888,9.8667,13.4667,3.3333,29.7808,29.7808,0.5294,20.8,35.8,28.3,43.3,35.8,38.8,31.3,35.8,35.8,35.8,28.3,35.8,35.8,0.8889,4,0.2667,4,9,2,0.1111,,1,1,,
Dee Eskridge,MIA,WR,5,No,No,No,2,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,18,No,No,Yes,2,No,Yes,,,9,2,2,1,1,2,1,15,24,5,-9,2,2,1,-4.5,97.9,7.5,7.5,2.1451,7.5,12,2.5,3.1205,3.1205,0.1111,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,,,,,1,,,1,,,,
Phil Mafah,DAL,RB,3,Yes,No,No,2,No,Yes,,,1,2,2,1,1,2,1,11,22,7,-11,2,2,1,-5.5,89.6,5.5,5.5,0.0198,5.5,11,3.5,2.2996,2.2996,0.6667,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,1,0.5,,1,,,,,,,
Jackson Hawes,BUF,TE,5,No,No,Yes,1,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jaxon Smith-Njigba,SEA,WR,21,Yes,No,Yes,19,No,Yes,0.2632,0.7368,17,11,11,1,0.5789,11,1,35,50,21,-15,11,11,1,-1.3636,79.9,1.8421,3.1818,-1.9849,3.1818,4.5455,1.9091,16.3156,16.3156,0.5238,2.5,13.5,8,13.5,13.5,13.5,7,12.5,12.5,12.5,7,13.5,12.5,,2,0.1818,,1,,,,,,,
Albert Okwuegbunam,LV,TE,2,No,No,No,1,No,Yes,,,1,1,1,1,1,1,1,5,10,6,-5,1,1,1,-5,87.5,5,5,0.6267,5,10,6,1.5364,1.5364,0.5,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,1,1,,,,,1,,,,
Tyler Warren,IND,TE,21,No,No,No,10,No,Yes,0.2,0.1,17,7,6,0.8571,0.7,6,0.8571,90,111,16,-24,7,7,1,-3.4286,118.8,9,12.8571,7.1378,15,18.5,2.6667,13.4406,13.4406,0.3333,9,15,12,15,18,15,12,15,15,15,12,18,15,,,,,5,,,0.7,,,,
Jaylin Lane,WAS,WR,14,No,No,Yes,5,No,Yes,0.6,0.4,15,2,2,1,0.4,2,1,-2,3,,-5,2,2,1,-2.5,79.2,-0.4,-1,-6.3275,-1,1.5,,2.7015,2.7015,0.1429,-0.2,1.8,0.8,1.8,1.8,1.8,0.8,1.8,1.8,1.8,0.8,1.8,1.8,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,13,Yes,No,No,7,No,Yes,0.7143,0.2857,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,26,Yes,No,No,1,No,Yes,,1,12,1,1,1,1,1,1,-2,2,2,-4,1,1,1,-4,79.2,-2,-2,-6.4851,-2,2,2,1.393,1.393,0.0385,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,,,,,
Alec Pierce,IND,WR,18,No,No,No,7,No,Yes,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,28,No,No,No,12,No,Yes,0.5833,0.4167,16,3,2,0.6667,0.25,2,0.6667,10,16,11,-9,3,3,1,-3,71.5,0.8333,3.3333,-1.6075,5,8,5.5,4.325,4.325,0.1071,1,3,2,3,3,3,2,3,3,3,2,3,3,,1,0.5,2,1,,,,,,,
Chris Rodriguez,WAS,RB,5,No,No,Yes,3,No,Yes,0.3333,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,28,No,No,Yes,19,No,Yes,0.6316,0.3158,16,8,8,1,0.4211,8,1,47,68,23,-21,8,8,1,-2.625,91.1,2.4737,5.875,0.7153,5.875,8.5,2.875,13.1104,13.1104,0.2857,4.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,0.0526,1,0.125,,2,,,,,,,
Roman Wilson,PIT,WR,8,No,No,No,6,No,Yes,0.1667,0.8333,13,2,1,0.5,0.3333,1,0.5,8,9,,-5,2,2,1,-2.5,60.4,1.3333,4,-1.3275,8,9,,2.8061,2.8061,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,,,
Trey Benson,ARZ,RB,6,No,No,No,4,No,Yes,,,4,1,1,1,0.25,1,1,-1,4,3,-5,1,1,1,-5,79.2,-0.25,-1,-6.8711,-1,4,3,1.3406,1.3406,0.1667,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,1,,,,,,,,,,,
Jake Tonges,SF,TE,14,Yes,No,No,8,No,Yes,0.25,,16,6,6,1,0.75,6,1,49,72,14,-23,6,6,1,-3.8333,140.3,6.125,8.1667,2.4495,8.1667,12,2.3333,9.3612,9.3612,0.4286,10.9,16.9,13.9,16.9,19.9,16.9,13.9,16.9,16.9,16.9,13.9,19.9,16.9,,1,0.1667,,2,,,0.75,1,,,
Ben Skowronek,PIT,WR,6,No,No,No,2,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,4,Yes,No,Yes,1,No,Yes,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,6,No,Yes,No,2,No,No,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikko Remigio,KC,WR,1,No,No,No,1,No,Yes,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,28,No,No,Yes,22,No,Yes,0.6818,0.3182,16,15,15,1,0.6818,14,0.9333,137,181,44,-48,15,15,1,-3.2,99.2,6.2273,9.1333,4.2178,9.7857,12.9286,3.1429,28.7357,28.7357,0.5357,19.7,33.7,26.7,33.7,33.7,36.7,29.7,33.7,33.7,33.7,26.7,33.7,33.7,,4,0.2857,4,3,1,0.0667,,1,,,
Ryan Flournoy,DAL,WR,13,Yes,No,No,7,No,Yes,0.5714,0.4286,15,4,4,1,0.5714,4,1,22,27,5,-5,4,4,1,-1.25,89.6,3.1429,5.5,-0.5022,5.5,6.75,1.25,5.8239,5.8239,0.3077,2.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,,2,0.5,,1,,,,,,,
Jaylen Waddle,MIA,WR,29,Yes,No,No,14,No,Yes,0.2857,0.7143,16,2,2,1,0.1429,2,1,1,8,1,-7,2,2,1,-3.5,79.2,0.0714,0.5,-4.2129,0.5,4,0.5,2.7649,2.7649,0.069,0.42,2.42,1.42,2.42,2.42,2.42,1.42,2.42,2.42,2.42,1.42,2.5,2.5,,,,,,,,,,,,
Tee Higgins,CIN,WR,18,No,Yes,No,3,No,No,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,11,No,No,No,8,No,Yes,0.125,0.125,15,5,4,0.8,0.625,4,0.8,42,57,33,-19,5,5,1,-3.8,101.7,5.25,8.4,2.7203,10.5,14.25,8.25,8.2215,8.2215,0.4545,4.2,8.2,6.2,10.2,8.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,0.375,2,0.5,3,1,,,0.375,,,,
Cade Stover,HST,TE,1,No,No,No,1,No,Yes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Scott Miller,PIT,WR,4,No,No,No,1,No,Yes,,1,13,1,1,1,1,1,1,5,7,,-2,1,1,1,-2,87.5,5,5,-0.4991,5,7,,1.5878,1.5878,0.25,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,
Grant Calcaterra,PHI,TE,6,No,No,Yes,2,No,Yes,0.5,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,22,No,No,No,7,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,16,No,No,Yes,11,No,Yes,,,17,10,8,0.8,0.9091,8,0.8,71,117,45,-51,10,10,1,-5.1,96.3,6.4545,7.1,1.7346,8.875,14.625,5.625,14.8462,14.8462,0.625,7.1,15.1,11.1,19.1,15.1,15.1,11.1,15.1,15.1,15.1,11.1,15.1,15.1,1,1,0.125,,4,,,,,,,
Chris Olave,NO,WR,17,No,No,No,10,No,Yes,0.3,0.7,16,5,5,1,0.5,5,1,24,33,5,-9,5,5,1,-1.8,86.7,2.4,4.8,-0.7178,4.8,6.6,1,7.7272,7.7272,0.2941,2.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,,,,,1,,,,,,,
Ricky Pearsall,SF,WR,18,Yes,No,No,8,No,Yes,0.25,0.75,9,3,3,1,0.375,2,0.6667,1,8,2,-15,3,3,1,-5,70.1,0.125,0.3333,-3.6555,0.5,4,1,4.9169,4.9169,0.1667,0.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,,,,,,1,0.3333,,,,,
Jerome Ford,CLV,RB,10,No,Yes,No,10,No,Yes,,,13,7,7,1,0.7,6,0.8571,41,60,13,-22,7,7,1,-3.1429,91.1,4.1,5.8571,-0.1052,6.8333,10,2.1667,10.4363,10.4363,0.7,4.1,10.1,7.1,13.1,10.1,10.1,7.1,10.1,10.1,10.1,7.1,10.1,10.1,1,2,0.3333,1,3,1,0.1429,,,,,
George Pickens,DAL,WR,20,Yes,No,No,5,No,Yes,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,11,No,No,Yes,6,No,Yes,,0.1667,17,6,6,1,1,6,1,21,48,16,-27,6,6,1,-4.5,81.3,3.5,3.5,-2.0497,3.5,8,2.6667,9.3872,9.3872,0.5455,2.1,8.1,5.1,11.1,8.1,8.1,5.1,8.1,8.1,8.1,5.1,8.1,8.1,0.8333,2,0.3333,2,1,,,,,,,
Brandin Cooks,BUF,WR,10,No,No,No,2,No,No,,1,15,1,1,1,0.5,1,1,8,10,2,-2,1,1,1,-2,100,4,8,2.5009,8,10,2,1.5449,1.5449,0.1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,,,
A.J. Brown,PHI,WR,12,No,No,No,5,No,No,,1,15,2,2,1,0.4,2,1,-3,,,-3,2,2,1,-1.5,79.2,-0.6,-1.5,-7.3345,-1.5,,,2.8012,2.8012,0.1667,-0.3,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,,,,,,,,,,1,1,
Luke McCaffrey,WAS,WR,8,Yes,No,No,3,No,Yes,,1,9,1,1,1,0.3333,1,1,-2,-2,-1,,1,1,1,,79.2,-0.6667,-2,-8.0386,-2,-2,-1,1.1983,1.1983,0.125,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,,,1,1,
Terrance Ferguson,LA,TE,6,No,No,No,1,No,Yes,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
David Njoku,CLV,TE,18,No,Yes,No,6,No,Yes,0.1667,,12,4,4,1,0.6667,4,1,32,46,13,-14,4,4,1,-3.5,100,5.3333,8,2.8459,8,11.5,3.25,5.7992,5.7992,0.2222,3.2,7.2,5.2,7.2,9.2,7.2,5.2,7.2,7.2,7.2,5.2,9.2,7.2,,1,0.25,,,,,0.8333,,,,
Brock Bowers,LV,TE,23,No,No,Yes,7,No,Yes,0.5714,0.1429,12,2,2,1,0.2857,1,0.5,19,24,2,-8,2,2,1,-4,83.3,2.7143,9.5,4.3807,19,24,2,3.1645,3.1645,0.087,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,,,,,1,1,0.5,0.2857,,,,
Xavier Legette,CAR,WR,18,No,No,Yes,10,No,Yes,0.6,0.4,15,3,3,1,0.3,3,1,1,5,3,-4,3,3,1,-1.3333,79.2,0.1,0.3333,-5.6129,0.3333,1.6667,1,4.3379,4.3379,0.1667,0.1,3.1,1.6,3.1,3.1,3.1,1.6,3.1,3.1,3.1,1.6,3.1,3.1,,2,0.6667,,,,,,,,,
Johnny Mundt,JAX,TE,10,No,No,No,2,No,Yes,,,16,2,2,1,1,,,,,,-5,2,2,1,-2.5,39.6,,,-5.3581,,,,3.1503,3.1503,0.2,,,,,,,,,,,,,,,,,,,2,1,1,,,,
Durham Smythe,CHI,TE,7,No,No,No,1,No,Yes,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dulcich,MIA,TE,14,Yes,No,Yes,8,No,Yes,0.625,0.25,10,3,3,1,0.375,3,1,31,36,7,-5,3,3,1,-1.6667,109.7,3.875,10.3333,4.9982,10.3333,12,2.3333,6.3014,6.3014,0.2143,3.1,6.1,4.6,6.1,7.6,6.1,4.6,6.1,6.1,6.1,4.6,7.6,6.1,,,,1,1,,,0.125,,1,1,
Rashid Shaheed,SEA,WR,14,Yes,No,Yes,5,No,Yes,0.6,0.4,18,4,3,0.75,0.8,3,0.75,14,25,7,-13,4,4,1,-3.25,79.2,2.8,3.5,-1.3851,4.6667,8.3333,2.3333,6.6288,6.6288,0.2857,1.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,,1,0.3333,1,,,,,,,,
Gunnar Helm,TEN,TE,14,No,No,No,4,No,Yes,0.25,,16,3,3,1,0.75,3,1,4,17,3,-13,3,3,1,-4.3333,79.2,1,1.3333,-4.3487,1.3333,5.6667,1,4.2737,4.2737,0.2143,0.4,3.4,1.9,3.4,4.9,3.4,1.9,3.4,3.4,3.4,1.9,4.9,3.4,,,,,,,,0.75,,,,
Justin Jefferson,MIN,WR,45,No,No,Yes,35,No,Yes,0.3714,0.6286,17,16,16,1,0.4571,16,1,97,122,38,-25,16,16,1,-1.5625,91.9,2.7714,6.0625,0.471,6.0625,7.625,2.375,27.4501,27.4501,0.3556,9.7,25.7,17.7,25.7,25.7,25.7,17.7,25.7,25.7,25.7,17.7,25.7,25.7,,3,0.1875,,3,,,,,,,
Brenton Strange,JAX,TE,19,No,No,No,5,No,Yes,0.2,0.2,12,3,3,1,0.6,3,1,27,35,6,-8,3,3,1,-2.6667,104.2,5.4,9,3.4728,9,11.6667,2,4.5905,4.5905,0.1579,2.7,5.7,4.2,5.7,7.2,5.7,4.2,5.7,5.7,5.7,4.2,7.2,5.7,,1,0.3333,,1,,,0.6,,,,
Kaleb Johnson,PIT,RB,2,No,No,Yes,1,No,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,7,Yes,No,Yes,4,No,Yes,,,14,3,3,1,0.75,3,1,9,26,1,-17,3,3,1,-5.6667,79.2,2.25,3,-2.2228,3,8.6667,0.3333,6.0738,6.0738,0.4286,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,1,,,,,,,,,,,
Tory Horton,SEA,WR,8,Yes,No,No,3,No,Yes,0.3333,0.6667,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,40,No,No,No,9,No,Yes,0.5556,0.2222,17,5,4,0.8,0.5556,4,0.8,16,27,5,-14,5,5,1,-2.8,80,1.7778,3.2,-2.3538,4,6.75,1.25,8.0029,8.0029,0.125,1.6,5.6,3.6,5.6,7.6,5.6,3.6,5.6,5.6,5.6,3.6,7.6,5.6,,1,0.25,,,,,0.2222,,,,
Cole Kmet,CHI,TE,26,No,No,No,4,No,Yes,,,16,3,3,1,0.75,3,1,15,24,4,-9,3,3,1,-3,87.5,3.75,5,-0.8652,5,8,1.3333,4.5423,4.5423,0.1154,1.5,4.5,3,4.5,6,4.5,3,4.5,4.5,4.5,3,6,4.5,,,,,1,,,1,,,,
Tyreek Hill,MIA,WR,6,No,No,No,2,No,No,0.5,0.5,4,1,1,1,0.5,1,1,1,6,1,-5,1,1,1,-5,79.2,0.5,1,-3.1596,1,6,1,1.2697,1.2697,0.1667,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,,,,
Demarcus Robinson,SF,WR,13,Yes,No,Yes,3,No,Yes,0.6667,0.3333,14,1,1,1,0.3333,1,1,10,10,1,,1,1,1,,108.3,3.3333,10,3.9614,10,10,1,1.5682,1.5682,0.0769,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,1,,,,,,,
Savion Williams,GB,WR,4,No,No,No,3,No,Yes,0.3333,0.3333,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Kimani Vidal,LAC,RB,10,No,No,No,4,No,Yes,,0.25,13,3,3,1,0.75,2,0.6667,10,20,4,-15,3,3,1,-5,71.5,2.5,3.3333,-2.5378,5,10,2,5.9278,5.9278,0.3,1,3,2,4,3,3,2,3,3,3,2,3,3,0.75,,,1,1,1,0.3333,,,,,
RJ Harvey,DEN,RB,22,No,No,No,11,No,Yes,0.2727,0.0909,17,6,6,1,0.5455,6,1,27,54,10,-27,6,6,1,-4.5,85.4,2.4545,4.5,-1.143,4.5,9,1.6667,9.6627,9.6627,0.2727,2.7,8.7,5.7,11.7,8.7,8.7,5.7,8.7,8.7,8.7,5.7,8.7,8.7,0.6364,,,1,,,,,,,,
Mason Tipton,NO,WR,8,No,No,Yes,1,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deven Thompkins,ATL,WR,2,Yes,No,No,1,No,Yes,,1,7,1,1,1,1,1,1,4,9,1,-5,1,1,1,-5,83.3,4,4,-0.1596,4,9,1,1.2966,1.2966,0.5,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,
Kylen Granson,PHI,TE,7,No,No,Yes,2,No,Yes,0.5,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Konata Mumpfield,LA,WR,9,Yes,No,No,3,No,Yes,,1,17,1,1,1,0.3333,1,1,7,8,3,-1,1,1,1,-1,95.8,2.3333,7,0.8301,7,8,3,1.6964,1.6964,0.1111,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,1,,,,,,,
Derius Davis,LAC,WR,1,No,No,No,1,No,Yes,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,18,Yes,No,Yes,10,No,Yes,0.3,0.1,11,6,6,1,0.6,6,1,15,36,11,-21,6,6,1,-3.5,79.2,1.5,2.5,-3.2172,2.5,6,1.8333,8.7332,8.7332,0.3333,1.5,7.5,4.5,7.5,10.5,7.5,4.5,7.5,7.5,7.5,4.5,10.5,7.5,,,,,,,,0.6,,,,
Dalton Schultz,HST,TE,22,No,No,No,3,No,Yes,1,,17,1,1,1,0.3333,1,1,11,16,14,-5,1,1,1,-5,112.5,3.6667,11,6.6267,11,16,14,1.3609,1.3609,0.0455,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,1,1,,,,,,,,,
