Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Jeremy Ruckert,NYJ,TE,80,Yes,No,No,66,No,Yes,,0.1364,0.1364,17,18,17,0.9444,1,0.2727,14,0.7778,111,62,25,59,,,16,3.2778,,92.4,1.6818,6.1667,-0.499,7.9286,4.4286,1.7857,5,26.1721,26.1721,0.2278,11.1,25.1,18.1,25.1,32.1,28.1,21.1,25.1,25.1,25.1,18.1,32.1,25.1,2,5,2,0.7273,0.1111,4,,,,,
Kalif Raymond,DET,WR,75,Yes,Yes,Yes,75,No,Yes,,0.44,0.56,15,11,10,0.9091,,0.1467,10,0.9091,140,62,5,82,1,,9,7.4545,,149.1,1.8667,12.7273,5.4591,14,6.2,0.5,8,18.9984,18.9984,0.1467,20,30,25,30,30,33,28,30,30,30,25,30,30,,2,,,,2,1,0.1,,,
Andrei Iosivas,CIN,WR,211,No,No,Yes,204,Yes,Yes,,0.5294,0.4706,17,34,27,0.7941,2,0.1667,18,0.5294,237,72,19,294,,,20,8.6471,,50.7,1.1618,6.9706,-0.7258,13.1667,4,1.0556,14,59.503,59.503,0.1611,23.7,41.7,32.7,41.7,41.7,44.7,35.7,41.7,41.7,41.7,32.7,41.7,41.7,5,10,4,,0.1176,4,3,0.1667,,,
Isaac TeSlaa,DET,WR,139,Yes,Yes,Yes,139,No,Yes,,0.2374,0.7554,17,12,10,0.8333,3,0.0863,9,0.75,123,22,4,158,3,2,10,13.1667,,146.9,0.8849,10.25,0.7351,13.6667,2.4444,0.4444,7,26.4154,26.4154,0.0863,30.3,39.3,34.8,39.3,39.3,42.3,37.8,39.3,39.3,39.3,34.8,39.3,39.3,4,4,,0.0072,,3,,,1,,
Allen Lazard,NYJ,WR,50,No,No,Yes,49,No,No,,0.3878,0.6122,10,7,4,0.5714,1,0.1429,4,0.5714,30,17,7,61,,,3,8.7143,1,28,0.6122,4.2857,-3.247,7.5,4.25,1.75,2,13.7422,13.7422,0.14,3,7,5,7,7,7,5,7,7,7,5,7,7,2,1,,,,1,,,,,
Hunter Renfrow,CAR,WR,51,No,No,No,50,No,Yes,,0.76,0.24,6,13,10,0.7692,2,0.26,9,0.6923,58,10,1,101,2,2,9,7.7692,,117.9,1.16,4.4615,-2.991,6.4444,1.1111,0.1111,6,25.5998,25.5998,0.2549,17.8,26.8,22.3,26.8,26.8,26.8,22.3,26.8,26.8,26.8,22.3,26.8,26.8,3,1,,,,,,,,,
Zay Jones,ARZ,WR,54,No,No,No,54,No,Yes,,0.3889,0.6111,8,12,10,0.8333,1,0.2222,9,0.75,125,29,10,135,,,10,11.25,2,73.3,2.3148,10.4167,1.9145,13.8889,3.2222,1.1111,5,22.027,22.027,0.2222,12.5,21.5,17,21.5,21.5,24.5,20,21.5,21.5,21.5,17,21.5,21.5,2,1,,,,,,,,,
Jaylin Noel,HST,WR,81,No,No,No,80,No,Yes,0.0125,0.6625,0.325,17,19,14,0.7368,,0.2375,14,0.7368,136,38,9,133,1,,16,7,3,110.9,1.7,7.1579,0.0766,9.7143,2.7143,0.6429,9,38.4745,38.4745,0.2346,19.6,33.6,26.6,33.6,33.6,36.6,29.6,33.6,33.6,33.6,26.6,33.6,33.6,5,2,,,,2,,,,1,0.0526
Stefon Diggs,NE,WR,144,Yes,No,Yes,144,No,Yes,0.0069,0.5625,0.4306,17,57,50,0.8772,2,0.3958,47,0.8246,574,221,70,465,1,,44,8.1579,4,107.2,3.9861,10.0702,2.6069,12.2128,4.7021,1.4894,32,102.4693,102.4693,0.3958,63.4,110.4,86.9,110.4,110.4,113.4,89.9,110.4,110.4,110.4,86.9,110.4,110.4,6,8,3,,0.0526,7,9,0.1915,1,,
Jaydon Blue,DAL,RB,9,No,No,No,4,No,No,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,158,No,No,No,105,No,No,0.9429,0.019,0.0381,17,10,8,0.8,,0.0952,7,0.7,58,54,31,8,2,,7,0.8,,84.6,0.5524,5.8,-0.2744,8.2857,7.7143,4.4286,3,17.7707,17.7707,0.0633,17.8,24.8,21.3,28.3,24.8,24.8,21.3,24.8,24.8,24.8,21.3,24.8,24.8,2,,1,,0.1,,3,0.4286,,,
Kyle Monangai,CHI,RB,109,Yes,Yes,Yes,74,No,Yes,0.8243,0.0135,0.0946,17,3,3,1,,0.0405,3,1,23,16,12,7,,,3,2.3333,,98.6,0.3108,7.6667,-1.9439,7.6667,5.3333,4,1,3.9397,3.9397,0.0275,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,,,,0.0676,,,3,1,,,
Ben Sinnott,WAS,TE,31,No,Yes,No,25,No,Yes,0.08,0.28,0.16,16,5,5,1,,0.2,5,1,19,,3,19,1,,4,3.8,,122.1,0.76,3.8,-2.9115,3.8,,0.6,1,8.3726,8.3726,0.1613,7.9,12.9,10.4,12.9,15.4,12.9,10.4,12.9,12.9,12.9,10.4,15.4,12.9,1,1,,0.48,,1,1,0.2,,,
TreVeyon Henderson,NE,RB,88,Yes,No,Yes,71,No,Yes,0.8169,0.0282,0.1408,17,7,7,1,1,0.0986,7,1,59,54,14,13,1,1,2,1.8571,,141.4,0.831,8.4286,1.9267,8.4286,7.7143,2,3,10.3072,10.3072,0.0795,11.9,18.9,15.4,22.4,18.9,18.9,15.4,18.9,18.9,18.9,15.4,18.9,18.9,1,,,0.0141,,,2,0.2857,,,
Devin Neal,NO,RB,69,No,No,No,47,No,Yes,0.8298,0.0426,0.1277,9,1,1,1,,0.0213,1,1,1,2,,-1,,,1,-1,,79.2,0.0213,1,-4.819,1,2,,,1.3435,1.3435,0.0145,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,,,,,,,,,,
Oronde Gadsden,LAC,TE,165,No,No,No,156,No,Yes,0.0128,0.5064,0.1282,15,39,32,0.8205,5,0.25,25,0.641,293,99,32,339,1,1,29,8.6923,2,84.7,1.8782,7.5128,-0.2515,11.72,3.96,1.28,14,77.226,77.226,0.2364,35.3,60.3,47.8,60.3,72.8,63.3,50.8,60.3,60.3,60.3,47.8,72.8,60.3,12,6,3,0.3526,0.0769,2,3,0.12,,,
Kyle Pitts,ATL,TE,217,No,No,No,208,No,Yes,,0.3606,0.2019,17,66,57,0.8636,1,0.3173,50,0.7576,506,239,102,462,3,1,46,7,2,106,2.4327,7.6667,0.1479,10.12,4.78,2.04,33,104.8742,104.8742,0.3041,68.6,118.6,93.6,118.6,143.6,121.6,96.6,118.6,118.6,118.6,93.6,143.6,118.6,7,8,3,0.4375,0.0455,5,6,0.12,,1,0.0152
Jayden Reed,GB,WR,45,Yes,Yes,Yes,45,No,No,0.0667,0.7111,0.2,7,11,10,0.9091,,0.2444,10,0.9091,120,51,13,88,,,8,8,,112.1,2.6667,10.9091,3.069,12,5.1,1.3,5,16.4808,16.4808,0.2444,12,22,17,22,22,25,20,22,22,22,17,22,22,2,1,,0.0222,,1,2,0.2,,2,0.1818
Brayden Willis,SF,TE,4,No,No,No,3,No,Yes,,0.3333,0.3333,6,1,,,,0.3333,,,,,,2,,,1,2,,39.6,,,-6.3701,,,,,1.5,1.5,0.25,,,,,,,,,,,,,,,,,0.3333,,,,,,,
Dante Pettis,NO,WR,26,No,No,No,26,No,Yes,,0.3846,0.6154,8,3,3,1,,0.1154,3,1,44,28,-1,16,,,2,5.3333,,118.8,1.6923,14.6667,7.5332,14.6667,9.3333,-0.3333,2,4.5508,4.5508,0.1154,4.4,7.4,5.9,7.4,7.4,7.4,5.9,7.4,7.4,7.4,5.9,7.4,7.4,,,,,,,,,,,
Harold Fannin,CLV,TE,163,No,No,No,151,No,No,0.0066,0.4172,0.1656,16,55,44,0.8,1,0.3642,35,0.6364,394,179,94,380,2,,37,6.9091,1,81.9,2.6093,7.1636,-0.3834,11.2571,5.1143,2.6857,21,93.0357,93.0357,0.3374,51.4,86.4,68.9,86.4,103.9,89.4,71.9,86.4,86.4,86.4,68.9,103.9,86.4,4,12,3,0.4106,0.0545,6,5,0.1429,,,
Dalen Cambre,NYG,WR,3,No,No,No,3,No,No,,0.3333,0.6667,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,91,No,No,No,90,No,Yes,,0.4889,0.5111,9,24,18,0.75,3,0.2667,14,0.5833,112,34,10,203,2,2,18,8.4583,,97.9,1.2444,4.6667,-2.8363,8,2.4286,0.7143,9,41.6256,41.6256,0.2637,23.2,37.2,30.2,37.2,37.2,40.2,33.2,37.2,37.2,37.2,30.2,37.2,37.2,5,7,2,,0.0833,5,,,,,
Terry McLaurin,WAS,WR,72,No,Yes,No,71,No,Yes,,0.1268,0.8732,10,22,16,0.7273,3,0.3099,14,0.6364,169,27,6,201,1,1,16,9.1364,,102.3,2.3803,7.6818,-0.2669,12.0714,1.9286,0.4286,12,39.6143,39.6143,0.3056,22.9,36.9,29.9,36.9,36.9,39.9,32.9,36.9,36.9,36.9,29.9,36.9,36.9,4,2,1,,0.0455,,,,,,
Zach Horton,DET,TE,1,Yes,Yes,Yes,1,No,Yes,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,156,No,No,Yes,145,No,Yes,0.0069,0.4828,0.1241,15,44,36,0.8182,1,0.3034,31,0.7045,280,131,52,266,2,1,34,6.0455,1,102.5,1.931,6.3636,-0.8511,9.0323,4.2258,1.6774,15,77.2236,77.2236,0.2821,40,71,55.5,71,86.5,74,58.5,71,71,71,55.5,86.5,71,5,5,3,0.3862,0.0682,2,1,0.0323,,,
Roschon Johnson,CHI,RB,1,No,No,Yes,1,No,Yes,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,108,No,No,Yes,105,Yes,Yes,,0.3333,0.6667,13,22,14,0.6364,1,0.2095,13,0.5909,139,33,10,197,1,1,16,8.9545,,92.8,1.3238,6.3182,-1.4968,10.6923,2.5385,0.7692,8,40.6504,40.6504,0.2037,19.9,32.9,26.4,32.9,32.9,35.9,29.4,32.9,32.9,32.9,26.4,32.9,32.9,3,2,,,,1,1,0.0769,,,
Arian Smith,NYJ,WR,79,Yes,No,No,79,No,Yes,,0.4177,0.5823,16,5,4,0.8,,0.0633,2,0.4,20,11,10,54,,,4,10.8,,12.5,0.2532,4,-4.4954,10,5.5,5,2,7.7955,7.7955,0.0633,2,4,3,4,4,4,3,4,4,4,3,4,4,,2,,,,1,1,0.5,,,
Marvin Mims,DEN,WR,80,No,No,No,79,No,Yes,0.0253,0.2532,0.7215,15,11,7,0.6364,,0.1392,6,0.5455,43,25,9,83,,,9,7.5455,1,63.8,0.5443,3.9091,-3.2896,7.1667,4.1667,1.5,2,18.3544,18.3544,0.1375,4.3,10.3,7.3,10.3,10.3,10.3,7.3,10.3,10.3,10.3,7.3,10.3,10.3,1,1,1,,0.0909,1,,,,,
Calvin Ridley,TEN,WR,53,No,No,No,52,Yes,Yes,,0.1154,0.8846,7,22,16,0.7273,,0.4231,11,0.5,186,62,8,255,,,18,11.5909,1,79,3.5769,8.4545,-0.2326,16.9091,5.6364,0.7273,9,36.0529,36.0529,0.4151,18.6,29.6,24.1,29.6,29.6,32.6,27.1,29.6,29.6,29.6,24.1,29.6,29.6,,2,3,,0.1364,,3,0.2727,,,
Raheem Mostert,LV,RB,31,No,Yes,Yes,23,Yes,Yes,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,103,No,No,No,102,No,Yes,,0.5686,0.4314,11,27,21,0.7778,2,0.2647,21,0.7778,227,58,24,249,1,1,23,9.2222,,114,2.2255,8.4074,0.5092,10.8095,2.7619,1.1429,13,45.4023,45.4023,0.2621,28.7,49.7,39.2,49.7,49.7,52.7,42.2,49.7,49.7,49.7,39.2,49.7,49.7,2,3,,,,3,2,0.0952,1,,
Jacoby Jones,WAS,WR,1,Yes,Yes,No,1,No,No,,,1,1,1,1,1,,1,1,1,25,22,,3,,,1,3,,118.8,25,25,19.5501,25,22,,1,1.2729,1.2729,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,,,,,,,,,,,
Will Shipley,PHI,RB,29,No,Yes,No,24,No,Yes,0.7083,0.0833,0.2083,15,2,2,1,,0.0833,2,1,14,-1,,15,,,1,7.5,,95.8,0.5833,7,0.2789,7,-0.5,,1,2.6876,2.6876,0.069,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,,,,,,,,,,
Kyren Williams,LA,RB,215,No,No,No,139,No,Yes,0.8561,0.1367,0.0072,17,17,16,0.9412,,0.1223,14,0.8235,117,79,22,45,3,,12,2.6471,,134.9,0.8417,6.8824,0.4484,8.3571,5.6429,1.5714,6,26.6292,26.6292,0.0791,29.7,43.7,36.7,50.7,43.7,46.7,39.7,43.7,43.7,43.7,36.7,43.7,43.7,8,,2,,0.1176,,1,0.0714,,,
Payne Durham,TB,TE,47,No,No,No,26,No,Yes,0.0385,0.1923,0.0385,17,2,2,1,,0.0769,1,0.5,11,11,1,-2,,,2,-1,,66.7,0.4231,5.5,0.4299,11,11,1,1,3.0023,3.0023,0.0426,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,1,0.7308,0.5,,,,,,
Tucker Kraft,GB,TE,89,No,No,Yes,71,No,No,,0.2676,0.1972,8,24,22,0.9167,1,0.338,20,0.8333,342,254,97,97,5,1,19,4.0417,,158.3,4.8169,14.25,7.4892,17.1,12.7,4.85,15,46.0987,46.0987,0.2697,64.2,84.2,74.2,84.2,94.2,87.2,77.2,84.2,84.2,84.2,74.2,94.2,84.2,8,1,2,0.5352,0.0833,1,8,0.4,,2,0.0833
John Bates,WAS,TE,67,No,Yes,No,43,No,Yes,,0.1163,0.093,15,10,10,1,1,0.2326,8,0.8,51,36,10,43,1,1,9,4.3,,121.3,1.186,5.1,-1.5325,6.375,4.5,1.25,3,17.8705,17.8705,0.1493,11.1,19.1,15.1,19.1,23.1,19.1,15.1,19.1,19.1,19.1,15.1,23.1,19.1,1,1,1,0.7907,0.1,,,,,,
Trey McBride,ARZ,TE,236,No,No,No,233,No,Yes,0.0043,0.5708,0.1288,17,86,74,0.8605,11,0.3691,68,0.7907,690,264,95,652,8,6,71,7.5814,2,131.1,2.9614,8.0233,0.4097,10.1471,3.8824,1.3971,38,154.5844,154.5844,0.3644,117,185,151,185,219,188,154,185,185,185,151,219,185,19,22,1,0.2961,0.0116,15,6,0.0882,,,
Cam Skattebo,NYG,RB,39,Yes,Yes,No,28,No,No,0.8929,0.0714,0.0357,8,6,5,0.8333,,0.2143,4,0.6667,50,42,8,12,,,4,2,,92.4,1.7857,8.3333,1.9867,12.5,10.5,2,3,8.6437,8.6437,0.1538,5,9,7,11,9,9,7,9,9,9,7,9,9,,1,,,,,,,,,
Dont'e Thornton,LV,WR,81,No,No,No,78,No,No,,0.3205,0.6795,15,13,7,0.5385,,0.1667,5,0.3846,72,24,11,144,,,12,11.0769,,57.2,0.9231,5.5385,-3.162,14.4,4.8,2.2,4,22.4775,22.4775,0.1605,7.2,12.2,9.7,12.2,12.2,12.2,9.7,12.2,12.2,12.2,9.7,12.2,12.2,1,3,1,,0.0769,1,,,,,
Malik Davis,DAL,RB,29,Yes,No,Yes,15,No,Yes,0.8667,0.0667,0.0667,10,,,,,,,,,,,,,,,,,,,,,,,,,1.4022,1.4022,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,124,Yes,No,No,112,No,Yes,0.0268,0.3214,0.1518,17,29,27,0.931,4,0.2589,21,0.7241,240,128,28,168,3,2,22,5.7931,1,131.4,2.1429,8.2759,0.9137,11.4286,6.0952,1.3333,14,50.6617,50.6617,0.2339,42,63,52.5,63,73.5,66,55.5,63,63,63,52.5,73.5,63,10,5,3,0.5,0.1034,1,3,0.1429,,1,0.0345
Marcedes Lewis,DEN,TE,4,No,No,No,1,No,No,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Dontayvion Wicks,GB,WR,96,No,No,No,88,No,Yes,,0.5114,0.4773,14,30,24,0.8,1,0.3409,20,0.6667,204,38,22,279,1,,27,9.3,3,69.3,2.3182,6.8,-1.2044,10.2,1.9,1.1,15,52.0765,52.0765,0.3125,26.4,46.4,36.4,46.4,46.4,49.4,39.4,46.4,46.4,46.4,36.4,46.4,46.4,3,6,2,0.0114,0.0667,3,3,0.15,,,
Noah Brown,WAS,WR,17,Yes,Yes,No,17,Yes,Yes,,0.2353,0.7647,4,4,3,0.75,,0.2353,2,0.5,47,1,1,68,,,3,17,1,92.7,2.7647,11.75,1.5514,23.5,0.5,0.5,2,6.3087,6.3087,0.2353,4.7,6.7,5.7,6.7,6.7,6.7,5.7,6.7,6.7,6.7,5.7,6.7,6.7,1,2,,,,1,,,,,
Emeka Egbuka,TB,WR,194,No,No,No,194,No,Yes,,0.3711,0.6289,17,61,42,0.6885,4,0.3144,31,0.5082,434,128,44,630,1,1,46,10.3279,2,72.7,2.2371,7.1148,-1.1959,14,4.129,1.4194,17,105.4932,105.4932,0.3144,49.4,80.4,64.9,80.4,80.4,83.4,67.9,80.4,80.4,80.4,64.9,80.4,80.4,4,9,7,,0.1148,4,6,0.1935,,,
Mason Taylor,NYJ,TE,134,No,No,Yes,120,No,Yes,0.0083,0.4,0.2,13,32,27,0.8438,,0.2667,22,0.6875,203,93,25,173,,,26,5.4062,,72.8,1.6917,6.3438,-0.5786,9.2273,4.2273,1.1364,14,51.3656,51.3656,0.2388,20.3,42.3,31.3,42.3,53.3,45.3,34.3,42.3,42.3,42.3,31.3,53.3,42.3,4,6,5,0.3917,0.1562,4,,,,,
Emanuel Wilson,GB,RB,66,Yes,Yes,Yes,42,No,No,0.7857,0.0476,0.119,17,4,3,0.75,,0.0952,3,0.75,28,26,10,9,,,1,2.25,,93.8,0.6667,7,0.8375,9.3333,8.6667,3.3333,1,9.5826,9.5826,0.0606,2.8,5.8,4.3,7.3,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,1,,,0.0476,,,1,0.3333,,,
Quentin Johnston,LAC,WR,179,Yes,No,No,179,No,Yes,,0.2011,0.7989,14,37,31,0.8378,6,0.2067,26,0.7027,317,124,47,325,4,2,30,8.7838,2,109.9,1.7709,8.5676,0.8442,12.1923,4.7692,1.8077,15,68.8821,68.8821,0.2067,55.7,81.7,68.7,81.7,81.7,84.7,71.7,81.7,81.7,81.7,68.7,81.7,81.7,12,4,4,,0.1081,1,5,0.1923,,,
Blake Whiteheart,CLV,TE,37,No,No,Yes,28,Yes,Yes,,0.2143,0.0714,16,2,1,0.5,,0.0714,1,0.5,4,2,,5,,,1,2.5,,56.3,0.1429,2,-4.346,4,2,,,2.5099,2.5099,0.0541,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,0.7143,,,,,,,
Cameron Latu,PHI,TE,9,No,Yes,No,5,No,Yes,0.4,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,
Chris Manhertz,NYG,TE,15,No,No,No,5,No,No,,,,17,1,,,,0.2,,,,,,11,,,1,11,,39.6,,,-8.7402,,,,,1.75,1.75,0.0667,,,,,,,,,,,,,,1,,,1,,,,,,,
Garrett Wilson,NYJ,WR,73,No,Yes,Yes,73,No,Yes,,0.4658,0.5342,7,34,26,0.7647,,0.4658,21,0.6176,208,63,37,294,2,,31,8.6471,2,86.4,2.8493,6.1176,-1.5132,9.9048,3,1.7619,11,58.3145,58.3145,0.4658,32.8,53.8,43.3,53.8,53.8,56.8,46.3,53.8,53.8,53.8,43.3,53.8,53.8,3,5,3,,0.0882,2,4,0.1905,,,
Corey Kiner,ARZ,RB,4,No,No,No,3,No,Yes,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,3,Yes,No,Yes,3,No,Yes,0.6667,,0.3333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
