teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage
20,Miami,Dolphins,,NE,AFC,AFC East,Closed,Open,Cover 2,17,107,107,0.8878504672897196,2,87,0.8130841121495327,0.8411214953271028,0.06175848842056075,19,0.028037383177570093,841,7.859813084112149,0.4292508917954816,7.626168224299065,648,1,1,7,No,No,26,0.24299065420560748,-0.10808271028037383,No,0.018691588785046728,0.11214953271028037,0.04672897196261682,0.6355140186915887,0.7663551401869159,2.6102803738317757,2.5115384615384615,6.05607476635514,98.6,No,Yes,35,1,0.009345794392523364,0.018691588785046728
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,68,68,0.8382352941176471,3,50,0.7352941176470589,0.7647058823529411,0.006116262294117547,16,0.029411764705882353,431,6.338235294117647,0.35730858468677495,6.338235294117647,462,,,2,No,No,18,0.2647058823529412,-0.10285882352941175,No,,0.10294117647058823,,0.6176470588235294,0.7647058823529411,2.7058823529411766,2.611111111111111,6.794117647058823,89.8,No,Yes,23,1,0.014705882352941176,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 4,17,94,94,0.7978723404255319,1,69,0.7340425531914894,0.7659574468085106,0.01917175930851056,19,0.031914893617021274,656,6.9787234042553195,0.2896341463414634,5.0638297872340425,688,,4,4,No,No,24,0.2553191489361702,-0.061682978723404266,No,0.010638297872340425,0.20212765957446807,0.06382978723404255,0.7872340425531915,0.5425531914893617,2.4127659574468088,2.3291666666666666,7.319148936170213,74.6,No,Yes,32,1,0.010638297872340425,0.010638297872340425
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,121,121,0.9008264462809917,1,96,0.7933884297520661,0.859504132231405,0.09300170122314055,50,0.06611570247933884,782,6.462809917355372,0.24168797953964194,5.7190082644628095,771,,2,2,No,No,27,0.2231404958677686,-0.10149628099173554,No,0.024793388429752067,0.09090909090909091,0.03305785123966942,0.743801652892562,0.6859504132231405,2.4570247933884297,2.488888888888889,6.371900826446281,86.7,Yes,Yes,36,,,
13,Houston,Texans,True,IND,AFC,AFC South,Closed,Closed,Cover 1,17,75,75,0.8533333333333334,,50,0.6666666666666666,0.76,0.020099544120000035,53,0.09333333333333334,546,7.28,0.358974358974359,5.48,575,,3,3,Yes,No,24,0.32,-0.03228999999999999,Yes,0.06666666666666667,0.12,0.013333333333333334,0.6666666666666666,0.68,2.6173333333333333,2.3000000000000003,7.666666666666667,71.3,No,Yes,21,,,
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Closed,Cover 3,17,78,78,0.8974358974358975,,61,0.782051282051282,0.8333333333333334,0.07477142312820517,33,0.05128205128205128,671,8.602564102564102,0.3949329359165425,7.448717948717949,538,,2,1,No,No,28,0.358974358974359,0.00016474358974359295,No,0.02564102564102564,0.10256410256410256,0.038461538461538464,0.5769230769230769,0.7307692307692307,2.655128205128205,2.2035714285714287,6.897435897435898,91.8,Yes,Yes,33,1,0.01282051282051282,
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,74,74,0.8243243243243243,,52,0.7027027027027027,0.7567567567567568,0.005853231405405501,39,0.05405405405405406,478,6.45945945945946,0.3912133891213389,6.45945945945946,461,,,5,No,No,22,0.2972972972972973,-0.07997567567567566,No,,0.16216216216216217,0.02702702702702703,0.6081081081081081,0.6216216216216216,2.7621621621621624,2.631818181818182,6.22972972972973,87.6,Yes,Yes,24,1,0.013513513513513514,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 2,17,79,79,0.8734177215189873,,58,0.7341772151898734,0.7721518987341772,0.050096256063291156,22,0.0379746835443038,560,7.0886075949367084,0.22678571428571428,6.518987341772152,675,,1,3,Yes,No,24,0.3037974683544304,-0.05816708860759496,No,0.0379746835443038,0.10126582278481013,0.0379746835443038,0.7721518987341772,0.6075949367088608,2.6734177215189874,2.658333333333333,8.544303797468354,87.5,No,Yes,32,2,0.02531645569620253,0.012658227848101266
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Cover 0,17,124,124,0.8709677419354839,3,98,0.7903225806451613,0.8387096774193549,0.08868134512903225,79,0.04838709677419355,890,7.17741935483871,0.2853932584269663,6.25,913,1,3,3,No,No,23,0.18548387096774194,-0.15783427419354837,No,0.03225806451612903,0.12096774193548387,0.04838709677419355,0.7096774193548387,0.7016129032258065,2.5653225806451614,2.5,7.362903225806452,89.2,No,Yes,45,3,0.024193548387096774,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,128,128,0.875,3,102,0.796875,0.828125,0.08179213807812502,37,0.03125,955,7.4609375,0.2942408376963351,7.578125,951,3,1,2,No,No,40,0.3125,-0.04192109375000003,Yes,0.0078125,0.1171875,0.0078125,0.6640625,0.7265625,2.6296875,2.5100000000000002,7.4296875,102.3,No,No,51,2,0.015625,0.0078125
